SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc100	Neben der eigentlichen definitiven Therapie einer akuten Blutung (z. B. durch endoskopische/operative Blutstillung oder Angiografie mit Coiling) kommt in der Akut- und Intensivmedizin der Optimierung der Blutgerinnung eine Schlüsselrolle zu.		In addition to the actual definitive treatment of acute bleeding (e.g. by endoscopic/surgical haemostasis or angiography with coiling), optimization of coagulation plays a key role in acute and intensive care medicine.	HuaweiTSC_run2	In addition to the actual definitive treatment of acute bleeding (e.g. by endoscopic/surgical <tag>haemostasis</tag> or angiography with coiling), optimization of coagulation plays a key role in acute and intensive care medicine.	Linguistic Conventions - Spelling	Minor	5065140
2	doc100	Dazu ist die Kenntnis der gängigen Gerinnungstests und ihrer Schwächen ebenso notwendig wie die korrekte Anwendung und Dosierung von Gerinnungsprodukten.		This requires knowledge of the common coagulation tests and their weaknesses, as well as the correct use and dosing of coagulation products.	HuaweiTSC_run2				5242994
3	doc100	Das Gerinnungsmanagement kann insbesondere bei Patienten mit Leberzirrhose, angeborenen und erworbenen Gerinnungsstörungen sowie bei Patienten unter Antikoagulation herausfordernd sein.		Coagulation management can be particularly challenging in patients with liver cirrhosis, congenital and acquired coagulation disorders, and in patients receiving anticoagulation.	HuaweiTSC_run2				5242994
4	doc100	Dieses Review beleuchtet die wichtigsten Elemente der Gerinnungsdiagnostik und -therapie in der gastroenterologischen Intensiv- und Notfallmedizin inklusive neuer Antidote und erweiterter Gerinnungsdiagnostik bei Patienten mit Leberzirrhose, wie z.		This review highlights the most important elements of coagulation diagnosis and therapy in gastroenterological intensive care and emergency medicine, including new antidotes and extended coagulation diagnostics in patients with liver cirrhosis, e.g.	HuaweiTSC_run2				5242994
5	doc100	B. die Thrombelastometrie.		Thrombelastometry.	HuaweiTSC_run2				5242994
1	doc12	LABORCHEMISCHE GERINNUNGSAUFFäLLIGKEITEN BEI COVID-19: COVID-19-Patienten weisen häufig stark erhöhte D-Dimer-Werte auf.		LaBOROCHEMICAL COAGULATION STATES IN COVID-19: coVID-19 patients often have severely elevated D-dimer levels.	HuaweiTSC_run2	<tag>LaBOROCHEMICAL</tag> COAGULATION STATES IN COVID-19: coVID-19 patients often have severely elevated D-dimer levels.	Linguistic Conventions - Spelling	Neutral	5065140
1	doc12	LABORCHEMISCHE GERINNUNGSAUFFäLLIGKEITEN BEI COVID-19: COVID-19-Patienten weisen häufig stark erhöhte D-Dimer-Werte auf.		LaBOROCHEMICAL COAGULATION STATES IN COVID-19: coVID-19 patients often have severely elevated D-dimer levels.	HuaweiTSC_run2	LaBOROCHEMICAL COAGULATION STATES IN COVID-19: <tag>coVID-19</tag> patients often have severely elevated D-dimer levels.	Linguistic Conventions - Spelling	Neutral	5065140
2	doc12	Die Höhe und der Verlauf scheinen mit dem Krankheitsverlauf und der Prognose zu korrelieren.		The level and course seem to correlate with the course of the disease and the prognosis.	HuaweiTSC_run2				5065140
3	doc12	Bei signifikanter Erhöhung sollte eine medikamentöse Thromboseprophylaxe erwogen werden.		In case of a significant increase, medical thrombosis prophylaxis should be considered.	HuaweiTSC_run2				5065140
4	doc12	Der Verlauf der Prothrombinfragmente F1 + F2 scheint ebenfalls mit dem klinischen Verlauf zu korrelieren und könnte bei Verfügbarkeit zur Verlaufsbeurteilung der Gerinnungsaktivierung mit herangezogen werden.		The course of the prothrombin fragments F1 + F2 also seems to correlate with the clinical course and, if available, could be used to assess the course of coagulation activation.	HuaweiTSC_run2				5065140
5	doc12	Thrombozytopenien bei COVID-19-Erkrankten sind häufig, sollten jedoch mittels weiterführender Diagnostik auf Differenzialdiagnosen geprüft werden.		Thrombocytopenia in COVID-19 patients is common, but should be evaluated for differential diagnoses by further diagnostic testing.	HuaweiTSC_run2				5065140
6	doc12	RISIKO THROMBOEMBOLISCHER KOMPLIKATIONEN BEI COVID-19: COVID-19-Erkrankte haben ein deutlich erhöhtes Risiko für venöse und arterielle thromboembolische Ereignisse, und insbesondere intensivmedizinisch betreute Patienten bedürfen einer engmaschigen Kontrolle.		RiSK OF THROMBOEMBOLIC COMPLICATIONS IN COVID-19: coVID-19 patients have a significantly increased risk of venous and arterial thromboembolic events, and intensive care patients in particular require close monitoring.	HuaweiTSC_run2	<tag>RiSK</tag> OF THROMBOEMBOLIC COMPLICATIONS IN COVID-19: coVID-19 patients have a significantly increased risk of venous and arterial thromboembolic events, and intensive care patients in particular require close monitoring.	Linguistic Conventions - Spelling	Neutral	5065140
