SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc100	Neben der eigentlichen definitiven Therapie einer akuten Blutung (z. B. durch endoskopische/operative Blutstillung oder Angiografie mit Coiling) kommt in der Akut- und Intensivmedizin der Optimierung der Blutgerinnung eine Schlüsselrolle zu.		In addition to the actual definitive therapy of acute bleeding (e.g. by endoscopic/surgical haemostasis or angiography with coiling), the optimization of blood coagulation plays a key role in acute and intensive care medicine.	Huawei_AGI_run2				5630676
2	doc100	Dazu ist die Kenntnis der gängigen Gerinnungstests und ihrer Schwächen ebenso notwendig wie die korrekte Anwendung und Dosierung von Gerinnungsprodukten.		To this end, knowledge of the current coagulation tests and their weaknesses is necessary, as is the correct use and dosage of coagulation products.	Huawei_AGI_run2	To <tag>this</tag> end, knowledge of the current coagulation tests and their weaknesses is necessary, as is the correct use and dosage of coagulation products.	Linguistic Conventions - Grammar	Neutral	5630676
3	doc100	Das Gerinnungsmanagement kann insbesondere bei Patienten mit Leberzirrhose, angeborenen und erworbenen Gerinnungsstörungen sowie bei Patienten unter Antikoagulation herausfordernd sein.		Coagulation management can be challenging, especially in patients with cirrhosis of the liver, congenital and acquired coagulation disorders, and in patients on anticoagulation.	Huawei_AGI_run2				5138667
4	doc100	Dieses Review beleuchtet die wichtigsten Elemente der Gerinnungsdiagnostik und -therapie in der gastroenterologischen Intensiv- und Notfallmedizin inklusive neuer Antidote und erweiterter Gerinnungsdiagnostik bei Patienten mit Leberzirrhose, wie z.		This review highlights the most important elements of coagulation diagnosis and therapy in gastroenterological intensive care and emergency medicine including new antidotes and extended coagulation diagnosis in patients with liver cirrhosis, e.g.	Huawei_AGI_run2	This review highlights the most important elements of coagulation diagnosis and therapy in gastroenterological intensive care and emergency <tag>medicine including</tag> new antidotes and extended coagulation diagnosis in patients with liver cirrhosis, e.g.	Linguistic Conventions - Punctuation	Minor	5630676
4	doc100	Dieses Review beleuchtet die wichtigsten Elemente der Gerinnungsdiagnostik und -therapie in der gastroenterologischen Intensiv- und Notfallmedizin inklusive neuer Antidote und erweiterter Gerinnungsdiagnostik bei Patienten mit Leberzirrhose, wie z.		This review highlights the most important elements of coagulation diagnosis and therapy in gastroenterological intensive care and emergency medicine including new antidotes and extended coagulation diagnosis in patients with liver cirrhosis, e.g.	Huawei_AGI_run2	This review highlights the most important elements of coagulation diagnosis and therapy in gastroenterological intensive care and emergency medicine including new antidotes and extended coagulation diagnosis in patients with <tag>liver cirrhosis</tag>, e.g.	Linguistic Conventions - Register	Minor	5630676
5	doc100	B. die Thrombelastometrie.		Thrombelastometry.	Huawei_AGI_run2				5138667
1	doc12	LABORCHEMISCHE GERINNUNGSAUFFäLLIGKEITEN BEI COVID-19: COVID-19-Patienten weisen häufig stark erhöhte D-Dimer-Werte auf.		Laboratory chemical coagulation defects in Covid-19: Covid-19 patients often have severely elevated d-dimer values.	Huawei_AGI_run2	Laboratory chemical coagulation defects in <tag>Covid-19</tag>: Covid-19 patients often have severely elevated d-dimer values.	Linguistic Conventions - Spelling	Minor	5138667
1	doc12	LABORCHEMISCHE GERINNUNGSAUFFäLLIGKEITEN BEI COVID-19: COVID-19-Patienten weisen häufig stark erhöhte D-Dimer-Werte auf.		Laboratory chemical coagulation defects in Covid-19: Covid-19 patients often have severely elevated d-dimer values.	Huawei_AGI_run2	Laboratory chemical coagulation defects in Covid-19: <tag>Covid-19</tag> patients often have severely elevated d-dimer values.	Linguistic Conventions - Spelling	Minor	5138667
1	doc12	LABORCHEMISCHE GERINNUNGSAUFFäLLIGKEITEN BEI COVID-19: COVID-19-Patienten weisen häufig stark erhöhte D-Dimer-Werte auf.		Laboratory chemical coagulation defects in Covid-19: Covid-19 patients often have severely elevated d-dimer values.	Huawei_AGI_run2	Laboratory chemical coagulation defects in Covid-19: Covid-19 patients often have severely elevated <tag>d-dimer</tag> values.	Linguistic Conventions - Spelling	Minor	5138667
2	doc12	Die Höhe und der Verlauf scheinen mit dem Krankheitsverlauf und der Prognose zu korrelieren.		The height and course seem to correlate with the course of the disease and the prognosis.	Huawei_AGI_run2	The <tag>height</tag> and course seem to correlate with the course of the disease and the prognosis.	Terminology - Wrong term	Major	5630676
3	doc12	Bei signifikanter Erhöhung sollte eine medikamentöse Thromboseprophylaxe erwogen werden.		Medicinal prophylaxis of thrombosis should be considered if the increase is significant.	Huawei_AGI_run2				5630676
4	doc12	Der Verlauf der Prothrombinfragmente F1 + F2 scheint ebenfalls mit dem klinischen Verlauf zu korrelieren und könnte bei Verfügbarkeit zur Verlaufsbeurteilung der Gerinnungsaktivierung mit herangezogen werden.		The course of prothrombin fragments f1+f2 also appears to correlate with the clinical course and, if available, could be used to assess the course of coagulation activation.	Huawei_AGI_run2	The course of prothrombin fragments <tag>f1+f2</tag> also appears to correlate with the clinical course and, if available, could be used to assess the course of coagulation activation.	Linguistic Conventions - Spelling	Minor	5138667
5	doc12	Thrombozytopenien bei COVID-19-Erkrankten sind häufig, sollten jedoch mittels weiterführender Diagnostik auf Differenzialdiagnosen geprüft werden.		Thrombocytopenia in Covid-19 patients is common, but should be checked for differential diagnoses by further diagnostics.	Huawei_AGI_run2	Thrombocytopenia in <tag>Covid-19</tag> patients is common, but should be checked for differential diagnoses by further diagnostics.	Linguistic Conventions - Spelling	Major	5630676
6	doc12	RISIKO THROMBOEMBOLISCHER KOMPLIKATIONEN BEI COVID-19: COVID-19-Erkrankte haben ein deutlich erhöhtes Risiko für venöse und arterielle thromboembolische Ereignisse, und insbesondere intensivmedizinisch betreute Patienten bedürfen einer engmaschigen Kontrolle.		Risk of thromboembolic complications in Covid-19: Covid-19 patients have a markedly increased risk of venous and arterial thromboembolic events, and especially intensive care patients require close monitoring.	Huawei_AGI_run2	Risk of thromboembolic complications in <tag>Covid-19:</tag> Covid-19 patients have a markedly increased risk of venous and arterial thromboembolic events, and especially intensive care patients require close monitoring.	Linguistic Conventions - Spelling	Minor	5138667
6	doc12	RISIKO THROMBOEMBOLISCHER KOMPLIKATIONEN BEI COVID-19: COVID-19-Erkrankte haben ein deutlich erhöhtes Risiko für venöse und arterielle thromboembolische Ereignisse, und insbesondere intensivmedizinisch betreute Patienten bedürfen einer engmaschigen Kontrolle.		Risk of thromboembolic complications in Covid-19: Covid-19 patients have a markedly increased risk of venous and arterial thromboembolic events, and especially intensive care patients require close monitoring.	Huawei_AGI_run2	Risk of thromboembolic complications in Covid-19: <tag>Covid-19</tag> patients have a markedly increased risk of venous and arterial thromboembolic events, and especially intensive care patients require close monitoring.	Linguistic Conventions - Spelling	Minor	5138667
7	doc12	Bestehende Algorithmen zur Diagnostik einer Lungenarterienembolie können wegen der sehr häufigen Konstellation „pulmonale Symptome + erhöhte D-Dimere“ bei COVID-19 nur eingeschränkt angewendet werden und bedürfen einer Anpassung an diese Erkrankung.		Existing algorithms for the diagnosis of pulmonary artery embolism can only be used to a limited extent due to the very common constellation "pulmonary symptoms+elevated d-dimers" in Covid-19 and require adaptation to this disease.	Huawei_AGI_run2	Existing algorithms for the diagnosis of pulmonary artery embolism can only be used to a limited extent due to the very common <tag>constellation "pulmonary symptoms+elevated d-dimers"</tag> in Covid-19 and require adaptation to this disease.	Linguistic Conventions - Grammar	Major	5630676
7	doc12	Bestehende Algorithmen zur Diagnostik einer Lungenarterienembolie können wegen der sehr häufigen Konstellation „pulmonale Symptome + erhöhte D-Dimere“ bei COVID-19 nur eingeschränkt angewendet werden und bedürfen einer Anpassung an diese Erkrankung.		Existing algorithms for the diagnosis of pulmonary artery embolism can only be used to a limited extent due to the very common constellation "pulmonary symptoms+elevated d-dimers" in Covid-19 and require adaptation to this disease.	Huawei_AGI_run2	Existing algorithms for the diagnosis of pulmonary artery embolism can only be used to a limited extent due to the very common constellation "pulmonary symptoms+elevated d-dimers" in <tag>Covid-19</tag> and require adaptation to this disease.	Linguistic Conventions - Spelling	Major	5630676
8	doc12	Bei Lungenarterienembolien handelt es sich wahrscheinlich um lokal entstandene „Immunothrombosen“, was bei der Befundinterpretation einer pulmonalen Bildgebung zu beachten ist.		Pulmonary artery embolism is likely to be localized "immunothrombosis", which should be considered when interpreting the findings of pulmonary imaging.	Huawei_AGI_run2				5138667
9	doc12	EMPFEHLUNGEN ZUR THROMBOSEPROPHYLAXE BEI COVID-19: Aufgrund des überdurchschnittlich hohen VTE-Risikos hospitalisierter COVID-19-Patienten sollte eine leitliniengerechte Thromboseprophylaxe unbedingt durchgeführt werden – bei Patienten mit besonders hohem Basisrisiko sollten höhere Heparindosierungen, posthospitale Verlängerungen und ggf. sogar primär ambulante Thromboseprophylaxestrategien erwogen werden.		Recommendations for thrombose prophylaxis in Covid-19: due to the higher than average risk of vte in hospitalized Covid-19 patients, guideline-oriented thrombosis prophylaxis should be performed at all costs. in patients with particularly high baseline risk, higher heparin doses, posthospital extensions and, if necessary, even primary outpatient thrombosis prophylaxis strategies should be considered.	Huawei_AGI_run2	<tag>Recommendations for thrombose prophylaxis in Covid-19:</tag> due to the higher than average risk of vte in hospitalized Covid-19 patients, guideline-oriented thrombosis prophylaxis should be performed at all costs. in patients with particularly high baseline risk, higher heparin doses, posthospital extensions and, if necessary, even primary outpatient thrombosis prophylaxis strategies should be considered.	Linguistic Conventions - Spelling	Neutral	5630676
9	doc12	EMPFEHLUNGEN ZUR THROMBOSEPROPHYLAXE BEI COVID-19: Aufgrund des überdurchschnittlich hohen VTE-Risikos hospitalisierter COVID-19-Patienten sollte eine leitliniengerechte Thromboseprophylaxe unbedingt durchgeführt werden – bei Patienten mit besonders hohem Basisrisiko sollten höhere Heparindosierungen, posthospitale Verlängerungen und ggf. sogar primär ambulante Thromboseprophylaxestrategien erwogen werden.		Recommendations for thrombose prophylaxis in Covid-19: due to the higher than average risk of vte in hospitalized Covid-19 patients, guideline-oriented thrombosis prophylaxis should be performed at all costs. in patients with particularly high baseline risk, higher heparin doses, posthospital extensions and, if necessary, even primary outpatient thrombosis prophylaxis strategies should be considered.	Huawei_AGI_run2	Recommendations for thrombose prophylaxis in Covid-19: due to the higher than average risk of <tag>vte</tag> in hospitalized Covid-19 patients, guideline-oriented thrombosis prophylaxis should be performed at all costs. in patients with particularly high baseline risk, higher heparin doses, posthospital extensions and, if necessary, even primary outpatient thrombosis prophylaxis strategies should be considered.	Linguistic Conventions - Spelling	Major	5630676
