SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc100	Neben der eigentlichen definitiven Therapie einer akuten Blutung (z. B. durch endoskopische/operative Blutstillung oder Angiografie mit Coiling) kommt in der Akut- und Intensivmedizin der Optimierung der Blutgerinnung eine Schlüsselrolle zu.		In addition to the actual definitive treatment of acute bleeding (e. g. by endoscopic/operative haemostasis or angiography with coiling), optimisation of blood coagulation plays a key role in acute and intensive care medicine.	TMT_run1				5367941
2	doc100	Dazu ist die Kenntnis der gängigen Gerinnungstests und ihrer Schwächen ebenso notwendig wie die korrekte Anwendung und Dosierung von Gerinnungsprodukten.		This requires knowledge of current coagulation tests and their weaknesses, as well as the correct use and dosage of coagulation products.	TMT_run1				5367941
3	doc100	Das Gerinnungsmanagement kann insbesondere bei Patienten mit Leberzirrhose, angeborenen und erworbenen Gerinnungsstörungen sowie bei Patienten unter Antikoagulation herausfordernd sein.		Coagulation management can be especially challenging in patients with with cirrhosis of the liver, congenital and acquired coagulation disorders, and in patients on anticoagulation.	TMT_run1	Coagulation management can be especially challenging in patients <tag>with</tag> with cirrhosis of the liver, congenital and acquired coagulation disorders, and in patients on anticoagulation.	Linguistic Conventions - Grammar	Major	5367941
4	doc100	Dieses Review beleuchtet die wichtigsten Elemente der Gerinnungsdiagnostik und -therapie in der gastroenterologischen Intensiv- und Notfallmedizin inklusive neuer Antidote und erweiterter Gerinnungsdiagnostik bei Patienten mit Leberzirrhose, wie z.		This review highlights the most important elements of coagulation diagnostics and therapy in gastroenterological intensive care and emergency medicine, including new antidotes and extended coagulation diagnostics in patients with liver cirrhosis, e.g.	TMT_run1				5367941
5	doc100	B. die Thrombelastometrie.		thrombelastometry, for example.	TMT_run1	<tag>thrombelastometry</tag>, for example.	Linguistic Conventions - Spelling	Minor	5367941
1	doc12	LABORCHEMISCHE GERINNUNGSAUFFäLLIGKEITEN BEI COVID-19: COVID-19-Patienten weisen häufig stark erhöhte D-Dimer-Werte auf.		LABORATORY CHEMICAL CLOTTING ABNORMALITIES IN COVID-19: COVID-19 patients often present severely elevated D-dimer levels.	TMT_run1				5367941
2	doc12	Die Höhe und der Verlauf scheinen mit dem Krankheitsverlauf und der Prognose zu korrelieren.		The level and course seem to correlate with disease progression and prognosis.	TMT_run1				5367941
3	doc12	Bei signifikanter Erhöhung sollte eine medikamentöse Thromboseprophylaxe erwogen werden.		Medicinal thrombosis prophylaxis should be considered in case of significant increase.	TMT_run1				5367941
4	doc12	Der Verlauf der Prothrombinfragmente F1 + F2 scheint ebenfalls mit dem klinischen Verlauf zu korrelieren und könnte bei Verfügbarkeit zur Verlaufsbeurteilung der Gerinnungsaktivierung mit herangezogen werden.		The course of prothrombin fragments F1 + F2 also appears to correlate with the clinical course and, if available, could be used to assess the course of coagulation activation.	TMT_run1				5367941
5	doc12	Thrombozytopenien bei COVID-19-Erkrankten sind häufig, sollten jedoch mittels weiterführender Diagnostik auf Differenzialdiagnosen geprüft werden.		Thrombocytopenia in COVID-19 patients is common, but should be evaluated for differential diagnoses by means of further diagnostics.	TMT_run1				5367941
6	doc12	RISIKO THROMBOEMBOLISCHER KOMPLIKATIONEN BEI COVID-19: COVID-19-Erkrankte haben ein deutlich erhöhtes Risiko für venöse und arterielle thromboembolische Ereignisse, und insbesondere intensivmedizinisch betreute Patienten bedürfen einer engmaschigen Kontrolle.		RISK OF THROMBOEMBOLIC COMPLICATIONS IN COVID-19: COVID-19 patients have a significantly increased risk of venous and arterial thromboembolic events, and especially intensive care patients require close monitoring.	TMT_run1				5367941
7	doc12	Bestehende Algorithmen zur Diagnostik einer Lungenarterienembolie können wegen der sehr häufigen Konstellation „pulmonale Symptome + erhöhte D-Dimere“ bei COVID-19 nur eingeschränkt angewendet werden und bedürfen einer Anpassung an diese Erkrankung.		Existing algorithms for the diagnosis of pulmonary artery embolism can only be used to a limited extent in COVID-19 due to the very common constellation of "pulmonary symptoms + elevated D-dimers" and require adaptation to this disease.	TMT_run1				5367941
8	doc12	Bei Lungenarterienembolien handelt es sich wahrscheinlich um lokal entstandene „Immunothrombosen“, was bei der Befundinterpretation einer pulmonalen Bildgebung zu beachten ist.		Pulmonary artery embolism is likely to be a locally occurring “immunothrombosis”, which should be taken into account when interpreting the findings of pulmonary imaging.	TMT_run1				5367941
9	doc12	EMPFEHLUNGEN ZUR THROMBOSEPROPHYLAXE BEI COVID-19: Aufgrund des überdurchschnittlich hohen VTE-Risikos hospitalisierter COVID-19-Patienten sollte eine leitliniengerechte Thromboseprophylaxe unbedingt durchgeführt werden – bei Patienten mit besonders hohem Basisrisiko sollten höhere Heparindosierungen, posthospitale Verlängerungen und ggf. sogar primär ambulante Thromboseprophylaxestrategien erwogen werden.		RECOMMENDATIONS FOR THROMBOSIS PROPHYLAXIS IN COVID-19: Due to the above-average risk of VTE in hospitalized COVID-19 patients, guideline-compliant thrombosis prophylaxis should be performed without fail – in patients with a particularly high basic risk, higher heparin doses, post-hospital extensions and possibly even primary outpatient thrombosis prophylaxis strategies should be considered.	TMT_run1				5367941
10	doc12	Eine bereits vor der COVID-19-Erkrankung etablierte Antikoagulationstherapie (bspw. für Vorhofflimmern oder frühere VTE) sollte fortgeführt werden.		Anticoagulant therapy (e.g., for atrial fibrillation or previous VTE) established prior to COVID-19 disease should be continued.	TMT_run1				5367941
1	doc13	Ziel der Medizininformatikinitiative und weiterer nationaler und lokaler Projekte zur digitalen Vernetzung im Gesundheitswesen ist die datenschutzkonforme Bereitstellung, der Austausch und die gemeinsame Nutzung von Patientendaten.		The aim of the Medical Informatics Initiative and other national and local projects for digital networking in healthcare sector is the provision, exchange and sharing of patient data in compliance with data protection regulations.	TMT_run1				5367941
2	doc13	Dies erfordert die Integration von Daten aus unterschiedlichen Quellen – beispielsweise aus digitalen Arbeitsplatzsystemen, Laborsystemen, PAC-Systemen („patient archieving and communication“) oder Tumorboards – in ein Data Warehouse oder Forschungsdatenbanken.		This requires the integration of data from different sources–such as from digital workplace systems, laboratory systems, PAC systems ("patient archieving and communication") or tumour boards–into a data warehouse or research database.	TMT_run1				5367941
3	doc13	Die zunehmende digitale Vernetzung von Leistungserbringern und Forschungseinrichtungen im Gesundheitswesen wird in Zukunft noch mehr Patienten den Zugang zu Hochleistungs- und Präzisionsmedizin (Stichwort virtuelle molekulare Tumorboards) öffnen und dabei Daten für Grundlagen- und Versorgungsforschung liefern.		The increasing digital networking of service providers and research institutions will open access to high-performance and precision medicine (keyword virtual molecular tumour boards) for even more patients in the future, thereby providing data for basic and healthcare research.	TMT_run1				5367941
4	doc13	Mit dieser Form der Netzwerkmedizin schaffen wir einerseits die Verbindung von Grundlagen- (z. B. Genomforschung) und Patientenversorgung, gleichermaßen kann mit den aufbereiteten Real-world-Daten die Behandlungsrealität und -qualität im Sinne einer integrierten Versorgungsforschung detailliert abgebildet werden.		With this form of network medicine, we create the connection between basic research (e.g. genome research) and patient care. Likewise, with the processed real-world data, treatment reality and quality can be mapped in detail in the sense of integrated health care research.	TMT_run1				5367941
1	doc14	In den vergangenen Jahren wurden zunehmend Systeme der künstlichen Intelligenz in der Medizin etabliert, die Pathologien oder Erkrankungen erkennen und schwer zu erfassende Zusammenhänge zwischen Eingangsgrößen beschreiben sollen.		In recent years, artificial intelligence systems have increasingly been established in medicine to detect pathologies or diseases and to describe difficult-to-understand correlations between input variables.	TMT_run1				5367941
2	doc14	Ziel der Studie ist es, anhand von biometrischen Messgrößen vor der Kataraktoperation die physikalische Position der Intraokularlinse nach der Operation mit Verfahren des maschinellen Lernens vorherzusagen. 249 Augen von Patienten, die sich zur elektiven Kataraktoperation an der Augenklinik Castrop-Rauxel vorstellten, wurden mit dem IOLMaster 700 (Carl Zeiss Meditec) und vor sowie nach der Operation mit dem Casia 2 (Tomey) untersucht.		The purpose of the study is to use biometric measures before cataract surgery to predict the physical position of the intraocular lens after surgery with machine learning procedures. 249 eyes of patients who presented for elective cataract surgery at the Castrop-Rauxel Ophthalmology Clinic were examined with the IOLMaster 700 (Carl Zeiss Meditec) and before and after surgery with the Casia 2 (Tomey).	TMT_run1				5367941
3	doc14	Aus den Effektgrößen Augenlänge, Hornhautdicke, interne Vorderkammertiefe, Linsendicke, mittlerer Hornhautradius und Hornhautdurchmesser wurde eine Auswahl von 17 Algorithmen des Maschinenlernens auf ihre Vorhersagequalität hin getestet für die Bestimmung der postoperativen internen Vorderkammertiefe (AQD_post) und der Lage des Linsenäquators relativ zum Hornhautscheitel (LEQ_post).		From the effect sizes eye length, corneal thickness, internal anterior chamber depth, lens thickness, mean corneal radius and corneal diameter, a selection of 17 machine learning algorithms were tested for prediction performance for determining the postoperative internal anterior chamber depth (AQD_post) and the position of the lens equator relative to the corneal apex (LEQ_post).	TMT_run1				5367941
4	doc14	Die 17 Modelle (4 Algorithmusfamilien) variierten im mittleren quadratischen/mittleren absoluten Vorhersagefehler zwischen 0,187/0,139 mm und 0,255/0,204 mm (AQD_post) und 0,183/0,135 mm und 0,253/0,206 mm (LEQ_post) bei einer Kreuzvalidierung (5-fold cross validation).		The 17 models (4 algorithm families) varied in mean square/mean absolute prediction error between 0.187/0.139 mm and 0.255/0.204 mm (AQD_post) and 0.183/0.135 mm and 0.253/0.206 mm (LEQ_post) on cross validation techniques (5-fold cross validation).	TMT_run1				5367941
