SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	Geriatric rehabilitation care serves to maintain the self-determined participation of elderly people.		Die geriatrische Rehabilitationsversorgung dient der Erhaltung der selbstbestimmten Teilhabe älterer Menschen.	HuaweiTSC_run1				251597
2	doc1	It contributes to reduce dependency on care, which is one of society's major challenges.		Sie trägt dazu bei, die Abhängigkeit von Pflege zu verringern, was eine der großen Herausforderungen der Gesellschaft ist.	HuaweiTSC_run1				251597
3	doc1	The focus of its work lies on elderly patients, mostly with multiple impairments and limited reserves.		Der Schwerpunkt der Arbeit liegt auf älteren Patienten, meist mit Mehrfachbeeinträchtigungen und begrenzten Reserven.	HuaweiTSC_run1				251597
4	doc1	These people consequently face a high risk of developing further activity limitations and participation restrictions in the context of any acute illness.		Diese Menschen sind daher einem hohen Risiko ausgesetzt, im Rahmen einer akuten Erkrankung weitere Aktivitätseinschränkungen und Teilhabeeinschränkungen zu entwickeln.	HuaweiTSC_run1				251597
5	doc1	This justifies the large proportion of early rehabilitation already in hospital, which forms an essential part of geriatric rehabilitation care in Germany.		Dies rechtfertigt den großen Anteil der Frührehabilitation bereits im Krankenhaus, die einen wesentlichen Bestandteil der geriatrischen Rehabilitationsversorgung in Deutschland bildet.	HuaweiTSC_run1				251597
6	doc1	Its goal is to reduce or prevent any associated setbacks regarding independent living as soon and as far as possible.		Ziel ist es, damit verbundene Rückschläge in Bezug auf ein unabhängiges Leben so schnell und so weit wie möglich zu verringern oder zu verhindern.	HuaweiTSC_run1				251597
7	doc1	However, early rehabilitation cannot replace a potentially necessary further medical rehabilitation - particularly under the conditions of lump-sum compensation in the context of the DRG system.		Die Frührehabilitation kann jedoch eine potenziell notwendige weitere medizinische Rehabilitation - insbesondere unter den Bedingungen der Pauschalvergütung im Rahmen des DRG-Systems - nicht ersetzen.	HuaweiTSC_run1				251597
8	doc1	But institutions for further medical rehabilitation exist only in some of the federal states in Germany.		Einrichtungen zur weiteren medizinischen Rehabilitation gibt es jedoch nur in einigen Bundesländern in Deutschland.	HuaweiTSC_run1				251597
9	doc1	In addition, geriatric rehabilitation services are largely provided in inpatient settings in Germany.		Darüber hinaus werden geriatrische Rehabilitationsleistungen in Deutschland weitgehend stationär erbracht.	HuaweiTSC_run1				251597
10	doc1	This system to date only rarely takes advantage of the benefits of other forms of rehabilitation.		Dieses System nutzt bisher nur selten die Vorteile anderer Rehabilitationsformen.	HuaweiTSC_run1				251597
11	doc1	For instance, outpatient geriatric rehabilitation could already be used more frequently to prevent dependency on care in cases of slowly increasing deterioration of functional health.		So könnte beispielsweise die ambulante geriatrische Rehabilitation bei langsam zunehmender Verschlechterung des funktionellen Gesundheitszustandes bereits häufiger eingesetzt werden, um einer Pflegebedürftigkeit vorzubeugen.	HuaweiTSC_run1				251597
12	doc1	Mobile rehabilitation, where rehabilitation patients are visited in their residential environment, could be more efficient and more sustainable for patients whose rehabilitation and participation goals can be achieved less by means of restitution of lost functions rather than by the adaptation of contextual factors and the improvement of support arrangements.		Mobile Rehabilitation, bei der Reha-Patienten in ihrem Wohnumfeld besucht werden, könnte für Patienten, deren Rehabilitations- und Teilhabeziele weniger durch die Wiederherstellung verlorener Funktionen als durch die Anpassung von Kontextfaktoren und die Verbesserung von Unterstützungsangeboten erreicht werden können, effizienter und nachhaltiger sein.	HuaweiTSC_run1				251597
1	doc10	Questionnaires measuring the subjective outcome of hearing aid benefit are used in diagnostics of hearing loss additionally.		Fragebögen zur Messung des subjektiven Ergebnisses des Hörgerätenutzens werden zusätzlich in der Diagnostik von Hörverlust eingesetzt.	HuaweiTSC_run1				251597
2	doc10	Since 2012, the APHAB is part of the quality agreement for statutory insured patients in hearing aid fitting.		Seit 2012 ist das APHAB Teil der Qualitätsvereinbarung für gesetzlich versicherte Patienten in der Hörgeräteanpassung.	HuaweiTSC_run1	Seit 2012 ist das <tag>APHAB</tag> Teil der Qualitätsvereinbarung für gesetzlich versicherte Patienten in der Hörgeräteanpassung.	Accuracy - Untranslated	Minor	251597
3	doc10	Actually, calculating the benefit by the given formula (improvement quotient A) causes distortion by patients with negative results.		Tatsächlich führt die Berechnung des Nutzens durch die gegebene Formel (Verbesserungsquotient A) zu einer Verzerrung bei Patienten mit negativem Ergebnis.	HuaweiTSC_run1				251597
4	doc10	In general, these dues to misinterpretation of the results.		Dies ist im Allgemeinen auf eine Fehlinterpretation der Ergebnisse zurückzuführen.	HuaweiTSC_run1				251597
5	doc10	In this study, we proposed two alternative ways of calculation and compared the results together.		In dieser Studie schlugen wir zwei alternative Berechnungsmethoden vor und verglichen die Ergebnisse miteinander.	HuaweiTSC_run1				251597
6	doc10	Using the data of 6861 hearing aid fitted patients from a database, we calculated the benefit by A and two new formulas (improvement quotient B and cumulated benefit) and compared the results together.		Anhand der Daten von 6861 hörgeräteangepaßten Patienten aus einer Datenbank berechneten wir den Nutzen durch A und zwei neue Formeln (Verbesserungsquotient B und kumulierter Nutzen) und verglichen die Ergebnisse miteinander.	HuaweiTSC_run1	Anhand der Daten von 6861 <tag>hörgeräteangepaßten</tag> Patienten aus einer Datenbank berechneten wir den Nutzen durch A und zwei neue Formeln (Verbesserungsquotient B und kumulierter Nutzen) und verglichen die Ergebnisse miteinander.	Linguistic Conventions - Spelling	Minor	251597
7	doc10	The average for A was -29.02 % (SD ± 47.94) and a minimum of -637.93 %. The average for B was -13.42 % (SD ± 13.14) and a minimum of -78,63.		Der Durchschnitt für A betrug -29,02 % (SD ± 47,94) und mindestens -637,93 %. der Durchschnitt für B betrug -13,42 % (SD ± 13,14) und mindestens -78,63.	HuaweiTSC_run1	Der Durchschnitt für A betrug -29,02 % (SD ± 47,94) und mindestens -637,93 %. <tag>der</tag> Durchschnitt für B betrug -13,42 % (SD ± 13,14) und mindestens -78,63.	Linguistic Conventions - Spelling	Minor	251597
8	doc10	No relevant differences by calculating the improvement quotients between A and B occurred.		Bei der Berechnung der Verbesserungsquotienten zwischen A und B traten keine relevanten Unterschiede auf.	HuaweiTSC_run1				251597
