SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	Geriatric rehabilitation care serves to maintain the self-determined participation of elderly people.		Die geriatrische rehabilitationsversorgung dient der aufrechterhaltung der selbstbestimmten teilhabe älterer menschen.	Huawei_AGI_run3				209888
2	doc1	It contributes to reduce dependency on care, which is one of society's major challenges.		Sie trägt zur verringerung der pflegebedürftigkeit bei, die eine der größten herausforderungen der gesellschaft darstellt.	Huawei_AGI_run3	Sie trägt zur verringerung der pflegebedürftigkeit bei, die eine der größten herausforderungen der <tag>gesellschaft</tag> darstellt.	Linguistic Conventions - Spelling	Neutral	209888
2	doc1	It contributes to reduce dependency on care, which is one of society's major challenges.		Sie trägt zur verringerung der pflegebedürftigkeit bei, die eine der größten herausforderungen der gesellschaft darstellt.	Huawei_AGI_run3	Sie trägt zur verringerung der pflegebedürftigkeit bei, die eine der größten <tag>herausforderungen</tag> der gesellschaft darstellt.	Linguistic Conventions - Spelling	Neutral	209888
2	doc1	It contributes to reduce dependency on care, which is one of society's major challenges.		Sie trägt zur verringerung der pflegebedürftigkeit bei, die eine der größten herausforderungen der gesellschaft darstellt.	Huawei_AGI_run3	Sie trägt zur verringerung der <tag>pflegebedürftigkeit</tag> bei, die eine der größten herausforderungen der gesellschaft darstellt.	Linguistic Conventions - Spelling	Neutral	209888
2	doc1	It contributes to reduce dependency on care, which is one of society's major challenges.		Sie trägt zur verringerung der pflegebedürftigkeit bei, die eine der größten herausforderungen der gesellschaft darstellt.	Huawei_AGI_run3	Sie trägt zur <tag>verringerung</tag> der pflegebedürftigkeit bei, die eine der größten herausforderungen der gesellschaft darstellt.	Linguistic Conventions - Spelling	Neutral	209888
3	doc1	The focus of its work lies on elderly patients, mostly with multiple impairments and limited reserves.		Der schwerpunkt der arbeit liegt auf älteren patienten, meist mit multiplen beeinträchtigungen und begrenzten reserven.	Huawei_AGI_run3	Der <tag>schwerpunkt</tag> der arbeit liegt auf älteren patienten, meist mit multiplen beeinträchtigungen und begrenzten reserven.	Linguistic Conventions - Spelling	Neutral	209888
3	doc1	The focus of its work lies on elderly patients, mostly with multiple impairments and limited reserves.		Der schwerpunkt der arbeit liegt auf älteren patienten, meist mit multiplen beeinträchtigungen und begrenzten reserven.	Huawei_AGI_run3	Der schwerpunkt der <tag>arbeit</tag> liegt auf älteren patienten, meist mit multiplen beeinträchtigungen und begrenzten reserven.	Linguistic Conventions - Spelling	Neutral	209888
3	doc1	The focus of its work lies on elderly patients, mostly with multiple impairments and limited reserves.		Der schwerpunkt der arbeit liegt auf älteren patienten, meist mit multiplen beeinträchtigungen und begrenzten reserven.	Huawei_AGI_run3	Der schwerpunkt der arbeit liegt auf älteren <tag>patienten</tag>, meist mit multiplen beeinträchtigungen und begrenzten reserven.	Linguistic Conventions - Spelling	Neutral	209888
3	doc1	The focus of its work lies on elderly patients, mostly with multiple impairments and limited reserves.		Der schwerpunkt der arbeit liegt auf älteren patienten, meist mit multiplen beeinträchtigungen und begrenzten reserven.	Huawei_AGI_run3	Der schwerpunkt der arbeit liegt auf älteren patienten, meist mit <tag>multiplen beeinträchtigungen</tag> und begrenzten reserven.	Style - Non-fluent	Neutral	209888
3	doc1	The focus of its work lies on elderly patients, mostly with multiple impairments and limited reserves.		Der schwerpunkt der arbeit liegt auf älteren patienten, meist mit multiplen beeinträchtigungen und begrenzten reserven.	Huawei_AGI_run3	Der schwerpunkt der arbeit liegt auf älteren patienten, meist mit multiplen beeinträchtigungen und begrenzten <tag>reserven</tag>.	Linguistic Conventions - Spelling	Neutral	209888
4	doc1	These people consequently face a high risk of developing further activity limitations and participation restrictions in the context of any acute illness.		Diese personen sind daher einem hohen risiko ausgesetzt, im rahmen einer akuten erkrankung weitere aktivitätseinschränkungen und teilhabeeinschränkungen zu entwickeln.	Huawei_AGI_run3	Diese <tag>personen</tag> sind daher einem hohen risiko ausgesetzt, im rahmen einer akuten erkrankung weitere aktivitätseinschränkungen und teilhabeeinschränkungen zu entwickeln.	Linguistic Conventions - Spelling	Neutral	209888
4	doc1	These people consequently face a high risk of developing further activity limitations and participation restrictions in the context of any acute illness.		Diese personen sind daher einem hohen risiko ausgesetzt, im rahmen einer akuten erkrankung weitere aktivitätseinschränkungen und teilhabeeinschränkungen zu entwickeln.	Huawei_AGI_run3	Diese personen sind daher einem hohen <tag>risiko</tag> ausgesetzt, im rahmen einer akuten erkrankung weitere aktivitätseinschränkungen und teilhabeeinschränkungen zu entwickeln.	Linguistic Conventions - Spelling	Neutral	209888
