SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	Geriatric rehabilitation care serves to maintain the self-determined participation of elderly people.		Die geriatrische Rehabilitationsversorgung dient der Aufrechterhaltung der selbstbestimmten Teilhabe lterer Menschen.	TMT_run1	Die geriatrische Rehabilitationsversorgung dient der Aufrechterhaltung der selbstbestimmten Teilhabe <tag>lterer</tag> Menschen.	Linguistic Conventions - Spelling	Critical	5673002
2	doc1	It contributes to reduce dependency on care, which is one of society's major challenges.		Sie trgt dazu bei, die Abhngigkeit von der Pflege zu verringern, was eine der grten Herausforderungen der Gesellschaft darstellt.	TMT_run1	Sie <tag>trgt</tag> dazu bei, die Abhngigkeit von der Pflege zu verringern, was eine der grten Herausforderungen der Gesellschaft darstellt.	Linguistic Conventions - Spelling	Major	5673002
2	doc1	It contributes to reduce dependency on care, which is one of society's major challenges.		Sie trgt dazu bei, die Abhngigkeit von der Pflege zu verringern, was eine der grten Herausforderungen der Gesellschaft darstellt.	TMT_run1	Sie trgt dazu bei, die <tag>Abhngigkeit</tag> von der Pflege zu verringern, was eine der grten Herausforderungen der Gesellschaft darstellt.	Linguistic Conventions - Spelling	Major	5673002
2	doc1	It contributes to reduce dependency on care, which is one of society's major challenges.		Sie trgt dazu bei, die Abhngigkeit von der Pflege zu verringern, was eine der grten Herausforderungen der Gesellschaft darstellt.	TMT_run1	Sie trgt dazu bei, die Abhngigkeit von der Pflege zu verringern, was eine der <tag>grten</tag> Herausforderungen der Gesellschaft darstellt.	Linguistic Conventions - Spelling	Major	5673002
3	doc1	The focus of its work lies on elderly patients, mostly with multiple impairments and limited reserves.		Der Schwerpunkt der Arbeit liegt auf lteren Patienten, meist mit multiplen Beeintrchtigungen und begrenzten Reserven.	TMT_run1	Der Schwerpunkt der Arbeit liegt auf <tag>lteren</tag> Patienten, meist mit multiplen Beeintrchtigungen und begrenzten Reserven.	Linguistic Conventions - Spelling	Major	5673002
3	doc1	The focus of its work lies on elderly patients, mostly with multiple impairments and limited reserves.		Der Schwerpunkt der Arbeit liegt auf lteren Patienten, meist mit multiplen Beeintrchtigungen und begrenzten Reserven.	TMT_run1	Der Schwerpunkt der Arbeit liegt auf lteren Patienten, meist mit multiplen <tag>Beeintrchtigungen</tag> und begrenzten Reserven.	Linguistic Conventions - Spelling	Major	5673002
4	doc1	These people consequently face a high risk of developing further activity limitations and participation restrictions in the context of any acute illness.		Diese Menschen haben folglich ein hohes Risiko, im Rahmen einer akuten Erkrankung weitere Aktivitts- und Beteiligungseinschrnkungen zu entwickeln.	TMT_run1	Diese Menschen haben folglich ein hohes Risiko, im Rahmen einer akuten Erkrankung weitere <tag>Aktivitts- und Beteiligungseinschrnkungen</tag> zu entwickeln.	Linguistic Conventions - Spelling	Major	5673002
5	doc1	This justifies the large proportion of early rehabilitation already in hospital, which forms an essential part of geriatric rehabilitation care in Germany.		Dies rechtfertigt den groen Anteil der Frhrehabilitation bereits im Krankenhaus, die einen wesentlichen Bestandteil der geriatrischen Rehabilitationsversorgung in Deutschland darstellt.	TMT_run1	Dies rechtfertigt den <tag>groen</tag> Anteil der Frhrehabilitation bereits im Krankenhaus, die einen wesentlichen Bestandteil der geriatrischen Rehabilitationsversorgung in Deutschland darstellt.	Linguistic Conventions - Spelling	Major	5673002
5	doc1	This justifies the large proportion of early rehabilitation already in hospital, which forms an essential part of geriatric rehabilitation care in Germany.		Dies rechtfertigt den groen Anteil der Frhrehabilitation bereits im Krankenhaus, die einen wesentlichen Bestandteil der geriatrischen Rehabilitationsversorgung in Deutschland darstellt.	TMT_run1	Dies rechtfertigt den groen Anteil der <tag>Frhrehabilitation</tag> bereits im Krankenhaus, die einen wesentlichen Bestandteil der geriatrischen Rehabilitationsversorgung in Deutschland darstellt.	Linguistic Conventions - Spelling	Major	5673002
6	doc1	Its goal is to reduce or prevent any associated setbacks regarding independent living as soon and as far as possible.		Ihr Ziel ist es, die damit verbundenen Rckschlge in Bezug auf das selbststndige Leben so schnell und so weit wie mglich zu reduzieren oder zu verhindern.	TMT_run1	Ihr Ziel ist es, die damit verbundenen <tag>Rckschlge</tag> in Bezug auf das selbststndige Leben so schnell und so weit wie mglich zu reduzieren oder zu verhindern.	Linguistic Conventions - Spelling	Major	5673002
6	doc1	Its goal is to reduce or prevent any associated setbacks regarding independent living as soon and as far as possible.		Ihr Ziel ist es, die damit verbundenen Rckschlge in Bezug auf das selbststndige Leben so schnell und so weit wie mglich zu reduzieren oder zu verhindern.	TMT_run1	Ihr Ziel ist es, die damit verbundenen Rckschlge in Bezug auf das <tag>selbststndige</tag> Leben so schnell und so weit wie mglich zu reduzieren oder zu verhindern.	Linguistic Conventions - Spelling	Major	5673002
6	doc1	Its goal is to reduce or prevent any associated setbacks regarding independent living as soon and as far as possible.		Ihr Ziel ist es, die damit verbundenen Rckschlge in Bezug auf das selbststndige Leben so schnell und so weit wie mglich zu reduzieren oder zu verhindern.	TMT_run1	Ihr Ziel ist es, die damit verbundenen Rckschlge in Bezug auf das selbststndige Leben so schnell und so weit wie <tag>mglich</tag> zu reduzieren oder zu verhindern.	Linguistic Conventions - Spelling	Major	5673002
