SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc10	Primary health care provides the framework for delivering the socially-informed, comprehensive and patient-centred care underlying robust health-care systems and is, therefore, central to achieving universal health coverage.		La atencin primaria de salud proporciona el marco para proporcionar la atencin socialmente informada, integral y centrada en el paciente subyacente a sistemas slidos de atencin mdica y, por lo tanto, es central para lograr la cobertura universal de salud.	TMT_run1	La atencin primaria de salud proporciona el marco para proporcionar la <tag>atencin</tag> socialmente informada, integral y centrada en el paciente subyacente a sistemas slidos de atencin mdica y, por lo tanto, es central para lograr la cobertura universal de salud.	Linguistic Conventions - Spelling	Major	5505645
1	doc10	Primary health care provides the framework for delivering the socially-informed, comprehensive and patient-centred care underlying robust health-care systems and is, therefore, central to achieving universal health coverage.		La atencin primaria de salud proporciona el marco para proporcionar la atencin socialmente informada, integral y centrada en el paciente subyacente a sistemas slidos de atencin mdica y, por lo tanto, es central para lograr la cobertura universal de salud.	TMT_run1	La atencin primaria de salud proporciona el marco para proporcionar la atencin socialmente informada, integral y centrada en el paciente subyacente a sistemas <tag>slidos</tag> de atencin mdica y, por lo tanto, es central para lograr la cobertura universal de salud.	Linguistic Conventions - Spelling	Major	5505645
1	doc10	Primary health care provides the framework for delivering the socially-informed, comprehensive and patient-centred care underlying robust health-care systems and is, therefore, central to achieving universal health coverage.		La atencin primaria de salud proporciona el marco para proporcionar la atencin socialmente informada, integral y centrada en el paciente subyacente a sistemas slidos de atencin mdica y, por lo tanto, es central para lograr la cobertura universal de salud.	TMT_run1	La atencin primaria de salud proporciona el marco para proporcionar la atencin socialmente informada, integral y centrada en el paciente subyacente a sistemas slidos de <tag>atencin</tag> mdica y, por lo tanto, es central para lograr la cobertura universal de salud.	Linguistic Conventions - Spelling	Major	5505645
1	doc10	Primary health care provides the framework for delivering the socially-informed, comprehensive and patient-centred care underlying robust health-care systems and is, therefore, central to achieving universal health coverage.		La atencin primaria de salud proporciona el marco para proporcionar la atencin socialmente informada, integral y centrada en el paciente subyacente a sistemas slidos de atencin mdica y, por lo tanto, es central para lograr la cobertura universal de salud.	TMT_run1	La atencin primaria de salud proporciona el marco para proporcionar la atencin socialmente informada, integral y centrada en el paciente subyacente a sistemas slidos de atencin <tag>mdica</tag> y, por lo tanto, es central para lograr la cobertura universal de salud.	Linguistic Conventions - Spelling	Major	5505645
1	doc10	Primary health care provides the framework for delivering the socially-informed, comprehensive and patient-centred care underlying robust health-care systems and is, therefore, central to achieving universal health coverage.		La atencin primaria de salud proporciona el marco para proporcionar la atencin socialmente informada, integral y centrada en el paciente subyacente a sistemas slidos de atencin mdica y, por lo tanto, es central para lograr la cobertura universal de salud.	TMT_run1	La <tag>atencin</tag> primaria de salud proporciona el marco para proporcionar la atencin socialmente informada, integral y centrada en el paciente subyacente a sistemas slidos de atencin mdica y, por lo tanto, es central para lograr la cobertura universal de salud.	Linguistic Conventions - Spelling	Major	5505645
2	doc10	Family physicians are best placed to embody primary health care's dual focus on community and population health because they are often employed in rural or district hospitals with limited human resources, particularly a lack of specialists.		Los mdicos de familia estn mejor ubicados para encarnar el doble enfoque de la atencin primaria de salud en la salud comunitaria y de la poblacin porque a menudo se emplean en hospitales rurales o distritales con recursos humanos limitados, en particular la falta de especialistas.	TMT_run1	Los <tag>mdicos</tag> de familia estn mejor ubicados para encarnar el doble enfoque de la atencin primaria de salud en la salud comunitaria y de la poblacin porque a menudo se emplean en hospitales rurales o distritales con recursos humanos limitados, en particular la falta de especialistas.	Linguistic Conventions - Spelling	Major	5505645
2	doc10	Family physicians are best placed to embody primary health care's dual focus on community and population health because they are often employed in rural or district hospitals with limited human resources, particularly a lack of specialists.		Los mdicos de familia estn mejor ubicados para encarnar el doble enfoque de la atencin primaria de salud en la salud comunitaria y de la poblacin porque a menudo se emplean en hospitales rurales o distritales con recursos humanos limitados, en particular la falta de especialistas.	TMT_run1	Los mdicos de familia <tag>estn</tag> mejor ubicados para encarnar el doble enfoque de la atencin primaria de salud en la salud comunitaria y de la poblacin porque a menudo se emplean en hospitales rurales o distritales con recursos humanos limitados, en particular la falta de especialistas.	Linguistic Conventions - Spelling	Major	5505645
2	doc10	Family physicians are best placed to embody primary health care's dual focus on community and population health because they are often employed in rural or district hospitals with limited human resources, particularly a lack of specialists.		Los mdicos de familia estn mejor ubicados para encarnar el doble enfoque de la atencin primaria de salud en la salud comunitaria y de la poblacin porque a menudo se emplean en hospitales rurales o distritales con recursos humanos limitados, en particular la falta de especialistas.	TMT_run1	Los mdicos de familia estn mejor ubicados para encarnar el doble enfoque de la <tag>atencin</tag> primaria de salud en la salud comunitaria y de la poblacin porque a menudo se emplean en hospitales rurales o distritales con recursos humanos limitados, en particular la falta de especialistas.	Linguistic Conventions - Spelling	Major	5505645
2	doc10	Family physicians are best placed to embody primary health care's dual focus on community and population health because they are often employed in rural or district hospitals with limited human resources, particularly a lack of specialists.		Los mdicos de familia estn mejor ubicados para encarnar el doble enfoque de la atencin primaria de salud en la salud comunitaria y de la poblacin porque a menudo se emplean en hospitales rurales o distritales con recursos humanos limitados, en particular la falta de especialistas.	TMT_run1	Los mdicos de familia estn mejor ubicados para encarnar el doble enfoque de la atencin primaria de salud en la salud comunitaria y de la <tag>poblacin</tag> porque a menudo se emplean en hospitales rurales o distritales con recursos humanos limitados, en particular la falta de especialistas.	Linguistic Conventions - Spelling	Major	5505645
2	doc10	Family physicians are best placed to embody primary health care's dual focus on community and population health because they are often employed in rural or district hospitals with limited human resources, particularly a lack of specialists.		Los mdicos de familia estn mejor ubicados para encarnar el doble enfoque de la atencin primaria de salud en la salud comunitaria y de la poblacin porque a menudo se emplean en hospitales rurales o distritales con recursos humanos limitados, en particular la falta de especialistas.	TMT_run1	Los mdicos de familia estn mejor ubicados para encarnar el doble enfoque de la atencin primaria <tag>de salud en la salud comunitaria</tag> y de la poblacin porque a menudo se emplean en hospitales rurales o distritales con recursos humanos limitados, en particular la falta de especialistas.	Style - Non-fluent	Major	5505645
