SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc10	Primary health care provides the framework for delivering the socially-informed, comprehensive and patient-centred care underlying robust health-care systems and is, therefore, central to achieving universal health coverage.		La atención primaria de salud proporciona el marco para la provisión de la atención socialmente informada, integral y centrada en el paciente, que subyace a los sistemas robustos de salud y, por lo tanto, es fundamental para lograr la cobertura universal.	talp_upc_run1	La atención primaria de salud proporciona el marco para la provisión de <tag>la</tag> atención socialmente informada, integral y centrada en el paciente, que subyace a los sistemas robustos de salud y, por lo tanto, es fundamental para lograr la cobertura universal.	Style - Non-fluent	Minor	288846
2	doc10	Family physicians are best placed to embody primary health care's dual focus on community and population health because they are often employed in rural or district hospitals with limited human resources, particularly a lack of specialists.		Los médicos de familia están en mejores condiciones para encarnar el enfoque dual de la atención primaria de salud en la salud comunitaria y de la población, ya que suelen estar empleados en hospitales rurales o de distrito con recursos humanos limitados, en particular.	talp_upc_run1	Los médicos de familia están en mejores condiciones para <tag>encarnar</tag> el enfoque dual de la atención primaria de salud en la salud comunitaria y de la población, ya que suelen estar empleados en hospitales rurales o de distrito con recursos humanos limitados, en particular.	Accuracy - Mistranslation	Major	288846
2	doc10	Family physicians are best placed to embody primary health care's dual focus on community and population health because they are often employed in rural or district hospitals with limited human resources, particularly a lack of specialists.	Family physicians are best placed to embody primary health care's dual focus on community and population health because they are often employed in rural or district hospitals with limited human resources, particularly <tag>a lack of specialists.</tag>	Los médicos de familia están en mejores condiciones para encarnar el enfoque dual de la atención primaria de salud en la salud comunitaria y de la población, ya que suelen estar empleados en hospitales rurales o de distrito con recursos humanos limitados, en particular.	talp_upc_run1		Accuracy - Omission	Critical	288846
3	doc10	Here we want to illustrate how additional training for family physicians, the key clinicians in primary care, can play a critical role in reducing disparities in access to surgical, obstetric and anaesthesia care in low- and middle-income countries and in rural or remote settings.		Aquí queremos ilustrar cómo la formación adicional para médicos de familia, clave en atención primaria, puede jugar un papel crítico en la reducción de las disparidades en el acceso a la atención quirúrgica, obstétrica y anestésica en países de bajo y remoto.	talp_upc_run1	Aquí queremos ilustrar cómo la formación adicional para médicos de familia, <tag>clave en atención primaria</tag>, puede jugar un papel crítico en la reducción de las disparidades en el acceso a la atención quirúrgica, obstétrica y anestésica en países de bajo y remoto.	Accuracy - Mistranslation	Major	288846
3	doc10	Here we want to illustrate how additional training for family physicians, the key clinicians in primary care, can play a critical role in reducing disparities in access to surgical, obstetric and anaesthesia care in low- and middle-income countries and in rural or remote settings.	Here we want to illustrate how additional training for family physicians, the key clinicians in primary care, can play a critical role in reducing disparities in access to surgical, obstetric and anaesthesia care in low- and <tag>middle-income</tag> countries and in rural or remote settings.	Aquí queremos ilustrar cómo la formación adicional para médicos de familia, clave en atención primaria, puede jugar un papel crítico en la reducción de las disparidades en el acceso a la atención quirúrgica, obstétrica y anestésica en países de bajo y remoto.	talp_upc_run1		Accuracy - Omission	Major	288846
3	doc10	Here we want to illustrate how additional training for family physicians, the key clinicians in primary care, can play a critical role in reducing disparities in access to surgical, obstetric and anaesthesia care in low- and middle-income countries and in rural or remote settings.	Here we want to illustrate how additional training for family physicians, the key clinicians in primary care, can play a critical role in reducing disparities in access to surgical, obstetric and anaesthesia care in low- and middle-income countries and <tag>in rural or remote settings.</tag>	Aquí queremos ilustrar cómo la formación adicional para médicos de familia, clave en atención primaria, puede jugar un papel crítico en la reducción de las disparidades en el acceso a la atención quirúrgica, obstétrica y anestésica en países de bajo y remoto.	talp_upc_run1		Accuracy - Omission	Critical	288846
4	doc10	Examples are given of how training programmes can be developed in low-resource settings to equip family physicians with life-saving surgical skills and of how family physicians in high-income countries can be trained in the surgical skills essential for working overseas in low-income settings.		Se dan ejemplos de cómo se pueden desarrollar programas de formación en entornos de bajos recursos para dotar a los médicos de familia de habilidades quirúrgicas salvadoras de vida y de cómo los médicos de familia en entornos de altos ingresos pueden capacitarse en técnicas quirúrgicas.	talp_upc_run1	Se dan ejemplos de cómo se pueden desarrollar programas de formación en entornos de bajos recursos para dotar a los médicos de familia de <tag>habilidades quirúrgicas salvadoras de vida</tag> y de cómo los médicos de familia en entornos de altos ingresos pueden capacitarse en técnicas quirúrgicas.	Style - Non-fluent	Major	288846
4	doc10	Examples are given of how training programmes can be developed in low-resource settings to equip family physicians with life-saving surgical skills and of how family physicians in high-income countries can be trained in the surgical skills essential for working overseas in low-income settings.	Examples are given of how training programmes can be developed in low-resource settings to equip family physicians with life-saving surgical skills and of how family physicians in high-income countries can be trained in the surgical skills <tag>essential for working overseas in low-income settings.</tag>	Se dan ejemplos de cómo se pueden desarrollar programas de formación en entornos de bajos recursos para dotar a los médicos de familia de habilidades quirúrgicas salvadoras de vida y de cómo los médicos de familia en entornos de altos ingresos pueden capacitarse en técnicas quirúrgicas.	talp_upc_run1		Accuracy - Omission	Critical	288846
5	doc10	Policy-makers should promote surgical practice among family physicians by supporting family medicine programmes that include additional surgical skills training and by expanding opportunities and incentives for family physicians to serve in rural areas.		Los responsables de la formulación de políticas deben promover la práctica quirúrgica entre los médicos de familia, apoyando programas de medicina familiar que incluyan formación adicional en habilidades quirúrgicas y ampliando las oportunidades e incentivos para que los médicos de familia presten servicios en las zonas rurales.	talp_upc_run1	<tag>Los responsables de la formulación de políticas</tag> deben promover la práctica quirúrgica entre los médicos de familia, apoyando programas de medicina familiar que incluyan formación adicional en habilidades quirúrgicas y ampliando las oportunidades e incentivos para que los médicos de familia presten servicios en las zonas rurales.	Style - Non-fluent	Major	288846
6	doc10	Moreover, national surgical plans should include a primary health care strategy for surgical care and, globally, family physicians should be considered in discussions of surgical care.		Además, los planes quirúrgicos nacionales deben incluir una estrategia de atención primaria de salud para la atención quirúrgica y, globalmente, los médicos de familia deben ser considerados en las discusiones sobre la atención quirúrgica.	talp_upc_run1				288846
7	doc10	Finally, surgeons, anaesthesiologists, obstetricians and family physicians should be encouraged to collaborate in ensuring that all patients, regardless of place of residence, receive safe and timely surgical care.		Finalmente, se debe alentar a los cirujanos, anestesiólogos, obstetras y médicos de familia a colaborar para garantizar que todos los pacientes, independientemente del lugar de residencia, reciban una atención quirúrgica segura y oportuna.	talp_upc_run1	Finalmente, se debe alentar a los cirujanos, anestesiólogos, obstetras y médicos de familia a colaborar para garantizar que todos los pacientes, independientemente <tag>del</tag> lugar de residencia, reciban una atención quirúrgica segura y oportuna.	Linguistic Conventions - Grammar	Minor	288846
7	doc10	Finally, surgeons, anaesthesiologists, obstetricians and family physicians should be encouraged to collaborate in ensuring that all patients, regardless of place of residence, receive safe and timely surgical care.		Finalmente, se debe alentar a los cirujanos, anestesiólogos, obstetras y médicos de familia a colaborar para garantizar que todos los pacientes, independientemente del lugar de residencia, reciban una atención quirúrgica segura y oportuna.	talp_upc_run1	Finalmente, se debe alentar a los cirujanos, anestesiólogos, obstetras y médicos de familia a colaborar para garantizar que todos los pacientes, independientemente del lugar de residencia, reciban una atención quirúrgica segura y <tag>oportuna</tag>.	Terminology - Wrong term	Minor	288846
1	doc100	To analyze notifications of flu-like syndrome according to the time interval between onset of symptoms and testing for COVID-19.	To analyze <tag>notifications</tag> of flu-like syndrome according to the time interval between onset of symptoms and testing for COVID-19.	Analizar los síntomas gripales según el intervalo de tiempo entre el inicio de los síntomas y la prueba de COVID-19.	talp_upc_run1		Accuracy - Omission	Critical	288846
2	doc100	This was a cross-sectional study using records of flu-like syndrome cases containing results of COVID-19 diagnostic tests in the Brazilian state capitals and Federal District, held on the e-SUS Notifica system, from March 1st, 2020 to August 18th, 2020.		Se trata de un estudio transversal mediante registros de casos de síndrome gripal con resultados de pruebas diagnósticas COVID-19 en las capitales de los estados brasileños y Distrito Federal, realizado en el sistema e-SUS Núcleo, desde el 1.	talp_upc_run1	Se trata de un estudio transversal mediante registros de casos de <tag>síndrome gripal</tag> con resultados de pruebas diagnósticas COVID-19 en las capitales de los estados brasileños y Distrito Federal, realizado en el sistema e-SUS Núcleo, desde el 1.	Terminology - Wrong term	Minor	288846
2	doc100	This was a cross-sectional study using records of flu-like syndrome cases containing results of COVID-19 diagnostic tests in the Brazilian state capitals and Federal District, held on the e-SUS Notifica system, from March 1st, 2020 to August 18th, 2020.		Se trata de un estudio transversal mediante registros de casos de síndrome gripal con resultados de pruebas diagnósticas COVID-19 en las capitales de los estados brasileños y Distrito Federal, realizado en el sistema e-SUS Núcleo, desde el 1.	talp_upc_run1	Se trata de un estudio transversal mediante registros de casos de síndrome gripal con resultados de pruebas diagnósticas COVID-19 en las capitales de los estados brasileños <tag>y</tag> Distrito Federal, realizado en el sistema e-SUS Núcleo, desde el 1.	Linguistic Conventions - Grammar	Minor	288846
