SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc2	Risk factors associated with worse outcomes in COVID-19: a retrospective study in Saudi Arabia 		Facteurs de risque associés aux résultats les plus mauvais de Covid-19: étude rétrospective en arabie saoudite	Huawei_AGI_run1	Facteurs de risque associés <tag>aux résultats les plus mauvais de Covid-19</tag>: étude rétrospective en arabie saoudite	Style - Non-fluent	Major	5235710
1	doc2	Risk factors associated with worse outcomes in COVID-19: a retrospective study in Saudi Arabia 		Facteurs de risque associés aux résultats les plus mauvais de Covid-19: étude rétrospective en arabie saoudite	Huawei_AGI_run1	Facteurs de risque associés aux résultats les plus mauvais de Covid-19: étude rétrospective en <tag>arabie saoudite</tag>	Linguistic Conventions - Character encoding	Minor	5235710
2	doc2	The rapid emergence of the novel coronavirus disease 2019 (COVID-19) has resulted in millions of infected patients and hundreds of thousands of deaths worldwide.		L'émergence rapide de la nouvelle maladie à coronavirus 2019 (Covid-19) a entraîné des millions de patients infectés et des centaines de milliers de décès dans le monde.	Huawei_AGI_run1	L'émergence rapide <tag>de la nouvelle maladie à coronavirus 2019</tag> (Covid-19) a entraîné des millions de patients infectés et des centaines de milliers de décès dans le monde.	Style - Non-fluent	Major	5235710
2	doc2	The rapid emergence of the novel coronavirus disease 2019 (COVID-19) has resulted in millions of infected patients and hundreds of thousands of deaths worldwide.		L'émergence rapide de la nouvelle maladie à coronavirus 2019 (Covid-19) a entraîné des millions de patients infectés et des centaines de milliers de décès dans le monde.	Huawei_AGI_run1	L'émergence rapide de la nouvelle maladie à coronavirus 2019 (Covid-19) <tag>a entraîné des millions de patients infectés</tag> et des centaines de milliers de décès dans le monde.	Style - Non-fluent	Minor	5235710
3	doc2	Health care services delivery is being compromised due to the surge in the number of infected patients during this pandemic.		La prestation des services de soins de santé est compromise en raison de l'augmentation du nombre de patients infectés au cours de cette pandémie.	Huawei_AGI_run1	La prestation des services de soins de santé est <tag>compromise en raison</tag> de l'augmentation du nombre de patients infectés au cours de cette pandémie.	Style - Non-fluent	Minor	5235710
3	doc2	Health care services delivery is being compromised due to the surge in the number of infected patients during this pandemic.		La prestation des services de soins de santé est compromise en raison de l'augmentation du nombre de patients infectés au cours de cette pandémie.	Huawei_AGI_run1	La prestation des services de soins de santé est compromise en raison de l'augmentation du nombre de patients infectés <tag>au cours de cette pandémie</tag>.	Style - Non-fluent	Neutral	5235710
4	doc2	This study aimed to assess the risk factors associated with poor prognosis among COVID-19 patients in Saudi Arabia.		La présente étude avait pour objectif d'évaluer les facteurs de risque associés à un mauvais pronostic chez les patients traités par la Covid-19 en arabie saoudite.	Huawei_AGI_run1	La présente étude avait pour objectif d'évaluer les facteurs de risque associés à un mauvais pronostic chez les patients <tag>traités par la Covid-19</tag> en arabie saoudite.	Accuracy - Mistranslation	Critical	5235710
4	doc2	This study aimed to assess the risk factors associated with poor prognosis among COVID-19 patients in Saudi Arabia.		La présente étude avait pour objectif d'évaluer les facteurs de risque associés à un mauvais pronostic chez les patients traités par la Covid-19 en arabie saoudite.	Huawei_AGI_run1	La présente étude avait pour objectif d'évaluer les facteurs de risque associés à un mauvais pronostic chez les patients traités par la Covid-19 en <tag>arabie saoudite</tag>.	Linguistic Conventions - Character encoding	Major	5235710
5	doc2	This was a multi-centre retrospective cohort study that included all laboratory-confirmed COVID-19 cases with definitive outcomes in Saudi Arabia during March 2020.		Il s'agissait d'une étude de cohorte rétrospective multicentrique qui incluait tous les cas de Covid-19 confirmés en laboratoire et dont les résultats définitifs ont été observés en arabie saoudite en mars 2020.	Huawei_AGI_run1	Il s'agissait d'une étude de cohorte rétrospective multicentrique qui incluait tous les cas de Covid-19 confirmés en laboratoire et dont les résultats définitifs ont été observés en <tag>arabie saoudite</tag> en mars 2020.	Linguistic Conventions - Character encoding	Minor	5235710
5	doc2	This was a multi-centre retrospective cohort study that included all laboratory-confirmed COVID-19 cases with definitive outcomes in Saudi Arabia during March 2020.		Il s'agissait d'une étude de cohorte rétrospective multicentrique qui incluait tous les cas de Covid-19 confirmés en laboratoire et dont les résultats définitifs ont été observés en arabie saoudite en mars 2020.	Huawei_AGI_run1	Il s'agissait d'une étude de cohorte rétrospective multicentrique qui incluait tous les cas de Covid-19 confirmés en laboratoire et dont les résultats définitifs ont été observés en arabie saoudite <tag>en</tag> mars 2020.	Style - Non-fluent	Minor	5235710
