SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	Numerous studies have shown that loss of smell is a serious symptom that requires careful differential diagnosis.		Многочисленные исследования показали, что потеря обоняния является серьезным симптомом, который требует тщательной дифференциальной диагностики.	NeMo_run1				5659467
2	doc1	There is convincing evidence that a violation of the sense of smell is not so much a sign of the pathology of the nasal cavity and paranasal sinuses, but it can be a manifestation of neurodegenerative diseases.		Имеются убедительные доказательства того, что нарушение обоняния является не столько признаком патологии полости носа и околоносовых пазух, сколько проявлением нейродегенеративных заболеваний.	NeMo_run1				5659467
3	doc1	Some patients with the identified SARS-CoV-2 virus have neurological symptoms.		Некоторые пациенты с выявленным вирусом SARS-CoV-2 имеют неврологические симптомы.	NeMo_run1				5659467
4	doc1	Most of them are not specific - headache, dizziness, fatigue, myalgia.		Большинство из них не специфичны - головная боль, головокружение, усталость, миалгия.	NeMo_run1	Большинство из них не специфичны <tag>-</tag> головная боль, головокружение, усталость, миалгия.	Linguistic Conventions - Punctuation	Neutral	5659467
5	doc1	A small percentage of patients with COVID-19 infection have convulsions, impaired consciousness, and the presence of 2019-NCoV RNA was found in the cerebrospinal fluid.		Небольшой процент пациентов с инфекцией COVID-19 имеют судороги, нарушение сознания, а наличие 2019-NCoV РНК было обнаружено в спинномозговой жидкости.	NeMo_run1	Небольшой процент пациентов с инфекцией COVID-19 имеют судороги, нарушение сознания, а наличие <tag>2019-NCoV РНК</tag> было обнаружено в спинномозговой жидкости.	Other	Neutral	5659467
6	doc1	Data on the development of new symptoms of the disease, in the form of anosmia and dysgeusia, are presented.		Представлены данные о развитии новых симптомов заболевания, в виде аносмии и дисгевзии.	NeMo_run1	Представлены данные о развитии новых симптомов заболевания<tag>,</tag> в виде аносмии и дисгевзии.	Linguistic Conventions - Punctuation	Minor	5659467
1	doc100	The article is devoted to the issues of medical rehabilitation of children with consequences of perinatal affection of the central nervous system (CNS).		Статья посвящена вопросам медицинской реабилитации детей с последствиями перинатального поражения центральной нервной системы (ЦНС).	NeMo_run1				5659467
2	doc100	An important and principal aspect of the medical rehabilitation of children with perinatal pathology is the minimization of drugs, in this regard, in children in the first year of life, the leading role is given to non-drug methods of exposure.		Важным и принципиальным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация приема лекарственных препаратов, в связи с этим у детей первого года жизни ведущая роль отводится немедикаментозным методам воздействия.	NeMo_run1				5659467
3	doc100	Among the important challenges of the medical rehabilitation of children with perinatal pathology are: improvement of blood supply and metabolic processes in the brain tissue, normalization of the central and peripheral regulation of muscle tone, improvement of neuromuscular conduction, stimulation of psychomotor development.		Важными задачами медицинской реабилитации детей с перинатальной патологией являются: улучшение кровоснабжения и обменных процессов в ткани головного мозга, нормализация центральной и периферической регуляции мышечного тонуса, улучшение нервно-мышечной проводимости, стимуляция психомоторного развития.	NeMo_run1				5659467
4	doc100	In this case, kinesitherapy technologies are of leading importance: massotherapy, therapeutic exercises, reflex kinesitherapy according to V. Vojta; fitball gymnastics, method of fine finger training, dry floatation, etc. Along with physical rehabilitation methods, physiotherapy methods are actively used, which makes it possible to increase the effectiveness of treatment.		В данном случае ведущее значение имеют технологии кинезитерапии: массотерапия, лечебная гимнастика, рефлекторная кинезитерапия по В. Войте; фитбольная гимнастика, метод тренировки тонких пальцев, сухая флотация и др. Наряду с методами физической реабилитации активно используются методы физиотерапии, что позволяет повысить эффективность лечения.	NeMo_run1				5659467
5	doc100	The analysis of the literature showed that the use of modern non-drug technologies in children with perinatal CNS pathology, and their introduction into practice can significantly increase the effectiveness of medical rehabilitation of such children.		Анализ литературы показал, что применение современных немедикаментозных технологий у детей с перинатальной патологией ЦНС и их внедрение в практику позволяет значительно повысить эффективность медицинской реабилитации таких детей.	NeMo_run1				5659467
1	doc12	To estimate the effect of airline travel restrictions on the risk of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) importation.		Оценить влияние ограничений на авиаперевозки на риск импорта тяжелого острого респираторного синдрома коронавируса 2 (SARS-CoV-2).	NeMo_run1	Оценить влияние <tag>ограничений на авиаперевозки на</tag> риск импорта тяжелого острого респираторного синдрома коронавируса 2 (SARS-CoV-2).	Style - Non-fluent	Neutral	5659467
2	doc12	We extracted passenger volume data for the entire global airline network, as well as the dates of the implementation of travel restrictions and the observation of the first case of coronavirus disease (COVID-19) in each country or territory, from publicly available sources.		Мы извлекли данные о пассажиропотоке по всей глобальной сети авиакомпаний, а также даты введения ограничений на поездки и наблюдения за первым случаем коронавирусной болезни (COVID-19) в каждой стране или территории из общедоступных источников.	NeMo_run1	<tag>Мы извлекли данные о пассажиропотоке по всей глобальной сети авиакомпаний, а также даты введения ограничений на поездки и наблюдения за первым случаем коронавирусной болезни (COVID-19) в каждой стране или территории из общедоступных источников.</tag>	Style - Non-fluent	Minor	5659467
3	doc12	We calculated effective distance between every airport and the city of Wuhan, China.		Мы рассчитали эффективное расстояние между каждым аэропортом и городом Ухань, Китай.	NeMo_run1				5659467
4	doc12	We modelled the risk of SARS-CoV-2 importation by estimating survival probability, expressing median time of importation as a function of effective distance.		Мы моделировали риск импорта SARS-CoV-2, оценивая вероятность выживания, выражая среднее время импорта как функцию эффективного расстояния.	NeMo_run1	Мы моделировали риск импорта SARS-CoV-2, <tag>оценивая вероятность выживания, выражая</tag> среднее время импорта как функцию эффективного расстояния.	Style - Non-fluent	Neutral	5659467
4	doc12	We modelled the risk of SARS-CoV-2 importation by estimating survival probability, expressing median time of importation as a function of effective distance.		Мы моделировали риск импорта SARS-CoV-2, оценивая вероятность выживания, выражая среднее время импорта как функцию эффективного расстояния.	NeMo_run1	Мы <tag>моделировали</tag> риск импорта SARS-CoV-2, оценивая вероятность выживания, выражая среднее время импорта как функцию эффективного расстояния.	Style - Non-fluent	Neutral	5659467
5	doc12	We calculated the relative change in importation risk under three different hypothetical scenarios that all resulted in different passenger volumes.		Мы рассчитали относительное изменение риска импорта при трех различных гипотетических сценариях, каждый из которых привел к различным объемам пассажирских перевозок.	NeMo_run1				5659467
6	doc12	We identified 28 countries with imported cases of COVID-19 as at 26 February 2020.		Мы выявили 28 стран с импортированными случаями COVID-19 по состоянию на 26 февраля 2020 года.	NeMo_run1				5659467
7	doc12	The arrival time of the virus at these countries ranged from 39 to 80 days since identification of the first case in Wuhan.		Время прибытия вируса в эти страны варьировалось от 39 до 80 дней с момента выявления первого случая в Ухане.	NeMo_run1				5659467
8	doc12	Our analysis of relative change in risk indicated that strategies of reducing global passenger volume and imposing travel restrictions at a further 10 hub airports would be equally effective in reducing the risk of importation of SARS-CoV-2; however, this reduction is very limited with a close-to-zero median relative change in risk.		Наш анализ относительного изменения риска показал, что стратегии сокращения глобального объема пассажирских перевозок и введения ограничений на поездки еще в 10 узловых аэропортах были бы одинаково эффективны в снижении риска импорта SARS-CoV-2; однако это снижение очень ограничено при близком к нулю медианном относительном изменении риска.	NeMo_run1	Наш анализ относительного изменения риска показал, что стратегии сокращения глобального объема пассажирских перевозок и введения ограничений на поездки еще в 10 узловых аэропортах были бы одинаково эффективны <tag>в снижении</tag> риска импорта SARS-CoV-2; однако это снижение очень ограничено при близком к нулю медианном относительном изменении риска.	Style - Non-fluent	Minor	5659467
8	doc12	Our analysis of relative change in risk indicated that strategies of reducing global passenger volume and imposing travel restrictions at a further 10 hub airports would be equally effective in reducing the risk of importation of SARS-CoV-2; however, this reduction is very limited with a close-to-zero median relative change in risk.		Наш анализ относительного изменения риска показал, что стратегии сокращения глобального объема пассажирских перевозок и введения ограничений на поездки еще в 10 узловых аэропортах были бы одинаково эффективны в снижении риска импорта SARS-CoV-2; однако это снижение очень ограничено при близком к нулю медианном относительном изменении риска.	NeMo_run1	Наш анализ относительного изменения риска показал, что стратегии сокращения глобального объема пассажирских перевозок и введения ограничений на поездки еще в 10 узловых аэропортах были бы одинаково эффективны в снижении риска импорта SARS-<tag>CoV-2;</tag> однако это снижение очень ограничено при близком к нулю медианном относительном изменении риска.	Linguistic Conventions - Punctuation	Minor	5659467
9	doc12	The hypothetical variations in observed travel restrictions were not sufficient to prevent the global spread of SARS-CoV-2; further research should also consider travel by land and sea.		Гипотетические вариации в наблюдаемых ограничениях на поездки были недостаточны для предотвращения глобального распространения SARS-CoV-2; дальнейшие исследования должны также рассмотреть путешествия по суше и морю.	NeMo_run1				5659467
10	doc12	Our study highlights the importance of strengthening local capacities for disease monitoring and control.		В нашем исследовании подчеркивается важность укрепления местного потенциала для мониторинга заболеваний и борьбы с ними.	NeMo_run1				5659467
1	doc13	To assess the efficacy of an immunomodulatory drug based on a muramylpeptide composition in the treatment of patients with chronic generalized periodontitis.		Оценить эффективность иммуномодулирующего препарата на основе мурамилпептидного состава в лечении пациентов с хроническим генерализованным пародонтитом.	NeMo_run1				5659467
2	doc13	The study comprised 40 patients with chronic generalized periodontitis.		В исследование включены 40 пациентов с хроническим генерализованным периодонтитом.	NeMo_run1				5659467
3	doc13	In controls the treatment consisted in oral hygiene instructions, professional oral hygiene procedures and root scalling while in main study group the conventional treatment protocol was combined with intramuscular injections of muramylpeptide composition.		В контрольной группе лечение состояло из инструкций по гигиене полости рта, профессиональных процедур гигиены полости рта и корневого скаллинга, в то время как в основной группе обычный протокол лечения сочетался с внутримышечными инъекциями мурамилпептидного состава.	NeMo_run1	В контрольной группе лечение <tag>состояло из</tag> инструкций по гигиене полости рта, профессиональных процедур гигиены полости рта и корневого скаллинга, в то время как в основной группе обычный протокол лечения сочетался с внутримышечными инъекциями мурамилпептидного состава.	Style - Non-fluent	Neutral	5659467
4	doc13	The study showed significant reduction of inflammatory symptoms in periodontal tissues in muramylpeptide composition group.		Исследование показало значительное уменьшение воспалительных симптомов в периодонтальных тканях в группе состава мурамилпептида.	NeMo_run1				5659467
5	doc13	Muramylpeptide composition increases the threshold of tissue protection against constantly present microbial accumulations in periodontal disease patients thus providing opportunity for excluding toxic antimicrobial agents and/or antibiotics (or reducing their dosages).		Мурамилпептидный состав повышает порог защиты тканей от постоянно присутствующих микробных скоплений у пациентов с заболеваниями пародонта, что дает возможность исключить токсические противомикробные препараты и / или антибиотики (или уменьшить их дозировку).	NeMo_run1	Мурамилпептидный состав повышает порог защиты тканей от постоянно присутствующих микробных скоплений у пациентов с заболеваниями <tag>пародонта</tag>, что дает возможность исключить токсические противомикробные препараты и / или антибиотики (или уменьшить их дозировку).	Accuracy - Mistranslation	Major	5659467
1	doc16	A simplified grading system for trachoma was published by the World Health Organization (WHO) in 1987.		Упрощенная система классификации трахомы была опубликована Всемирной организацией здравоохранения (ВОЗ) в 1987 году.	NeMo_run1				5659467
2	doc16	Intended for use by non-specialist personnel working at community level, the system includes five signs, each of which can be present or absent in any eye: (i) trachomatous trichiasis; (ii) corneal opacity; (iii) trachomatous inflammation-follicular; (iv) trachomatous inflammation-intense; and (v) trachomatous scarring.		Эта система предназначена для использования неспециалистами, работающими на общинном уровне, и включает пять признаков, каждый из которых может присутствовать или отсутствовать в любом глазу: (i) трахоматозный трихоз; (ii) помутнение роговицы; (iii) трахоматозное воспаление - фолликулярное; (iv) трахоматозное воспаление - интенсивное; и (v) трахоматозное рубцевание.	NeMo_run1	Эта система предназначена для использования неспециалистами, работающими <tag>на общинном уровне</tag>, и включает пять признаков, каждый из которых может присутствовать или отсутствовать в любом глазу: (i) трахоматозный трихоз; (ii) помутнение роговицы; (iii) трахоматозное воспаление - фолликулярное; (iv) трахоматозное воспаление - интенсивное; и (v) трахоматозное рубцевание.	Accuracy - Mistranslation	Minor	5659467
2	doc16	Intended for use by non-specialist personnel working at community level, the system includes five signs, each of which can be present or absent in any eye: (i) trachomatous trichiasis; (ii) corneal opacity; (iii) trachomatous inflammation-follicular; (iv) trachomatous inflammation-intense; and (v) trachomatous scarring.		Эта система предназначена для использования неспециалистами, работающими на общинном уровне, и включает пять признаков, каждый из которых может присутствовать или отсутствовать в любом глазу: (i) трахоматозный трихоз; (ii) помутнение роговицы; (iii) трахоматозное воспаление - фолликулярное; (iv) трахоматозное воспаление - интенсивное; и (v) трахоматозное рубцевание.	NeMo_run1	Эта система предназначена для использования неспециалистами, работающими на общинном уровне, и включает пять признаков, каждый из которых может присутствовать или отсутствовать в любом глазу: (i) трахоматозный трихоз; (ii) помутнение роговицы; (iii) трахоматозное воспаление <tag>-</tag> фолликулярное; (iv) трахоматозное воспаление - интенсивное; и (v) трахоматозное рубцевание.	Linguistic Conventions - Punctuation	Neutral	5659467
2	doc16	Intended for use by non-specialist personnel working at community level, the system includes five signs, each of which can be present or absent in any eye: (i) trachomatous trichiasis; (ii) corneal opacity; (iii) trachomatous inflammation-follicular; (iv) trachomatous inflammation-intense; and (v) trachomatous scarring.		Эта система предназначена для использования неспециалистами, работающими на общинном уровне, и включает пять признаков, каждый из которых может присутствовать или отсутствовать в любом глазу: (i) трахоматозный трихоз; (ii) помутнение роговицы; (iii) трахоматозное воспаление - фолликулярное; (iv) трахоматозное воспаление - интенсивное; и (v) трахоматозное рубцевание.	NeMo_run1	Эта система предназначена для использования неспециалистами, работающими на общинном уровне, и включает пять признаков, каждый из которых может присутствовать или отсутствовать в любом глазу: (i) трахоматозный трихоз; (ii) помутнение роговицы; (iii) трахоматозное воспаление - фолликулярное; (iv) трахоматозное воспаление <tag>-</tag> интенсивное; и (v) трахоматозное рубцевание.	Linguistic Conventions - Punctuation	Neutral	5659467
2	doc16	Intended for use by non-specialist personnel working at community level, the system includes five signs, each of which can be present or absent in any eye: (i) trachomatous trichiasis; (ii) corneal opacity; (iii) trachomatous inflammation-follicular; (iv) trachomatous inflammation-intense; and (v) trachomatous scarring.		Эта система предназначена для использования неспециалистами, работающими на общинном уровне, и включает пять признаков, каждый из которых может присутствовать или отсутствовать в любом глазу: (i) трахоматозный трихоз; (ii) помутнение роговицы; (iii) трахоматозное воспаление - фолликулярное; (iv) трахоматозное воспаление - интенсивное; и (v) трахоматозное рубцевание.	NeMo_run1	Эта система предназначена для использования неспециалистами, работающими на общинном уровне, и включает пять признаков, каждый из которых может присутствовать или отсутствовать в любом глазу: (i) трахоматозный трихоз; (ii) помутнение роговицы; (iii) трахоматозное воспаление - фолликулярное; (iv) трахоматозное воспаление - интенсивное<tag>;</tag> и (v) трахоматозное рубцевание.	Linguistic Conventions - Punctuation	Neutral	5659467
3	doc16	Though neither perfectly sensitive nor perfectly specific for trachoma, these signs have been essential tools for identifying populations that need interventions to eliminate trachoma as a public health problem.		Хотя эти признаки не являются ни полностью чувствительными, ни совершенно специфичными для трахомы, они являются важными инструментами для выявления групп населения, нуждающихся в вмешательстве для ликвидации трахомы как проблемы общественного здравоохранения.	NeMo_run1	Хотя эти признаки не являются ни <tag>полностью чувствительными</tag>, ни совершенно специфичными для трахомы, они являются важными инструментами для выявления групп населения, нуждающихся в вмешательстве для ликвидации трахомы как проблемы общественного здравоохранения.	Accuracy - Mistranslation	Minor	5659467
3	doc16	Though neither perfectly sensitive nor perfectly specific for trachoma, these signs have been essential tools for identifying populations that need interventions to eliminate trachoma as a public health problem.		Хотя эти признаки не являются ни полностью чувствительными, ни совершенно специфичными для трахомы, они являются важными инструментами для выявления групп населения, нуждающихся в вмешательстве для ликвидации трахомы как проблемы общественного здравоохранения.	NeMo_run1	Хотя эти признаки не являются ни полностью чувствительными, ни совершенно специфичными для трахомы, они являются важными инструментами для выявления групп населения, нуждающихся <tag>в вмешательстве</tag> для ликвидации трахомы как проблемы общественного здравоохранения.	Linguistic Conventions - Grammar	Minor	5659467
3	doc16	Though neither perfectly sensitive nor perfectly specific for trachoma, these signs have been essential tools for identifying populations that need interventions to eliminate trachoma as a public health problem.		Хотя эти признаки не являются ни полностью чувствительными, ни совершенно специфичными для трахомы, они являются важными инструментами для выявления групп населения, нуждающихся в вмешательстве для ликвидации трахомы как проблемы общественного здравоохранения.	NeMo_run1	<tag>Хотя эти признаки не являются ни</tag> полностью чувствительными, ни совершенно специфичными для трахомы, они являются важными инструментами для выявления групп населения, нуждающихся в вмешательстве для ликвидации трахомы как проблемы общественного здравоохранения.	Style - Non-fluent	Neutral	5659467
3	doc16	Though neither perfectly sensitive nor perfectly specific for trachoma, these signs have been essential tools for identifying populations that need interventions to eliminate trachoma as a public health problem.		Хотя эти признаки не являются ни полностью чувствительными, ни совершенно специфичными для трахомы, они являются важными инструментами для выявления групп населения, нуждающихся в вмешательстве для ликвидации трахомы как проблемы общественного здравоохранения.	NeMo_run1	Хотя эти признаки не являются ни полностью чувствительными, <tag>ни совершенно специфичными для трахомы, они являются важными инструментами для выявления групп населения, нуждающихся</tag> в вмешательстве для ликвидации трахомы как проблемы общественного здравоохранения.	Style - Non-fluent	Neutral	5659467
3	doc16	Though neither perfectly sensitive nor perfectly specific for trachoma, these signs have been essential tools for identifying populations that need interventions to eliminate trachoma as a public health problem.		Хотя эти признаки не являются ни полностью чувствительными, ни совершенно специфичными для трахомы, они являются важными инструментами для выявления групп населения, нуждающихся в вмешательстве для ликвидации трахомы как проблемы общественного здравоохранения.	NeMo_run1	Хотя эти признаки не являются ни полностью чувствительными, ни совершенно специфичными для трахомы, они являются важными инструментами для выявления групп населения, нуждающихся в вмешательстве <tag>для ликвидации трахомы как проблемы общественного здравоохранения.</tag>	Style - Non-fluent	Neutral	5659467
4	doc16	In 2018, at WHO's 4th global scientific meeting on trachoma, the definition of one of the signs, trachomatous trichiasis, was amended to exclude trichiasis that affects only the lower eyelid.		В 2018 году на 4-й глобальной научной конференции ВОЗ по трахоме в определение одного из признаков - трахоматозного трихоза - были внесены поправки, исключающие трихоз, поражающий только нижнее веко.	NeMo_run1	В 2018 году на 4-й глобальной научной конференции ВОЗ по трахоме в определение одного из признаков <tag>-</tag> трахоматозного трихоза - были внесены поправки, исключающие трихоз, поражающий только нижнее веко.	Linguistic Conventions - Punctuation	Neutral	5659467
