SEG_ID	Doc	Source	Tagged Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	Numerous studies have shown that loss of smell is a serious symptom that requires careful differential diagnosis.		Многочисленные исследования показали, что потеря обоняния является серьезным симптомом, который требует тщательной дифференциальной диагностики.	NeMo_run2				5659467
2	doc1	There is convincing evidence that a violation of the sense of smell is not so much a sign of the pathology of the nasal cavity and paranasal sinuses, but it can be a manifestation of neurodegenerative diseases.		Имеются убедительные доказательства того, что нарушение обоняния является не столько признаком патологии полости носа и околоносовых пазух, сколько может быть проявлением нейродегенеративных заболеваний.	NeMo_run2				5659467
3	doc1	Some patients with the identified SARS-CoV-2 virus have neurological symptoms.		Некоторые пациенты с выявленным вирусом SARS-CoV-2 имеют неврологические симптомы.	NeMo_run2				5659467
4	doc1	Most of them are not specific - headache, dizziness, fatigue, myalgia.		Большинство из них не специфичны - головная боль, головокружение, усталость, миалгия.	NeMo_run2	Большинство из них не специфичны <tag>-</tag> головная боль, головокружение, усталость, миалгия.	Linguistic Conventions - Punctuation	Minor	5659467
5	doc1	A small percentage of patients with COVID-19 infection have convulsions, impaired consciousness, and the presence of 2019-NCoV RNA was found in the cerebrospinal fluid.		Небольшой процент пациентов с инфекцией COVID-19 имеют судороги, нарушение сознания, а наличие РНК 2019-NCoV было обнаружено в спинномозговой жидкости.	NeMo_run2	Небольшой процент пациентов с инфекцией COVID-19 имеют судороги, нарушение сознания, <tag>а наличие РНК 2019-NCoV было обнаружено в спинномозговой жидкости.</tag>	Style - Non-fluent	Neutral	5659467
6	doc1	Data on the development of new symptoms of the disease, in the form of anosmia and dysgeusia, are presented.		Представлены данные о развитии новых симптомов заболевания в виде аносмии и дисгевзии.	NeMo_run2				5659467
1	doc100	The article is devoted to the issues of medical rehabilitation of children with consequences of perinatal affection of the central nervous system (CNS).		Статья посвящена вопросам медицинской реабилитации детей с последствиями перинатального поражения центральной нервной системы (ЦНС).	NeMo_run2				5659467
2	doc100	An important and principal aspect of the medical rehabilitation of children with perinatal pathology is the minimization of drugs, in this regard, in children in the first year of life, the leading role is given to non-drug methods of exposure.		Важным и принципиальным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация лекарственных препаратов, в связи с этим у детей первого года жизни ведущая роль отводится немедикаментозным методам воздействия.	NeMo_run2	Важным и принципиальным аспектом медицинской реабилитации детей с перинатальной патологией является <tag>минимизация лекарственных препаратов</tag>, в связи с этим у детей первого года жизни ведущая роль отводится немедикаментозным методам воздействия.	Accuracy - Mistranslation	Minor	5659467
2	doc100	An important and principal aspect of the medical rehabilitation of children with perinatal pathology is the minimization of drugs, in this regard, in children in the first year of life, the leading role is given to non-drug methods of exposure.		Важным и принципиальным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация лекарственных препаратов, в связи с этим у детей первого года жизни ведущая роль отводится немедикаментозным методам воздействия.	NeMo_run2	Важным и принципиальным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация лекарственных препаратов, <tag>в связи с этим</tag> у детей первого года жизни ведущая роль отводится немедикаментозным методам воздействия.	Style - Non-fluent	Minor	5659467
2	doc100	An important and principal aspect of the medical rehabilitation of children with perinatal pathology is the minimization of drugs, in this regard, in children in the first year of life, the leading role is given to non-drug methods of exposure.		Важным и принципиальным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация лекарственных препаратов, в связи с этим у детей первого года жизни ведущая роль отводится немедикаментозным методам воздействия.	NeMo_run2	Важным и принципиальным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация лекарственных препаратов, в связи с этим у детей первого года жизни ведущая роль отводится немедикаментозным методам <tag>воздействия</tag>.	Accuracy - Mistranslation	Minor	5659467
