SEG_ID	Doc	Source	Tagged Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	Numerous studies have shown that loss of smell is a serious symptom that requires careful differential diagnosis.		Многочисленные исследования показали, что потеря запаха является серьезным симптомом, требующим тщательной дифференциальной диагностики.	TMT_run1				5000376
2	doc1	There is convincing evidence that a violation of the sense of smell is not so much a sign of the pathology of the nasal cavity and paranasal sinuses, but it can be a manifestation of neurodegenerative diseases.		Существуют убедительные доказательства того, что нарушение обоняния не настолько является признаком патологии носовой полости и околоносовых пазух, но может быть проявлением нейродегенеративных заболеваний.	TMT_run1				5000376
3	doc1	Some patients with the identified SARS-CoV-2 virus have neurological symptoms.		У некоторых пациентов с выявленным вирусом SARS-CoV-2 наблюдаются неврологические симптомы.	TMT_run1				5000376
4	doc1	Most of them are not specific - headache, dizziness, fatigue, myalgia.		Большинство из них не являются специфическими - головная боль, головокружение, усталость, миалгия.	TMT_run1				5000376
5	doc1	A small percentage of patients with COVID-19 infection have convulsions, impaired consciousness, and the presence of 2019-NCoV RNA was found in the cerebrospinal fluid.		У небольшого процента пациентов с инфекцией COVID-19 наблюдаются судороги, нарушение сознания, а в спинномозговой жидкости было обнаружено присутствие РНК 2019-NCoV.	TMT_run1				5000376
6	doc1	Data on the development of new symptoms of the disease, in the form of anosmia and dysgeusia, are presented.		Представлены данные о развитии новых симптомов заболевания в виде аносмии и дисгевзии.	TMT_run1				5000376
1	doc100	The article is devoted to the issues of medical rehabilitation of children with consequences of perinatal affection of the central nervous system (CNS).		Статья посвящена вопросам медицинской реабилитации детей с последствиями перинатального поражения центральной нервной системы (ЦНС).	TMT_run1				5000376
2	doc100	An important and principal aspect of the medical rehabilitation of children with perinatal pathology is the minimization of drugs, in this regard, in children in the first year of life, the leading role is given to non-drug methods of exposure.		Важным и основным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация приема лекарств, в этом отношении у детей в первом году жизни ведущая роль играет нелекарственные методы воздействия.	TMT_run1	Важным и основным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация приема лекарств, в этом отношении у детей в первом году жизни <tag>ведущая</tag> роль играет нелекарственные методы воздействия.	Linguistic Conventions - Grammar	Major	5000376
2	doc100	An important and principal aspect of the medical rehabilitation of children with perinatal pathology is the minimization of drugs, in this regard, in children in the first year of life, the leading role is given to non-drug methods of exposure.		Важным и основным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация приема лекарств, в этом отношении у детей в первом году жизни ведущая роль играет нелекарственные методы воздействия.	TMT_run1	Важным и основным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация приема лекарств, в этом отношении у детей в <tag>первом году</tag> жизни ведущая роль играет нелекарственные методы воздействия.	Linguistic Conventions - Grammar	Major	5000376
2	doc100	An important and principal aspect of the medical rehabilitation of children with perinatal pathology is the minimization of drugs, in this regard, in children in the first year of life, the leading role is given to non-drug methods of exposure.		Важным и основным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация приема лекарств, в этом отношении у детей в первом году жизни ведущая роль играет нелекарственные методы воздействия.	TMT_run1	Важным и основным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация приема лекарств, в этом отношении у детей в первом году жизни ведущая роль <tag>играет</tag> нелекарственные методы воздействия.	Linguistic Conventions - Grammar	Major	5000376
3	doc100	Among the important challenges of the medical rehabilitation of children with perinatal pathology are: improvement of blood supply and metabolic processes in the brain tissue, normalization of the central and peripheral regulation of muscle tone, improvement of neuromuscular conduction, stimulation of psychomotor development.		Среди важных задач медицинской реабилитации детей с перинатальной патологией являются: улучшение кровоснабжения и метаболических процессов в тканях мозга, нормализация центральной и периферической регуляции мышечного тона, улучшение нервно-мышечной проводимости, стимуляция психомоторного развития.	TMT_run1				5000376
4	doc100	In this case, kinesitherapy technologies are of leading importance: massotherapy, therapeutic exercises, reflex kinesitherapy according to V. Vojta; fitball gymnastics, method of fine finger training, dry floatation, etc. Along with physical rehabilitation methods, physiotherapy methods are actively used, which makes it possible to increase the effectiveness of treatment.		В этом случае передовые технологии кинезитерапии имеют первостепенное значение: массотерапия, терапевтические упражнения, рефлекторная кинезитерапия согласно V. Vojta; гимнатика фитбола, метод тренировки тонких пальцев, сухое плавание и т.д. Наряду с методами физической реабилитации активно используются методы физиотерапии, что позволяет повысить эффективность лечения.	TMT_run1	В этом случае <tag>передовые</tag> технологии кинезитерапии имеют первостепенное значение: массотерапия, терапевтические упражнения, рефлекторная кинезитерапия согласно V. Vojta; гимнатика фитбола, метод тренировки тонких пальцев, сухое плавание и т.д. Наряду с методами физической реабилитации активно используются методы физиотерапии, что позволяет повысить эффективность лечения.	Accuracy - Addition	Neutral	5000376
4	doc100	In this case, kinesitherapy technologies are of leading importance: massotherapy, therapeutic exercises, reflex kinesitherapy according to V. Vojta; fitball gymnastics, method of fine finger training, dry floatation, etc. Along with physical rehabilitation methods, physiotherapy methods are actively used, which makes it possible to increase the effectiveness of treatment.		В этом случае передовые технологии кинезитерапии имеют первостепенное значение: массотерапия, терапевтические упражнения, рефлекторная кинезитерапия согласно V. Vojta; гимнатика фитбола, метод тренировки тонких пальцев, сухое плавание и т.д. Наряду с методами физической реабилитации активно используются методы физиотерапии, что позволяет повысить эффективность лечения.	TMT_run1	В этом случае передовые технологии кинезитерапии имеют <tag>первостепенное значение</tag>: массотерапия, терапевтические упражнения, рефлекторная кинезитерапия согласно V. Vojta; гимнатика фитбола, метод тренировки тонких пальцев, сухое плавание и т.д. Наряду с методами физической реабилитации активно используются методы физиотерапии, что позволяет повысить эффективность лечения.	Accuracy - Mistranslation	Minor	5000376
