SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	To compare the effect of Sheng-Xue-Xiao-Ban Capsule (SXXBC) and indirubin to the peripheral platelets of the Idiopathic thrombocytopenic purpura (ITP) model mouse. 		比较升血小板胶囊和靛玉红对免疫性血小板减少症(ITP)模型小鼠外周血小板数的提升效果。 	ECNU_PAHT_run3				71680
2	doc1	The ITP mouse model was established by the method of passive immunization. 		以被动免疫法建立ITP小鼠模型。 	ECNU_PAHT_run3				215701
3	doc1	SXXBC and indirubin were used for intervention treatment. 		以升血小板胶囊和靛玉红作为干预治疗药物。 	ECNU_PAHT_run3				215701
4	doc1	Then the hemorrhagic phenomena of ITP mice were observed and the numbers of peripheral platelets, hemoglobin and white blood cells, bone marrow megakaryocytes and their classification and coagulation function were detected and compared. 		然后观察ITP小鼠的出血现象，检测并比较外周血血小板，血红蛋白和白细胞，骨髓巨核细胞总数及其分类和凝血功能。 	ECNU_PAHT_run3				215701
5	doc1	The improvement rate of hemorrhage in SXXBC group was 40% for small dose, 60% for medium dose and 80% for high dose, while the improvement rate of hemorrhage in indirubin group was 30% for small dose, 50% for medium dose and 60% for high dose. 		升血小板胶囊组出血改善率小剂量为40%，中剂量为60%，大剂量为80%，靛玉红组出血改善率小剂量为30%，中剂量为50%, 高剂量为60%。 	ECNU_PAHT_run3				215701
6	doc1	There was no statistically significant difference in the improvement rate of hemorrhage between the two groups (P＞0.05). 		两组出血改善率的组间比较无统计学意义(P＞0.05)。 	ECNU_PAHT_run3	两组出血改善率的组间比较无<tag>统计学意义</tag>(P＞0.05)。 	Terminology - Wrong term	Major	215701
7	doc1	Compared with the model control group, PLT and Hb increased in different doses of SXXBC and indirubin group 4th-8th day after drug intervention (P＜0.05, 0.01). 		与模型对照组比较，不同剂量升血小板胶囊和靛玉红组药物干预后第4-8天PLT和Hb升高(P＜0.05,0.01)。 	ECNU_PAHT_run3				215701
8	doc1	However, there was no significant difference between the different doses of SXXBC group and indirubin group (P＞0.05). 		不同剂量升血小板胶囊组与靛玉红组比较差异无统计学意义(P＞0.05)。 	ECNU_PAHT_run3	不同剂量升血小板胶囊组与靛玉红组比较差异无<tag>统计学意义</tag>(P＞0.05)。 	Terminology - Wrong term	Major	215701
9	doc1	Compared with the model control group, the WBC in each group was significantly lower (P＜0.05, 0.01) on the 4th-8th day after drug intervention; However, there was no statistical significance between the two groups of SXXBC and indirubin (P＞0.05). 		与模型对照组相比，药物干预后第4-8天各组WBC明显降低(P＜0.05,0.01)；然而，升血小板胶囊和靛玉红2组间比较差异无统计学意义(P＞0.05)。 	ECNU_PAHT_run3	与模型对照组相比，药物干预后第4-8天各组WBC明显降低(P＜0.05,0.01)；然而，升血小板胶囊和靛玉红<tag>2</tag>组间比较差异无统计学意义(P＞0.05)。 	Locale Conventions - Number format	Major	215701
10	doc1	Compared with the model control group, the total number of megakaryocytes in each treatment group were decreased (P＜0.05, P＜0.01), in which the number of primary megakaryocytes in the large and medium dose groups of SXXBC and indirubin were decreased (P＜0.05, 0.01), and the number of juvenile megakaryocytes in the large dose group of SXXBC and indirubin were also decreased (P＜0.05). 		与模型对照组相比，各治疗组巨核细胞总数均减少(P＜0.05，P＜0.01)，其中升血小板胶囊和靛玉红大，中剂量组原始巨核细胞数量下降(P＜0.05，0.01)，大剂量组SXXBC和靛玉红中幼稚巨核细胞数量也下降(P＜0.05)。 	ECNU_PAHT_run3				215701
11	doc1	The number of granular megakaryocytes were decreased in each intervention groups (P＜0.05, 0.01), and the number of thromocytogenic megakaryocyte was increased in the high and medium dose groups of SXXBC and indirubin (P＜0.01). 		各干预组颗粒巨核细胞数量均下降(P＜0.05,0.01)，高，中剂量组SXXBC和靛玉红的血小板生成巨核细胞数量上升(P<0.01)。 	ECNU_PAHT_run3				215701
12	doc1	The time of prothrombin was shortened in the high and medium dose groups of SXXBC and indirubin (P＜0.05), and the fibrinogen (FIB) content in the high and medium dose groups of SXXBC was close to that of the normal control group. 		升血小板胶囊和靛玉红大，中剂量组凝血酶原时间缩短(P＜0.05)，升血小板胶囊大，中剂量组纤维蛋白原(FIB)含量接近正常对照组。 	ECNU_PAHT_run3				215701
13	doc1	Both of the SXXBC and the indirubin standard all show good hemostatic effects. 		升血小板胶囊和靛玉红标准均显示出良好的止血效果。 	ECNU_PAHT_run3				215701
14	doc1	Indirubin shows a positive effect on increasing the peripheral platelet and hemoglobin in ITP model mice, regulating the immune response, reducing the total number of bone marrow megakaryocytes, increasing the thromocytogenic megakaryocyte, and increasing coagulation function.		靛玉红具有增加ITP模型小鼠的外周血小板和血红蛋白，调节免疫应答，降低骨髓巨核细胞总数，增加血栓形成巨核细胞和增加凝血功能的积极作用。 	ECNU_PAHT_run3				215701
1	doc2	A simplified grading system for trachoma was published by the World Health Organization (WHO) in 1987. 		世界卫生组织(WHO)于1987年发布了沙眼简化分级系统。 	ECNU_PAHT_run3				215701
2	doc2	Intended for use by non-specialist personnel working at community level, the system includes five signs, each of which can be present or absent in any eye: (i) trachomatous trichiasis; (ii) corneal opacity; (iii) trachomatous inflammation-follicular; (iv) trachomatous inflammation-intense; and (v) trachomatous scarring. 		该系统旨在供在社区一级工作的非专业人员使用，包括五个标志，每个标志都可以出现或不存在：(i) 沙眼性倒睫(二) 角膜混浊(iii) 沙眼炎症滤泡(四) 沙眼炎症强烈；和(v) 沙眼疤痕。 	ECNU_PAHT_run3				215701
3	doc2	Though neither perfectly sensitive nor perfectly specific for trachoma, these signs have been essential tools for identifying populations that need interventions to eliminate trachoma as a public health problem. 		虽然对沙眼既不完全敏感也不完全特异，但这些迹象已成为确定需要干预措施消除沙眼作为公共卫生问题的人群的重要工具。 	ECNU_PAHT_run3				215701
4	doc2	In 2018, at WHO's 4th global scientific meeting on trachoma, the definition of one of the signs, trachomatous trichiasis, was amended to exclude trichiasis that affects only the lower eyelid. 		2018年，在世界卫生组织第四届全球沙眼科学会议上，对沙眼性倒睫之一的定义进行了修订，以排除仅影响下眼睑的倒睫。 	ECNU_PAHT_run3				215701
5	doc2	This paper presents the amended system, updates its presentation, offers notes on its use and identifies areas of ongoing debate.		本文介绍了修改后的系统，更新其演示文稿，提供使用说明并确定正在进行的辩论领域。 	ECNU_PAHT_run3	本文介绍了修改后的系统，更新其演示文稿，提供使用说明并确定正在进行的<tag>辩论</tag>领域。 	Accuracy - Mistranslation	Minor	215701
1	doc3	Influenza virus infection is a respiratory infectious disease that can seriously affect human health. 		流感病毒感染是一种可严重影响人类健康的呼吸道传染病。 	ECNU_PAHT_run3				215701
2	doc3	Influenza viruses can have frequent antigenic variation and changes, which can result in rapid and widespread transmission resulting in annual epidemics and outbreaks in places of public gathering such as schools, kindergartens and nursing homes. 		流感病毒可以具有频繁的抗原变异和变化，这可以导致快速和广泛的传播，导致在学校，幼儿园和疗养院等公共场所的年度流行病和爆发。 	ECNU_PAHT_run3				215701
3	doc3	According to WHO estimation, seasonal influenza epidemics have caused an annually 3 to 5 million severe cases and 290 000 to 650 000 deaths globally. 		根据世界卫生组织的估计，季节性流感疫情每年造成300万至500万例严重病例，全球死亡29万至65万人。 	ECNU_PAHT_run3				215701
4	doc3	Pregnant women, young children, the elderly, and persons with chronic illnesses are at high risk for severe illness and death associated with influenza virus infection. 		孕妇，幼儿，老年人和慢性病患者患流感病毒感染的严重疾病和死亡风险很高。 	ECNU_PAHT_run3				215701
5	doc3	Especially, COVID-19 pandemic might co-circulate with other respiratory infectious diseases such as influenza in the coming winter-spring season. 		特别是，在未来的冬季春季，新型冠状病毒肺炎大流行可能与流感等其他呼吸道传染病共同传播。 	ECNU_PAHT_run3	特别是，在未来的冬季春季，新型冠状病毒肺炎大流行可能与流感等<tag>其他</tag>呼吸道传染病共同传播。 	Accuracy - Mistranslation	Major	215701
6	doc3	Seasonal influenza vaccination is the most effective way to prevent influenza virus infection and complications from infection. 		季节性流感疫苗接种是预防流感病毒感染和感染并发症的最有效方法。 	ECNU_PAHT_run3				215701
7	doc3	Currently, China has licensed trivalent inactivated influenza vaccine (IIV3) which includes split-virus influenza vaccine and subunit vaccine, quadrivalent inactivated influenza vaccine (IIV4) which is split, and trivalent live attenuated influenza vaccine (LAIV3) which was newly licensed. 		目前，中国已获得三价灭活流感疫苗（IIV3）许可，其中包括分裂病毒流感疫苗和亚单位疫苗，分裂的四价灭活流感疫苗（IIV4）和新许可的三价减毒活流感疫苗（LAIV3）。 	ECNU_PAHT_run3				215701
8	doc3	Except for a few major cities, influenza vaccine is a category Ⅱ vaccine, which means influenza vaccination is voluntary, and recipients must pay for it. 		除少数主要城市外，流感疫苗属于一类Ⅱ 疫苗，这意味着流感疫苗接种是自愿的，接受者必须支付。 	ECNU_PAHT_run3	除少数主要城市外，流感疫苗属于一类Ⅱ 疫苗，这意味着流感疫苗接种是自愿的，接受者必须<tag>支付</tag>。 	Accuracy - Mistranslation	Major	215701
