SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	To compare the effect of Sheng-Xue-Xiao-Ban Capsule (SXXBC) and indirubin to the peripheral platelets of the Idiopathic thrombocytopenic purpura (ITP) model mouse. 		比较生血消斑胶囊和靛玉红对特发性血小板减少性紫癜（ITP）模型小鼠外周血小板的影响。 	Haozhiweizi_run1				209381
2	doc1	The ITP mouse model was established by the method of passive immunization. 		采用被动免疫法建立ITP小鼠模型。 	Haozhiweizi_run1				209381
3	doc1	SXXBC and indirubin were used for intervention treatment. 		干预治疗采用SXXBC和靛玉红。 	Haozhiweizi_run1				93426
4	doc1	Then the hemorrhagic phenomena of ITP mice were observed and the numbers of peripheral platelets, hemoglobin and white blood cells, bone marrow megakaryocytes and their classification and coagulation function were detected and compared. 		观察ITP小鼠的出血现象，检测和比较ITP小鼠外周血小板、血红蛋白、白细胞、骨髓巨核细胞的数量及其分类和凝血功能。 	Haozhiweizi_run1				209381
5	doc1	The improvement rate of hemorrhage in SXXBC group was 40% for small dose, 60% for medium dose and 80% for high dose, while the improvement rate of hemorrhage in indirubin group was 30% for small dose, 50% for medium dose and 60% for high dose. 		小剂量组出血改善率40%，中剂量组60%，高剂量组80%，靛玉红组出血改善率30%，中剂量组50%，高剂量组60%。 	Haozhiweizi_run1	<tag>小剂量组出血改善率40%</tag>，中剂量组60%，高剂量组80%，靛玉红组出血改善率30%，中剂量组50%，高剂量组60%。 	Accuracy - Mistranslation	Critical	216113
5	doc1	The improvement rate of hemorrhage in SXXBC group was 40% for small dose, 60% for medium dose and 80% for high dose, while the improvement rate of hemorrhage in indirubin group was 30% for small dose, 50% for medium dose and 60% for high dose. 		小剂量组出血改善率40%，中剂量组60%，高剂量组80%，靛玉红组出血改善率30%，中剂量组50%，高剂量组60%。 	Haozhiweizi_run1	小剂量组出血改善率40%，中剂量组60%，高剂量组80%，<tag>靛玉红组出血改善率30%</tag>，中剂量组50%，高剂量组60%。 	Accuracy - Mistranslation	Critical	216113
6	doc1	There was no statistically significant difference in the improvement rate of hemorrhage between the two groups (P＞0.05). 		两组出血改善率差异无统计学意义（P＞0.05）。 	Haozhiweizi_run1	两组出血改善率差异无<tag>统计学意义</tag>（P＞0.05）。 	Terminology - Wrong term	Major	209381
7	doc1	Compared with the model control group, PLT and Hb increased in different doses of SXXBC and indirubin group 4th-8th day after drug intervention (P＜0.05, 0.01). 		与模型对照组相比，药物干预后第4~8天，不同剂量的天仙消保胶囊组和靛玉红组PLT和Hb均升高（P＜0.05，0.01）。 	Haozhiweizi_run1	与模型对照组相比，药物干预后第4~8天，不同剂量的<tag>天仙消保胶囊组</tag>和靛玉红组PLT和Hb均升高（P＜0.05，0.01）。 	Terminology - Wrong term	Critical	5274569
8	doc1	However, there was no significant difference between the different doses of SXXBC group and indirubin group (P＞0.05). 		而不同剂量的SXXBC组与靛玉红组比较无显著性差异（P＞0.05）。 	Haozhiweizi_run1				93426
9	doc1	Compared with the model control group, the WBC in each group was significantly lower (P＜0.05, 0.01) on the 4th-8th day after drug intervention; However, there was no statistical significance between the two groups of SXXBC and indirubin (P＞0.05). 		与模型对照组相比，药物干预后第4～8天各组白细胞数均显著降低（P＜0.05，0.01）；两组间差异无统计学意义（P＞0.05）。 	Haozhiweizi_run1				5676111
