SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	To compare the effect of Sheng-Xue-Xiao-Ban Capsule (SXXBC) and indirubin to the peripheral platelets of the Idiopathic thrombocytopenic purpura (ITP) model mouse. 		比较生血消斑胶囊（SXXBC）和靛玉红对特发性血小板减少性紫癜（ITP）模型小鼠外周血小板的影响。 	Huawei_AGI_run3	比较<tag>生血消斑</tag>胶囊（SXXBC）和靛玉红对特发性血小板减少性紫癜（ITP）模型小鼠外周血小板的影响。 	Terminology - Wrong term	Critical	215701
2	doc1	The ITP mouse model was established by the method of passive immunization. 		采用被动免疫法建立ITP小鼠模型。 	Huawei_AGI_run3				215701
3	doc1	SXXBC and indirubin were used for intervention treatment. 		采用SXXBC和靛玉红进行干预治疗。 	Huawei_AGI_run3				215701
4	doc1	Then the hemorrhagic phenomena of ITP mice were observed and the numbers of peripheral platelets, hemoglobin and white blood cells, bone marrow megakaryocytes and their classification and coagulation function were detected and compared. 		观察ITP小鼠的出血现象，检测并比较外周血小板、血红蛋白和白细胞、骨髓巨核细胞的数量及其分类和凝血功能。 	Huawei_AGI_run3				197645
5	doc1	The improvement rate of hemorrhage in SXXBC group was 40% for small dose, 60% for medium dose and 80% for high dose, while the improvement rate of hemorrhage in indirubin group was 30% for small dose, 50% for medium dose and 60% for high dose. 		SXXBC组出血改善率为小剂量40%、中剂量60%、高剂量80%，而靛玉红组出血改善率为小剂量30%、中剂量50%、高剂量60%。 	Huawei_AGI_run3	SXXBC组出血<tag>改善率</tag>为小剂量40%、中剂量60%、高剂量80%，而靛玉红组出血改善率为小剂量30%、中剂量50%、高剂量60%。 	Accuracy - Mistranslation	Neutral	197645
5	doc1	The improvement rate of hemorrhage in SXXBC group was 40% for small dose, 60% for medium dose and 80% for high dose, while the improvement rate of hemorrhage in indirubin group was 30% for small dose, 50% for medium dose and 60% for high dose. 		SXXBC组出血改善率为小剂量40%、中剂量60%、高剂量80%，而靛玉红组出血改善率为小剂量30%、中剂量50%、高剂量60%。 	Huawei_AGI_run3	SXXBC组出血改善率为小剂量40%、中剂量60%、高剂量80%，而靛玉红组出血<tag>改善率</tag>为小剂量30%、中剂量50%、高剂量60%。 	Accuracy - Mistranslation	Neutral	197645
6	doc1	There was no statistically significant difference in the improvement rate of hemorrhage between the two groups (P＞0.05). 		两组出血改善率比较，差异无统计学意义（P>0.05）。 	Huawei_AGI_run3	两组出血改善率比较，差异无<tag>统计学意义</tag>（P>0.05）。 	Terminology - Wrong term	Major	197645
7	doc1	Compared with the model control group, PLT and Hb increased in different doses of SXXBC and indirubin group 4th-8th day after drug intervention (P＜0.05, 0.01). 	Compared with the model control group, <tag>PLT and Hb increased in different doses of SXXBC and indirubin group 4th-8th day after drug intervention (P＜0.05, 0.01).</tag> 	与模型对照组比较，不同剂量SXXBC和靛玉红组在药物干预后第4	Huawei_AGI_run3		Accuracy - Omission	Critical	197645
8	doc1	However, there was no significant difference between the different doses of SXXBC group and indirubin group (P＞0.05). 		但不同剂量SXXBC组与靛玉红组比较，差异无统计学意义（P>0.05）。 	Huawei_AGI_run3				197645
9	doc1	Compared with the model control group, the WBC in each group was significantly lower (P＜0.05, 0.01) on the 4th-8th day after drug intervention; However, there was no statistical significance between the two groups of SXXBC and indirubin (P＞0.05). 		与模型对照组比较，药物干预后第4	Huawei_AGI_run3	<tag>与模型对照组比较，药物干预后第4</tag>	Unintelligible	Critical	197645
10	doc1	Compared with the model control group, the total number of megakaryocytes in each treatment group were decreased (P＜0.05, P＜0.01), in which the number of primary megakaryocytes in the large and medium dose groups of SXXBC and indirubin were decreased (P＜0.05, 0.01), and the number of juvenile megakaryocytes in the large dose group of SXXBC and indirubin were also decreased (P＜0.05). 		与模型对照组比较，各治疗组巨核细胞总数减少（P<0.05，P<0.01），其中SXXBC、靛玉红大、中剂量组原代巨核细胞数减少（P<0.05，0.01），SXXBC、靛玉红大剂量组幼代巨核细胞数也减少（P<0.05）。 	Huawei_AGI_run3				197645
11	doc1	The number of granular megakaryocytes were decreased in each intervention groups (P＜0.05, 0.01), and the number of thromocytogenic megakaryocyte was increased in the high and medium dose groups of SXXBC and indirubin (P＜0.01). 		各干预组颗粒巨核细胞数量均减少（P<0.05、0.01），SXXBC高、中剂量组和靛玉红组促血小板生成巨核细胞数量均增加（P<0.01）。 	Huawei_AGI_run3				197645
12	doc1	The time of prothrombin was shortened in the high and medium dose groups of SXXBC and indirubin (P＜0.05), and the fibrinogen (FIB) content in the high and medium dose groups of SXXBC was close to that of the normal control group. 		SXXBC高、中剂量组与正常对照组相比，凝血酶原时间缩短（P<0.05），纤维蛋白原（FIB）含量接近正常对照组。 	Huawei_AGI_run3				197645
13	doc1	Both of the SXXBC and the indirubin standard all show good hemostatic effects. 		SXXBC和靛玉红标准品均表现出良好的止血效果。 	Huawei_AGI_run3				197645
14	doc1	Indirubin shows a positive effect on increasing the peripheral platelet and hemoglobin in ITP model mice, regulating the immune response, reducing the total number of bone marrow megakaryocytes, increasing the thromocytogenic megakaryocyte, and increasing coagulation function.		靛玉红对增加ITP模型小鼠外周血小板和血红蛋白，调节免疫反应，减少骨髓巨核细胞总数，增加促血小板生成巨核细胞，提高凝血功能具有积极作用。 	Huawei_AGI_run3				197645
1	doc2	A simplified grading system for trachoma was published by the World Health Organization (WHO) in 1987. 		世界卫生组织（卫生组织）于1987年公布了沙眼的简化分级制度。 	Huawei_AGI_run3	世界卫生组织<tag>（卫生组织）</tag>于1987年公布了沙眼的简化分级制度。 	Accuracy - Mistranslation	Major	197645
2	doc2	Intended for use by non-specialist personnel working at community level, the system includes five signs, each of which can be present or absent in any eye: (i) trachomatous trichiasis; (ii) corneal opacity; (iii) trachomatous inflammation-follicular; (iv) trachomatous inflammation-intense; and (v) trachomatous scarring. 		该系统供在社区一级工作的非专科工作人员使用，它包括5个征象，每个征象在任何一只眼中都可出现或消失：（一）沙眼倒睫；（二）角膜混浊；（三）沙眼炎症-滤泡；（四）沙眼炎症强烈；（五）沙眼疤痕。 	Huawei_AGI_run3				197645
3	doc2	Though neither perfectly sensitive nor perfectly specific for trachoma, these signs have been essential tools for identifying populations that need interventions to eliminate trachoma as a public health problem. 		虽然这些迹象对沙眼既不十分敏感，也不十分具体，但它们是查明需要采取干预措施消除作为公共卫生问题的沙眼的人群的重要工具。 	Huawei_AGI_run3	虽然这些<tag>迹象</tag>对沙眼既不十分敏感，也不十分具体，但它们是查明需要采取干预措施消除作为公共卫生问题的沙眼的人群的重要工具。 	Accuracy - Mistranslation	Neutral	197645
3	doc2	Though neither perfectly sensitive nor perfectly specific for trachoma, these signs have been essential tools for identifying populations that need interventions to eliminate trachoma as a public health problem. 		虽然这些迹象对沙眼既不十分敏感，也不十分具体，但它们是查明需要采取干预措施消除作为公共卫生问题的沙眼的人群的重要工具。 	Huawei_AGI_run3	虽然这些迹象对沙眼既不十分敏感，也不十分<tag>具体</tag>，但它们是查明需要采取干预措施消除作为公共卫生问题的沙眼的人群的重要工具。 	Accuracy - Mistranslation	Major	197645
4	doc2	In 2018, at WHO's 4th global scientific meeting on trachoma, the definition of one of the signs, trachomatous trichiasis, was amended to exclude trichiasis that affects only the lower eyelid. 		2018年，世卫组织第四次全球沙眼科学会议上，对其中一种体征——沙眼倒睫的定义进行了修正，以排除仅影响下眼睑的倒睫。 	Huawei_AGI_run3				197645
5	doc2	This paper presents the amended system, updates its presentation, offers notes on its use and identifies areas of ongoing debate.		本文件介绍经修正的制度，更新其表述方式，提供关于其使用的说明，并确定正在辩论的领域。 	Huawei_AGI_run3	本文件介绍经修正的制度，更新其<tag>表述方式</tag>，提供关于其使用的说明，并确定正在辩论的领域。 	Style - Non-fluent	Neutral	197645
5	doc2	This paper presents the amended system, updates its presentation, offers notes on its use and identifies areas of ongoing debate.		本文件介绍经修正的制度，更新其表述方式，提供关于其使用的说明，并确定正在辩论的领域。 	Huawei_AGI_run3	本文件介绍经修正的制度，更新其表述方式，提供关于其使用的说明，并确定正在<tag>辩论的</tag>领域。 	Accuracy - Mistranslation	Neutral	197645
1	doc3	Influenza virus infection is a respiratory infectious disease that can seriously affect human health. 		流感病毒感染是一种严重影响人类健康的呼吸道传染病。 	Huawei_AGI_run3				197645
2	doc3	Influenza viruses can have frequent antigenic variation and changes, which can result in rapid and widespread transmission resulting in annual epidemics and outbreaks in places of public gathering such as schools, kindergartens and nursing homes. 		流感病毒可能发生频繁的抗原变异和变化，这可能导致迅速和广泛的传播，从而每年都造成流行病，并在学校、幼儿园和疗养院等公众聚集场所爆发疫情。 	Huawei_AGI_run3	<tag>流感病毒可能发生频繁的抗原变异和变化</tag>，这可能导致迅速和广泛的传播，从而每年都造成流行病，并在学校、幼儿园和疗养院等公众聚集场所爆发疫情。 	Style - Non-fluent	Neutral	197645
3	doc3	According to WHO estimation, seasonal influenza epidemics have caused an annually 3 to 5 million severe cases and 290 000 to 650 000 deaths globally. 		据世卫组织估计，季节性流感疫情每年在全球造成300万至500万重症病例和2.9万至65万人死亡。 	Huawei_AGI_run3	据世卫组织估计，季节性流感疫情每年在全球造成300万至500万重症病例和<tag>2.9万</tag>至65万人死亡。 	Accuracy - Mistranslation	Critical	197645
4	doc3	Pregnant women, young children, the elderly, and persons with chronic illnesses are at high risk for severe illness and death associated with influenza virus infection. 		孕妇、幼儿、老人和慢性病患者感染流感病毒后患重病和死亡的风险很高。 	Huawei_AGI_run3				197645
5	doc3	Especially, COVID-19 pandemic might co-circulate with other respiratory infectious diseases such as influenza in the coming winter-spring season. 		尤其在即将到来的冬春季节，新型冠状病毒肺炎（COVID-19）可能与流感等其他呼吸道传染病发生交叉传播。 	Huawei_AGI_run3				197645
6	doc3	Seasonal influenza vaccination is the most effective way to prevent influenza virus infection and complications from infection. 		季节性流感疫苗接种是预防流感病毒感染和感染并发症最有效的方法。 	Huawei_AGI_run3				197645
7	doc3	Currently, China has licensed trivalent inactivated influenza vaccine (IIV3) which includes split-virus influenza vaccine and subunit vaccine, quadrivalent inactivated influenza vaccine (IIV4) which is split, and trivalent live attenuated influenza vaccine (LAIV3) which was newly licensed. 		目前，我国已批准上市的三价灭活流感疫苗（IIV3），包括裂解病毒流感疫苗和亚单位疫苗、四价裂解灭活流感疫苗（IIV4）和新上市的三价减毒活疫苗（LAIV3）。 	Huawei_AGI_run3				197645
8	doc3	Except for a few major cities, influenza vaccine is a category Ⅱ vaccine, which means influenza vaccination is voluntary, and recipients must pay for it. 		除个别大城市外，流感疫苗属于二类疫苗，即自愿接种，受种者必须付费。 	Huawei_AGI_run3				197645
9	doc3	In 2018 and 2019, the China CDC issued the "Technical Guidelines for Seasonal Influenza Vaccination in China" . 		2018年和2019年，中国疾控中心发布了《中国季节性流感疫苗接种技术指南》。 	Huawei_AGI_run3				197645
10	doc3	In the past year, new research evidences home and abroad have been published, and new seasonal influenza vaccine has been licensed in China. 		近一年来，国内外发表了新的研究证据，新型季节性流感疫苗在我国获准上市。 	Huawei_AGI_run3				197645
11	doc3	To strengthen the technical guidance for prevention and control of influenza and operational research on influenza vaccination in China, the National Immunization Advisory Committee (NIAC) Influenza Vaccination Technical Working Group (TWG), updated the 2019-2020 technical guidelines and compiled the "Technical guidelines for seasonal influenza vaccination in China (2020-2021)" . 		为加强我国流感防控和流感疫苗接种业务研究的技术指导，国家免疫规划咨询委员会流感疫苗接种技术工作组（TWG）对2019—2020年技术指南进行了更新，编制了《中国季节性流感疫苗接种技术指南（2020—2021年）》。 	Huawei_AGI_run3				197645
12	doc3	The main updates in this version include the following: First, new research evidences especially studies of China, including disease burden, effectiveness, Vaccine-avoidable disease burden, vaccine safety monitoring, and cost-effectiveness and cost-benefit. 		本版本主要包括以下几个方面的更新：第一，新的研究证据，特别是中国的研究证据，包括疾病负担、有效性、疫苗可避免的疾病负担、疫苗安全监测、成本-效果和成本效益。 	Huawei_AGI_run3	本版本主要包括以下几个方面的更新：第一，新的研究证据，特别是中国的研究证据，包括疾病负担、有效性、疫苗可避免的疾病负担、疫苗安全监测、<tag>成本-效果</tag>和成本效益。 	Accuracy - Mistranslation	Major	197645
13	doc3	Second, policies and measures for influenza prevention and control issued by National Health Commission (PRC) in the past year. 		第二，国家卫生健康委员会过去一年发布的流感防控政策措施。 	Huawei_AGI_run3				197645
14	doc3	Thirdly, new type seasonal influenza vaccine licensed and issued in 2020-2021 in China. 		第三部分，2020—2021年我国新型季节性流感疫苗的上市与发布情况。 	Huawei_AGI_run3	<tag>第三部分</tag>，2020—2021年我国新型季节性流感疫苗的上市与发布情况。 	Terminology - Inconsistent use of terminology	Neutral	197645
15	doc3	Fourth, northern hemisphere influenza vaccination composition for the 2020-2021 season which included trivalent and quadrivalent influenza vaccine. 		第四，2020-2021年北半球流感疫苗接种的组成，包括三价和四价流感疫苗。 	Huawei_AGI_run3				197645
16	doc3	Fifth, Influenza vaccination recommendations for 2020-2021 influenza season. 		第五，2020-2021流感季节流感疫苗接种建议。 	Huawei_AGI_run3				197645
17	doc3	The recommendations described in this report include the following: Points of Vaccination clinics (PoVs) should provide influenza vaccination to all persons aged 6 months and above who are willing to be vaccinated and do not have contraindications. 		本报告所述建议包括以下内容：疫苗接种门诊点应向所有愿意接种流感疫苗且无禁忌证的6个月及以上人群提供流感疫苗接种。 	Huawei_AGI_run3				197645
18	doc3	No preferential recommendation is made for one influenza vaccine product over another for persons for whom more than one licensed, recommended, and appropriate product is available. 		对于可接种一种以上许可、推荐和适当产品的人群，不建议将一种流感疫苗产品优先于另一种。 	Huawei_AGI_run3	对于可接种一种以上许可、推荐和适当产品的人群，不建议将一种流感疫苗产品<tag>优先于</tag>另一种。 	Style - Non-fluent	Neutral	197645
