SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	To compare the effect of Sheng-Xue-Xiao-Ban Capsule (SXXBC) and indirubin to the peripheral platelets of the Idiopathic thrombocytopenic purpura (ITP) model mouse. 		比较生血消斑胶囊（Sxxbc）和Indirubin与特发性血小板减少性紫癜（Itp）模型小鼠外周血小板的作用。 	ZengHuiMT_run1	比较生血消斑胶囊（Sxxbc）和<tag>Indirubin</tag>与特发性血小板减少性紫癜（Itp）模型小鼠外周血小板的作用。 	Accuracy - Untranslated	Critical	197645
2	doc1	The ITP mouse model was established by the method of passive immunization. 		利用被动免疫法建立了伊蚊鼠模型。 	ZengHuiMT_run1				197645
3	doc1	SXXBC and indirubin were used for intervention treatment. 		Sxxbc和Indirubin用于干预治疗。 	ZengHuiMT_run1	Sxxbc和<tag>Indirubin</tag>用于干预治疗。 	Accuracy - Untranslated	Critical	197645
4	doc1	Then the hemorrhagic phenomena of ITP mice were observed and the numbers of peripheral platelets, hemoglobin and white blood cells, bone marrow megakaryocytes and their classification and coagulation function were detected and compared. 	Then the hemorrhagic phenomena of ITP mice were <tag>observed</tag> and the numbers of peripheral platelets, hemoglobin and white blood cells, bone marrow megakaryocytes and their classification and coagulation function were detected and compared. 	对小鼠出血现象进行观察，并对外周血小板、血红蛋白和白细胞、骨髓巨核细胞数及其分类和凝血功能进行比较。 	ZengHuiMT_run1		Accuracy - Omission	Critical	197645
4	doc1	Then the hemorrhagic phenomena of ITP mice were observed and the numbers of peripheral platelets, hemoglobin and white blood cells, bone marrow megakaryocytes and their classification and coagulation function were detected and compared. 	Then the hemorrhagic phenomena of <tag>ITP</tag> mice were observed and the numbers of peripheral platelets, hemoglobin and white blood cells, bone marrow megakaryocytes and their classification and coagulation function were detected and compared. 	对小鼠出血现象进行观察，并对外周血小板、血红蛋白和白细胞、骨髓巨核细胞数及其分类和凝血功能进行比较。 	ZengHuiMT_run1		Accuracy - Omission	Critical	197645
5	doc1	The improvement rate of hemorrhage in SXXBC group was 40% for small dose, 60% for medium dose and 80% for high dose, while the improvement rate of hemorrhage in indirubin group was 30% for small dose, 50% for medium dose and 60% for high dose. 		Sxxbc组的出血改善率小剂量为40%，中剂量为60%，高剂量为80%，而Indirubin组的出血改善率小剂量为30%，中剂量为50%，高剂量为60%。 	ZengHuiMT_run1	Sxxbc组的出血改善率小剂量为40%，中剂量为60%，高剂量为80%，而<tag>Indirubin</tag>组的出血改善率小剂量为30%，中剂量为50%，高剂量为60%。 	Accuracy - Untranslated	Critical	197645
6	doc1	There was no statistically significant difference in the improvement rate of hemorrhage between the two groups (P＞0.05). 		两组出血改善率无统计学差异(P＞ 0.05 )。 	ZengHuiMT_run1				197645
7	doc1	Compared with the model control group, PLT and Hb increased in different doses of SXXBC and indirubin group 4th-8th day after drug intervention (P＜0.05, 0.01). 		与模型对照组相比，药物干预后第4-8天不同剂量的Sxxbc组和Indirubin组Pt和Hb增加(P≤ 0.05, 0.01 )。 	ZengHuiMT_run1	与模型对照组相比，药物干预后第4-8天不同剂量的Sxxbc组和<tag>Indirubin</tag>组Pt和Hb增加(P≤ 0.05, 0.01 )。 	Accuracy - Untranslated	Critical	197645
8	doc1	However, there was no significant difference between the different doses of SXXBC group and indirubin group (P＞0.05). 		然而，Sxxbc组和Indirubin组的不同剂量没有显著差异(P＞ 0.05 )。 	ZengHuiMT_run1	然而，Sxxbc组和<tag>Indirubin</tag>组的不同剂量没有显著差异(P＞ 0.05 )。 	Accuracy - Untranslated	Critical	197645
9	doc1	Compared with the model control group, the WBC in each group was significantly lower (P＜0.05, 0.01) on the 4th-8th day after drug intervention; However, there was no statistical significance between the two groups of SXXBC and indirubin (P＞0.05). 		与模型对照组相比，药物干预后第4-8天各组Wbc明显降低(P≤ 0.05，0.01 )； 但两组Sxxbc组和Indirubin组无统计学差异(P＞ 0.05 )。 	ZengHuiMT_run1	与模型对照组相比，药物干预后第4-8天各组Wbc明显降低(P≤ 0.05，0.01 )； 但两组Sxxbc组和<tag>Indirubin</tag>组无统计学差异(P＞ 0.05 )。 	Accuracy - Untranslated	Critical	197645
