SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	To compare the effect of Sheng-Xue-Xiao-Ban Capsule (SXXBC) and indirubin to the peripheral platelets of the Idiopathic thrombocytopenic purpura (ITP) model mouse. 		比较生血小板胶囊（SXXBC）和靛玉红对特发性血小板减少性紫癜（ITP）模型小鼠外周血小板的影响。 	volctrans_nnmt				5225868
2	doc1	The ITP mouse model was established by the method of passive immunization. 		采用被动免疫法建立ITP小鼠模型。 	volctrans_nnmt				5225868
3	doc1	SXXBC and indirubin were used for intervention treatment. 		采用生血小板胶囊和靛玉红进行干预治疗。 	volctrans_nnmt				5225868
4	doc1	Then the hemorrhagic phenomena of ITP mice were observed and the numbers of peripheral platelets, hemoglobin and white blood cells, bone marrow megakaryocytes and their classification and coagulation function were detected and compared. 		然后观察ITP小鼠出血现象，检测和比较外周血小板、血红蛋白和白细胞、骨髓巨核细胞的数量及其分类和凝血功能。 	volctrans_nnmt				5225868
5	doc1	The improvement rate of hemorrhage in SXXBC group was 40% for small dose, 60% for medium dose and 80% for high dose, while the improvement rate of hemorrhage in indirubin group was 30% for small dose, 50% for medium dose and 60% for high dose. 		生血小板胶囊组出血改善率小剂量为40%，中剂量为60%，高剂量为80%，靛玉红组出血改善率小剂量为30%，中剂量为50%，高剂量为60%。 	volctrans_nnmt				5225868
6	doc1	There was no statistically significant difference in the improvement rate of hemorrhage between the two groups (P＞0.05). 		两组患者出血改善率比较，差异无统计学意义（P<0.05）。 	volctrans_nnmt				5225868
7	doc1	Compared with the model control group, PLT and Hb increased in different doses of SXXBC and indirubin group 4th-8th day after drug intervention (P＜0.05, 0.01). 		与模型对照组相比，不同剂量的生血小板胶囊和靛玉红组在药物干预后第4-8天PLT和Hb升高（P<0.05，0.01）。 	volctrans_nnmt				5225868
8	doc1	However, there was no significant difference between the different doses of SXXBC group and indirubin group (P＞0.05). 		但不同剂量的生血小板胶囊组与靛玉红组比较，差异无统计学意义（P&0.05）。 	volctrans_nnmt				5225868
9	doc1	Compared with the model control group, the WBC in each group was significantly lower (P＜0.05, 0.01) on the 4th-8th day after drug intervention; However, there was no statistical significance between the two groups of SXXBC and indirubin (P＞0.05). 		与模型对照组相比，药物干预后第4-8天，各组WBC明显降低（P<0.05，0.01）；而生血小板胶囊和靛玉红两组间无统计学意义（P<0.05）。 	volctrans_nnmt				5225868
10	doc1	Compared with the model control group, the total number of megakaryocytes in each treatment group were decreased (P＜0.05, P＜0.01), in which the number of primary megakaryocytes in the large and medium dose groups of SXXBC and indirubin were decreased (P＜0.05, 0.01), and the number of juvenile megakaryocytes in the large dose group of SXXBC and indirubin were also decreased (P＜0.05). 		与模型对照组相比，各治疗组巨核细胞总数均降低（P<0.05，P<0.01），其中生血小板胶囊靛玉红大、中剂量组原代巨核细胞数均降低（P<0.05，0.01），生血小板胶囊和的大剂量组幼年巨核细胞数也均降低（P<0.05）。 	volctrans_nnmt				5225868
11	doc1	The number of granular megakaryocytes were decreased in each intervention groups (P＜0.05, 0.01), and the number of thromocytogenic megakaryocyte was increased in the high and medium dose groups of SXXBC and indirubin (P＜0.01). 		各干预组粒状巨核细胞数量减少（P<0.05，0.01），生血小板胶囊和靛玉红高、中剂量组血小板巨核细胞数量增加（P<0.01）。 	volctrans_nnmt				5225868
12	doc1	The time of prothrombin was shortened in the high and medium dose groups of SXXBC and indirubin (P＜0.05), and the fibrinogen (FIB) content in the high and medium dose groups of SXXBC was close to that of the normal control group. 		生血小板胶囊和靛玉红高、中剂量组凝血酶原时间缩短（P<0.05），生血小板胶囊高、中剂量组纤维蛋白原（FIB）含量接近正常对照组。 	volctrans_nnmt				5225868
13	doc1	Both of the SXXBC and the indirubin standard all show good hemostatic effects. 		生血小板胶囊和靛玉红标准都显示出良好的止血效果。 	volctrans_nnmt				5225868
14	doc1	Indirubin shows a positive effect on increasing the peripheral platelet and hemoglobin in ITP model mice, regulating the immune response, reducing the total number of bone marrow megakaryocytes, increasing the thromocytogenic megakaryocyte, and increasing coagulation function.		靛玉红对增加ITP模型小鼠外周血小板和血红蛋白、调节免疫应答、减少骨髓巨核细胞总数、增加血小板生成巨核细胞、增加凝血功能有积极作用。 	volctrans_nnmt				5225868
1	doc2	A simplified grading system for trachoma was published by the World Health Organization (WHO) in 1987. 		世界卫生组织（WHO）于1987年公布了沙眼的简化分级系统。 	volctrans_nnmt				5225868
2	doc2	Intended for use by non-specialist personnel working at community level, the system includes five signs, each of which can be present or absent in any eye: (i) trachomatous trichiasis; (ii) corneal opacity; (iii) trachomatous inflammation-follicular; (iv) trachomatous inflammation-intense; and (v) trachomatous scarring. 		该系统旨在供在社区一级工作的非专业人员使用，包括五个体征，每个体征都可能存在或不存在于任何眼睛中:（一）沙眼倒睫、（二）角膜混浊、（三）沙眼炎症滤泡、（四）沙眼炎症剧烈和（五）沙眼疤痕。 	volctrans_nnmt				5225868
