SEG_ID	Doc	Source	Tagged Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	Introducción: en pacientes con obesidad severa y mórbida se ha observado que la evaluación por bioimpedanciometría (BIA) genera una subestimación de la masa grasa (MG) y del peso perdido como MG después de la cirugía bariátrica, sobreestimándose la pérdida de masa libre de grasa (MLG) y la masa muscular.		Introduction: in patients with severe and morbid obesity it has been observed that the evaluation by bioimpedanceometry (BIA) generates an underestimation of fat mass (FM) and weight lost as MG after bariatric surgery, overestimating the loss of fat-free mass (FFM) and muscle mass.	TMT_run1	Introduction: in patients with severe and morbid obesity it has been observed that the evaluation by <tag>bioimpedanceometry</tag> (BIA) generates an underestimation of fat mass (FM) and weight lost as MG after bariatric surgery, overestimating the loss of fat-free mass (FFM) and muscle mass.	Accuracy - Mistranslation	Neutral	5119698
1	doc1	Introducción: en pacientes con obesidad severa y mórbida se ha observado que la evaluación por bioimpedanciometría (BIA) genera una subestimación de la masa grasa (MG) y del peso perdido como MG después de la cirugía bariátrica, sobreestimándose la pérdida de masa libre de grasa (MLG) y la masa muscular.		Introduction: in patients with severe and morbid obesity it has been observed that the evaluation by bioimpedanceometry (BIA) generates an underestimation of fat mass (FM) and weight lost as MG after bariatric surgery, overestimating the loss of fat-free mass (FFM) and muscle mass.	TMT_run1	Introduction: in patients with severe and morbid obesity it has been observed that the evaluation by bioimpedanceometry (BIA) generates an underestimation of fat mass (FM) and weight lost as <tag>MG</tag> after bariatric surgery, overestimating the loss of fat-free mass (FFM) and muscle mass.	Accuracy - Mistranslation	Neutral	5119698
2	doc1	Objetivo: evaluar la confiabilidad de la BIA para estimar el agua corporal total (ACT), la MLG, la MG y sus cambios después de 6 meses de un baipás gástrico en Y de Roux (BPGYR) en pacientes con obesidad severa y mórbida.		Objective: to evaluate the reliability of BIA to estimate total body water (TBW), FFM, MG and their changes after 6 months of a Roux-en-Y gastric bypass (BPGYR) in patients with severe and morbid obesity.	TMT_run1	Objective: to evaluate the reliability of BIA to estimate total body water (TBW), FFM, <tag>MG</tag> and their changes after 6 months of a Roux-en-Y gastric bypass (BPGYR) in patients with severe and morbid obesity.	Accuracy - Mistranslation	Neutral	5119698
3	doc1	Métodos: 36 adultos con indicación de BPGYR se estudiaron prospectivamente.		Methods: 36 adults with indication for BPGYR were prospectively studied.	TMT_run1	Methods: 36 adults with <tag>indication</tag> for BPGYR were prospectively studied.	Linguistic Conventions - Grammar	Neutral	5119698
4	doc1	Se midió el ACT por deuterio (D) y se calcularon la MLG y MG.		ACT was measured by deuterium (D) and FFM and MG were calculated.	TMT_run1	<tag>ACT</tag> was measured by deuterium (D) and FFM and MG were calculated.	Accuracy - Mistranslation	Critical	5673352
4	doc1	Se midió el ACT por deuterio (D) y se calcularon la MLG y MG.		ACT was measured by deuterium (D) and FFM and MG were calculated.	TMT_run1	ACT was measured by deuterium (D) and FFM and <tag>MG</tag> were calculated.	Accuracy - Mistranslation	Critical	5673352
5	doc1	Con BIA de doble frecuencia (5 y 200 kHz) (Bodystat Dualscan®) se estimaron la MG, la MLG, el ACT, el agua extracelular (AEC), el agua intracelular (AIC) y la relación AEC/AIC.		With dual frequency BIA (5 and 200 kHz) (Bodystat Dualscan®) MG, FFM, ACT, extracellular water (AEC), intracellular water (AIC) and AEC/AIC ratio were estimated.	TMT_run1	With dual frequency BIA (5 and 200 kHz) (Bodystat Dualscan®) <tag>MG</tag>, FFM, ACT, extracellular water (AEC), intracellular water (AIC) and AEC/AIC ratio were estimated.	Accuracy - Untranslated	Critical	5673352
5	doc1	Con BIA de doble frecuencia (5 y 200 kHz) (Bodystat Dualscan®) se estimaron la MG, la MLG, el ACT, el agua extracelular (AEC), el agua intracelular (AIC) y la relación AEC/AIC.		With dual frequency BIA (5 and 200 kHz) (Bodystat Dualscan®) MG, FFM, ACT, extracellular water (AEC), intracellular water (AIC) and AEC/AIC ratio were estimated.	TMT_run1	With dual frequency BIA (5 and 200 kHz) (Bodystat Dualscan®) MG, FFM, <tag>ACT</tag>, extracellular water (AEC), intracellular water (AIC) and AEC/AIC ratio were estimated.	Accuracy - Untranslated	Critical	5673352
5	doc1	Con BIA de doble frecuencia (5 y 200 kHz) (Bodystat Dualscan®) se estimaron la MG, la MLG, el ACT, el agua extracelular (AEC), el agua intracelular (AIC) y la relación AEC/AIC.		With dual frequency BIA (5 and 200 kHz) (Bodystat Dualscan®) MG, FFM, ACT, extracellular water (AEC), intracellular water (AIC) and AEC/AIC ratio were estimated.	TMT_run1	With dual frequency BIA (5 and 200 kHz) (Bodystat Dualscan®) MG, FFM, ACT, extracellular water (<tag>AEC</tag>), intracellular water (AIC) and AEC/AIC ratio were estimated.	Accuracy - Untranslated	Major	5673352
5	doc1	Con BIA de doble frecuencia (5 y 200 kHz) (Bodystat Dualscan®) se estimaron la MG, la MLG, el ACT, el agua extracelular (AEC), el agua intracelular (AIC) y la relación AEC/AIC.		With dual frequency BIA (5 and 200 kHz) (Bodystat Dualscan®) MG, FFM, ACT, extracellular water (AEC), intracellular water (AIC) and AEC/AIC ratio were estimated.	TMT_run1	With dual frequency BIA (5 and 200 kHz) (Bodystat Dualscan®) MG, FFM, ACT, extracellular water (AEC), intracellular water (AIC) and <tag>AEC/AIC</tag> ratio were estimated.	Accuracy - Untranslated	Major	5673352
6	doc1	Resultados: antes del BPGYR, la BIA sobreestimó el ACT en 2,6 ± 4,3 L (p = 0,002) y la MLG en 3,5 ± 5,7 kg (p = 0,002), y subestimó el %MG en 2,98 ± 4,7% (p = 0,002).		Results: before BPGYR, BIA overestimated ACT by 2.6 ± 4.3 L (p = 0.002) and FFM by 3.5 ± 5.7 kg (p = 0.002), and underestimated %MG by 2.98 ± 4.7% (p = 0.002).	TMT_run1	Results: before BPGYR, BIA overestimated ACT by 2.6 ± 4.3 L (p = 0.002) and FFM by 3.5 ± 5.7 kg (p = 0.002), and underestimated %<tag>MG</tag> by 2.98 ± 4.7% (p = 0.002).	Accuracy - Mistranslation	Neutral	5119698
7	doc1	La relación AEC/AIC mostró una correlación positiva con la sobreestimación de la MLG por BIA (r = 0,49; p = 0,002).		The AEC/AIC ratio showed a positive correlation with FFM overestimation by BIA (r = 0.49; p = 0.002).	TMT_run1				5119698
8	doc1	Después de la cirugía, las diferencias entre BIA y D no fueron significativas y el error de estimación de la MLG no se correlacionó con la relación AEC/AIC.		After surgery, the differences between BIA and D were not significant and the FFM estimation error did not correlate with the AEC/AIC ratio.	TMT_run1				5119698
9	doc1	Conclusiones: la BIA genera una subestimación de la MG como la reportada, la cual se atenúa después de la reducción de peso, subestimando el peso perdido como MG y sobreestimando la pérdida de MLG.		Conclusions: BIA generates an underestimation of MG as the one reported, which is attenuated after weight reduction, underestimating the weight lost as MG and overestimating the loss of FFM.	TMT_run1	Conclusions: BIA generates an underestimation of <tag>MG</tag> as the one reported, which is attenuated after weight reduction, underestimating the weight lost as MG and overestimating the loss of FFM.	Accuracy - Mistranslation	Neutral	5119698
9	doc1	Conclusiones: la BIA genera una subestimación de la MG como la reportada, la cual se atenúa después de la reducción de peso, subestimando el peso perdido como MG y sobreestimando la pérdida de MLG.		Conclusions: BIA generates an underestimation of MG as the one reported, which is attenuated after weight reduction, underestimating the weight lost as MG and overestimating the loss of FFM.	TMT_run1	Conclusions: BIA generates an underestimation of MG as the one reported, which is attenuated after weight reduction, underestimating the weight lost as <tag>MG</tag> and overestimating the loss of FFM.	Accuracy - Mistranslation	Neutral	5119698
10	doc1	Futuras investigaciones podrán evaluar si estos errores se reproducen con otros equipos de BIA.		Future research will be able to evaluate whether these errors are reproduced by other BIA equipment.	TMT_run1				5119698
1	doc11	El presente estudio se realizó con el objetivo de construir y validar una forma corta del Inventario de Personalidad Narcisista (NPI).		The present study was conducted with the aim of constructing and validating a short form of the Narcissistic Personality Inventory (NPI).	TMT_run1				5119698
