SEG_ID	Doc	Source	Tagged Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	Introducción: en pacientes con obesidad severa y mórbida se ha observado que la evaluación por bioimpedanciometría (BIA) genera una subestimación de la masa grasa (MG) y del peso perdido como MG después de la cirugía bariátrica, sobreestimándose la pérdida de masa libre de grasa (MLG) y la masa muscular.	Introducción: en pacientes con obesidad severa y mórbida se ha observado que la evaluación por bioimpedanciometría (BIA) genera una subestimación de la masa grasa (MG) y del peso perdido como MG después de la cirugía bariátrica, <tag>sobreestimándose la pérdida de masa libre de grasa (MLG) y la masa muscular.</tag>	Introduction: In patients with severe and morbid obesity it has been observed that bioelectrical assessment (BIA) leads to an underestimation of fat mass (FM) and weight lost as FM after bariatric surgery.	talp_upc_run1		Accuracy - Untranslated	Major	5658994
2	doc1	Objetivo: evaluar la confiabilidad de la BIA para estimar el agua corporal total (ACT), la MLG, la MG y sus cambios después de 6 meses de un baipás gástrico en Y de Roux (BPGYR) en pacientes con obesidad severa y mórbida.		Objective: To assess the reliability of BIA for estimating total body water (ACT), MLG, FM and changes after 6 months of a Roux-en-Y gastric bypass (severely obese BPGYR) in patients.	talp_upc_run1	Objective: To assess the reliability of BIA for estimating total body water (<tag>ACT</tag>), MLG, FM and changes after 6 months of a Roux-en-Y gastric bypass (severely obese BPGYR) in patients.	Accuracy - Untranslated	Minor	5658994
2	doc1	Objetivo: evaluar la confiabilidad de la BIA para estimar el agua corporal total (ACT), la MLG, la MG y sus cambios después de 6 meses de un baipás gástrico en Y de Roux (BPGYR) en pacientes con obesidad severa y mórbida.		Objective: To assess the reliability of BIA for estimating total body water (ACT), MLG, FM and changes after 6 months of a Roux-en-Y gastric bypass (severely obese BPGYR) in patients.	talp_upc_run1	Objective: To assess the reliability of BIA for estimating total body water (ACT), MLG, FM and changes after 6 months of a Roux-en-Y gastric bypass (severely obese <tag>BPGYR</tag>) in patients.	Accuracy - Untranslated	Minor	5658994
3	doc1	Métodos: 36 adultos con indicación de BPGYR se estudiaron prospectivamente.		Methods: 36 adults with an indication of BPGYR were studied prospectively.	talp_upc_run1	Methods: 36 adults with an indication of <tag>BPGYR</tag> were studied prospectively.	Accuracy - Untranslated	Minor	5658994
4	doc1	Se midió el ACT por deuterio (D) y se calcularon la MLG y MG.		The deuterium ACT (D) was measured and MLG and MG were calculated.	talp_upc_run1				5658994
5	doc1	Con BIA de doble frecuencia (5 y 200 kHz) (Bodystat Dualscan®) se estimaron la MG, la MLG, el ACT, el agua extracelular (AEC), el agua intracelular (AIC) y la relación AEC/AIC.		With double frequency BIA (5 and 200 kHz) (Bodistat Dualscan ®), FM, MLG, ACT, extracellular water (AEC), intracellular water and AIC ratios were estimated	talp_upc_run1	With double frequency BIA (5 and 200 kHz) (Bodistat Dualscan ®), FM, MLG, ACT, extracellular water (<tag>AEC</tag>), intracellular water and AIC ratios were estimated	Accuracy - Untranslated	Major	5658994
5	doc1	Con BIA de doble frecuencia (5 y 200 kHz) (Bodystat Dualscan®) se estimaron la MG, la MLG, el ACT, el agua extracelular (AEC), el agua intracelular (AIC) y la relación AEC/AIC.		With double frequency BIA (5 and 200 kHz) (Bodistat Dualscan ®), FM, MLG, ACT, extracellular water (AEC), intracellular water and AIC ratios were estimated	talp_upc_run1	With double frequency BIA (5 and 200 kHz) (Bodistat Dualscan ®), FM, MLG, ACT, extracellular water (AEC), intracellular water and <tag>AIC</tag> ratios were estimated	Accuracy - Mistranslation	Major	5658994
7	doc1	La relación AEC/AIC mostró una correlación positiva con la sobreestimación de la MLG por BIA (r = 0,49; p = 0,002).		The ACS / AIC ratio showed a positive correlation with the overestimation of MLG by BIA (r = 0.49; p = 0.002).	talp_upc_run1				5658999
8	doc1	Después de la cirugía, las diferencias entre BIA y D no fueron significativas y el error de estimación de la MLG no se correlacionó con la relación AEC/AIC.		After surgery, the differences between BIA and D were not significant and the MLG estimation error was not correlated with the ACS / AIC ratio.	talp_upc_run1				5658999
9	doc1	Conclusiones: la BIA genera una subestimación de la MG como la reportada, la cual se atenúa después de la reducción de peso, subestimando el peso perdido como MG y sobreestimando la pérdida de MLG.		Conclusions: BIA underestimates the FM as reported, which is reduced after weight reduction, underestimating the weight lost as MG and overestimating the loss of MLG.	talp_upc_run1	Conclusions: BIA underestimates the FM as reported, which is <tag>reduced</tag> after weight reduction, underestimating the weight lost as MG and overestimating the loss of MLG.	Terminology - Wrong term	Major	5658999
