SEG_ID	Doc	Source	Tagged Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	Le mérycisme : quand l’être humain se met à ruminer		Merycism: when the human being starts to ruminate	Huawei_AGI_run3				217670
2	doc1	Le mérycisme est un trouble gastro-intestinal fonctionnel rare et méconnu.		Merycismus is a rare and unrecognized functional gastrointestinal disorder.	Huawei_AGI_run3				217670
3	doc1	En effet, le diagnostic est posé, en moyenne, avec un retard de 21 à 77 mois.		Indeed, the diagnosis is made, on average, with a delay of 21 to 77 months.	Huawei_AGI_run3				217670
4	doc1	Ce retard peut entraîner des conséquences dramatiques pour le patient, comme une importante perte de poids, un déséquilibre ionique et un isolement social.		This delay can lead to dramatic consequences for the patient, such as significant weight loss, ion imbalance and social isolation.	Huawei_AGI_run3				217670
5	doc1	Au travers d’une situation clinique, nous évoquons les difficultés et les particularités du diagnostic de mérycisme ainsi que sa prise en charge, dans un tableau évoquant un trouble des conduites alimentaires.		Through a clinical situation, we evoke the difficulties and peculiarities of the diagnosis of merycism as well as its management, in a picture suggesting an eating disorder.	Huawei_AGI_run3				217670
6	doc1	Cette pathologie peut se rencontrer dans diverses spécialités comme la médecine générale, la pédiatrie, la gastro-entérologie, l’endocrinologie, la dentisterie, la pédopsychiatrie, la psychiatrie, les services de néonatologie ou encore à la maternité.		This pathology can be found in various specialties such as general medicine, pediatrics, gastroenterology, endocrinology, dentistry, child psychiatry, psychiatry, neonatology services or maternity.	Huawei_AGI_run3				217670
1	doc3	La fragilité de la personne âgée est un concept gériatrique dynamique et évolutif, impliquant de nombreuses dimensions de la vie courante et entraînant un risque de développer une perte d’autonomie.		The frailty of the elderly is a dynamic and evolving geriatric concept, involving many dimensions of daily life and involving a risk of developing a loss of autonomy.	Huawei_AGI_run3				217670
2	doc3	Bien qu’il n’y ait pas de définition consensuelle, les conséquences restent majeures : risque de décompensation fonctionnelle, multiplication des hospitalisations, dépendance dans les actes de la vie quotidienne, institutionnalisation et hausse de la mortalité.		Although there is no consensus definition, the consequences remain major: risk of functional decompensation, multiplication of hospitalizations, dependence in daily life, institutionalization and increased mortality.	Huawei_AGI_run3				217670
1	doc4	La pandémie de COVID-19 a mis en évidence le rôle essentiel du personnel de sécurité publique dans le service et la protection de l’ensemble des Canadiens.		The Covid-19 pandemic highlighted the critical role of public safety personnel in serving and protecting all canadians.	Huawei_AGI_run3				217670
2	doc4	Le personnel de sécurité publique signalant déjà des problèmes de santé mentale et de bien-être avant même la pandémie de COVID-19, les nouveaux facteurs de stress pourraient augmenter les besoins en ressources supplémentaires chez ce personnel afin qu’il soit capable de nous aider à long terme.		Because public safety personnel are already reporting mental health and well-being issues even before the Covid-19 pandemic, the new stressors could increase the need for additional resources for these personnel to be able to help us in the long term.	Huawei_AGI_run3				217670
3	doc4	Cet article propose divers éléments de soutien pouvant constituer des pistes pertinentes en vue de favoriser le bien-être du personnel de sécurité publique pendant la période de stress prolongé provoqué par la pandémie de COVID-19.		This article proposes various support elements that may provide relevant avenues for promoting the well-being of public safety personnel during the prolonged stress period caused by the Covid-19 pandemic.	Huawei_AGI_run3				217670
4	doc4	Les autosoins peuvent s’avérer essentiels au maintien de la santé mentale et du bien-être du personnel de sécurité publique pendant la pandémie de COVID-19.		Self-care may be critical to maintaining the mental health and well-being of public safety personnel during the Covid-19 pandemic.	Huawei_AGI_run3				217670
1	doc5	De nombreuses études épidémiologiques ont montré une augmentation de la morbidité et de la mortalité liées au système respiratoire en relation avec la pollution.		Numerous epidemiological studies have shown an increase in morbidity and mortality related to the respiratory system in relation to pollution.	Huawei_AGI_run3				217670
2	doc5	L’exposition aux polluants atmosphériques provoque des effets à court terme, suite à une exposition à un pic de pollution, et des effets à long terme : déclin de la fonction pulmonaire et développement de ­pathologies chroniques.		Exposure to air pollutants causes short-term effects, following exposure to a peak of pollution, and long-term effects: decline in lung function and development of chronic diseases.	Huawei_AGI_run3				217670
