SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc10	A Síndrome de Waardenburg (SW) é uma condição genética rara de padrão autossômico dominante e que pode cursar com perda auditiva neurossensorial.		Waardenburg syndrome (WS) is a rare genetic condition with an autosomal dominant pattern that may present with sensorineural hearing loss.	MT Learner_run2				5658150
2	doc10	Nesse relato, apresentamos o desempenho da audição e linguagem de três crianças com SW, com zero, três, nove, doze e sessenta meses de seguimento após implante coclear (IC).		In this report, we present the hearing and language performance of three children with WS, with zero, three, nine, twelve and sixty months of follow-up after cochlear implant (CI).	MT Learner_run2				5658150
3	doc10	As crianças foram avaliadas através dos questionários Escala de Integração Auditiva IT-MAIS (até 5 anos), MAIS (maiores de 5 anos), Escala de Utilização da Fala (MUSS) e categorizados quanto à audição e linguagem.		The children were evaluated using the questionnaires IT-MAIS Auditory Integration Scale (up to 5 years), MAIS (over 5 years), Speech Use Scale (MUSS) and categorized according to hearing and language.	MT Learner_run2				5658150
4	doc10	Os resultados demonstraram uma melhora no desempenho da audição e linguagem ao longo do tempo, sendo que os dois pacientes que usaram o IC por 5 anos alcançaram 100% no IT-MAIS, MAIS e MUSS.		The results showed an improvement in hearing and language performance over time, and the two patients who used ci for 5 years reached 100% in IT-MAIS, MAIS and MUSS.	MT Learner_run2	The results showed an improvement in hearing and language performance over time, and the two patients who used <tag>ci</tag> for 5 years reached 100% in IT-MAIS, MAIS and MUSS.	Linguistic Conventions - Grammar	Neutral	5658150
5	doc10	Além disso, ambos foram capazes de compreender sentenças em conjunto aberto e possuem fala fluente, considerando-se as categorias de audição e linguagem.		In addition, both were able to understand sentences in open set and have fluent speech, considering the categories of hearing and language.	MT Learner_run2	<tag>In addition, both were able to understand sentences in open set and have fluent speech, considering the categories of hearing and language.</tag>	Style - Non-fluent	Critical	5658150
6	doc10	O terceiro paciente, com 50 meses de seguimento, encontra-se, na avaliação aos 48 meses, na categoria 5 de audição e 3 de linguagem.		The third patient, with 50 months of follow-up, is in the evaluation at 48 months, in category 5 of hearing and 3 of language.	MT Learner_run2				5658150
7	doc10	Conclui-se assim que as crianças da pesquisa, que apresentavam níveis baixos de audição e linguagem antes do implante coclear, passaram a apresentar melhores respostas auditivas e linguísticas após a implantação e reabilitação.		Thus, it is concluded that the research children, who had low levels of hearing and language before cochlear implant, started to present better auditory and linguistic responses after implantation and rehabilitation.	MT Learner_run2	Thus, it is concluded that <tag>the research children</tag>, who had low levels of hearing and language before cochlear implant, started to present better auditory and linguistic responses after implantation and rehabilitation.	Accuracy - Mistranslation	Critical	5658150
1	doc100	O grau de fluxo TIMI e a contagem quadro a quadro TIMI corrigida (CTFC) são métodos amplamente utilizados para avaliar o fluxo sanguíneo coronariano angiográfico.		Timi flow degree and corrected TIMI frame-by-frame count (CTFC) are widely used methods to assess angiographic coronary blood flow.	MT Learner_run2	<tag>Timi flow degree</tag> and corrected TIMI frame-by-frame count (CTFC) are widely used methods to assess angiographic coronary blood flow.	Accuracy - Mistranslation	Critical	5658150
2	doc100	A medição do fluxo sanguíneo coronariano (FSC) na coronariografia (CAG) padrão despertou grande interesse recentemente, tentando combinar o conceito de CTFC com novos métodos para pós-angioplastia e avaliação da síndrome cardíaca X. Além disso, o fluxo coronariano lento é considerado um critério importante para a angina microvascular.		The measurement of coronary blood flow (FSC) on standard coronary angiography (CAG) has aroused great interest recently, trying to combine the concept of CTFC with new methods for post-angioplasty and evaluation of cardiac syndrome X. In addition, slow coronary flow is considered an important criterion for microvascular angina.	MT Learner_run2				5658150
3	doc100	Explorar uma nova abordagem de medição angiográfica quantitativa do FSC com base na detecção densitométrica de contraste na CAG offline, usando um software acessível para obter uma avaliação mais precisa e confiável do FSC.		Explore a new fsc quantitative angiographic measurement approach based on contrast densitometric detection in offline CAG, using affordable software for more accurate and reliable FSC assessment.	MT Learner_run2	Explore a new <tag>fsc</tag> quantitative angiographic measurement approach based on contrast densitometric detection in offline CAG, using affordable software for more accurate and reliable FSC assessment.	Accuracy - Untranslated	Critical	5658150
