SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc10	Изучить возможности измерения внутриклеточного водородного показателя (pH) с помощью фосфорной магнитно-резонансной спектроскопии в глиобластомах, а также сравнить полученные данные со значениями внутриклеточного pH у здоровых добровольцев.		AIM To study the possibilities of measuring intracellular hydrogen index (pH) using phosphorous magnetic resonance spectroscopy in glioblastomas, and to compare the obtained data with intracellular pH values in healthy volunteers.	MT Learner_run2	<tag>AIM</tag> To study the possibilities of measuring intracellular hydrogen index (pH) using phosphorous magnetic resonance spectroscopy in glioblastomas, and to compare the obtained data with intracellular pH values in healthy volunteers.	Accuracy - Mistranslation	Neutral	500113
2	doc10	В исследование включены 10 пациентов в возрасте от 41 года до 67 лет с глиобластомами супратенториальной локализации.		The study included 10 patients aged 41 to 67 years with supratentorial localization glioblastomas.	MT Learner_run2	The study included 10 patients aged 41 to 67 years with <tag>supratentorial localization glioblastomas</tag>.	Terminology - Wrong term	Neutral	500113
3	doc10	Полученные значения внутриклеточного pH ткани глиобластом сравнивали с pH тканей мозга здоровых добровольцев.		The obtained values of intracellular pH of glioblastoma tissue were compared with the pH of brain tissues of healthy volunteers.	MT Learner_run2				500113
4	doc10	Выявлена тенденция к увеличению уровня внутриклеточного pH в опухолях по сравнению с уровнем pH здоровых тканей мозга.		There was a tendency to increase the level of intracellular pH in tumors compared to the pH level of healthy brain tissues.	MT Learner_run2	There was a tendency <tag>to increase</tag> the level of intracellular pH in tumors compared to the pH level of healthy brain tissues.	Linguistic Conventions - Grammar	Critical	500113
5	doc10	Данные об изменениях внутриклеточного водородного показателя мозгового вещества в дальнейшем могут быть использованы в качестве потенциального маркера ранних патологических изменений, не визуализируемых при стандартном магнитно-резонансном томографическом исследовании, а также в оценке эффективности противоопухолевой терапии.		Data on changes in the intracellular hydrogen index of brain matter can be used in the future as a potential marker of early pathological changes not visualized in standard magnetic resonance imaging, as well as in evaluating the effectiveness of anticancer therapy.	MT Learner_run2				500113
1	doc11	Цель – анализ мировой литературы, посвященной проблеме лечения сочетания стеноза внутренней сонной артерии на экстракраниальном уровне и артериальной аневризмы головного мозга, а также демонстрация собственных результатов хирургического лечения пациентов с данной сочетанной патологией каротидного бассейна.		AIM To analyze the world literature on the problem of treatment of the combination of stenosis of the internal carotid artery at the extracranial level and arterial aneurysm of the brain, as well as to demonstrate its own results of surgical treatment of patients with this combined pathology of the carotid basin.	MT Learner_run2	<tag>AIM</tag> To analyze the world literature on the problem of treatment of the combination of stenosis of the internal carotid artery at the extracranial level and arterial aneurysm of the brain, as well as to demonstrate its own results of surgical treatment of patients with this combined pathology of the carotid basin.	Accuracy - Mistranslation	Neutral	500113
1	doc11	Цель – анализ мировой литературы, посвященной проблеме лечения сочетания стеноза внутренней сонной артерии на экстракраниальном уровне и артериальной аневризмы головного мозга, а также демонстрация собственных результатов хирургического лечения пациентов с данной сочетанной патологией каротидного бассейна.		AIM To analyze the world literature on the problem of treatment of the combination of stenosis of the internal carotid artery at the extracranial level and arterial aneurysm of the brain, as well as to demonstrate its own results of surgical treatment of patients with this combined pathology of the carotid basin.	MT Learner_run2	AIM To analyze the world literature on the problem of treatment of the combination of stenosis of the internal carotid artery at the extracranial level and arterial aneurysm of the brain, as well as to demonstrate its <tag>own</tag> results of surgical treatment of patients with this combined pathology of the carotid basin.	Linguistic Conventions - Grammar	Major	500113
2	doc11	Материалы и методы.		MATERIAL AND METHODS	MT Learner_run2				500113
3	doc11	С 2013 по 2019 гг. в клинике сочетанная патология бассейна внутренней сонной артерии (интракраниальная аневризма и стеноз внутренней сонной артерии на экстракраниальном уровне) выявлена у 35 из 1638 обследованных пациентов.		From 2013 to 2019, the combined pathology of the internal carotid artery basin (intracranial aneurysm and stenosis of the internal carotid artery at the extracranial level) was detected in 35 out of 1638 examined patients.	MT Learner_run2	From 2013 to 2019, the combined pathology of the internal carotid artery basin (intracranial aneurysm and stenosis of the internal carotid artery at the extracranial level) was detected in 35 out of <tag>1638</tag> examined patients.	Locale Conventions - Number format	Neutral	500113
4	doc11	Мужчин было 10, женщин – 25.		There were 10 men and 25 women.	MT Learner_run2				500113
5	doc11	Средний возраст составил 66±7 лет.		The mean age was 66-7 years.	MT Learner_run2	The mean age was <tag>66-7</tag> years.	Locale Conventions - Number format	Critical	500113
6	doc11	У всех 35 больных интракраниальная аневризма являлась асимптомной и была обнаружена при диагностике атеросклеротического поражения внутренней сонной артерии.		In all 35 patients, intracranial aneurysm was asymptomatic and was detected in the diagnosis of atherosclerotic lesion of the internal carotid artery.	MT Learner_run2				500113
7	doc11	Оперированы 15 (43%) из 35 пациентов.		Fifteen (43%) out of 35 patients underwent surgery.	MT Learner_run2				500113
8	doc11	Двухэтапный хирургический подход применен в 2 случаях у пациентов с ипсилатеральным расположением аневризмы головного мозга и стеноза внутренней сонной артерии: 1 этапом клипирована артериальная аневризма, 2 этапом проведена каротидная эндартерэктомия.		Two-stage surgical approach was applied in 2 cases in patients with ipsilateral location of the brain aneurysm and stenosis of the internal carotid artery: stage 1 clipped arterial aneurysm, stage 2 carotid endarterectomy.	MT Learner_run2				500113
9	doc11	Выполнение только сосудистого этапа (каротидная эндартерэктомия или стентирование внутренней сонной артерии) осуществлено у 9 пациентов, только нейрохирургического этапа (клипирование аневризмы) – у 4 больных.		Only the vascular stage (carotid endarterectomy or stenting of the internal carotid artery) was performed in 9 patients, only the neurosurgical stage (clipping of the aneurysm) - in 4 patients.	MT Learner_run2	Only the vascular stage (carotid endarterectomy or stenting of the internal carotid artery) was performed in 9 patients, only the neurosurgical stage (clipping of the aneurysm) <tag>-</tag> in 4 patients.	Linguistic Conventions - Punctuation	Major	500113
10	doc11	Результаты.		RESULTS	MT Learner_run2				500113
11	doc11	Частота встречаемости стеноза внутренней сонной артерии с артериальной аневризмой головного мозга, по нашим данным, составила 2,1%.		The incidence of stenosis of the internal carotid artery with arterial aneurysm of the brain, according to our data, was 2.1%.	MT Learner_run2				500113
12	doc11	В группе хирургического лечения в 1 случае (6,7%) после стентирования симптомного стеноза внутренней сонной артерии у пациентки с ипсилатеральной асимптомной аневризмой средней мозговой артерии интраоперационно развился 'малый' ишемический инсульт.		In the surgical treatment group in 1 case (6.7%) after stenting of symptomatic stenosis of the internal carotid artery in a patient with ipsilateral asymptomatic aneurysm of the middle cerebral artery intraoperatively developed a 'small' ischemic stroke.	MT Learner_run2				500113
13	doc11	Периоперационных разрывов аневризм и летальных исходов в оперируемой группе отмечено не было.		Perioperative ruptures of the aneurysm and mortality were not observed in the operated group.	MT Learner_run2				500113
14	doc11	Выводы.		CONCLUSION	MT Learner_run2				500113
