SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc10	Изучить возможности измерения внутриклеточного водородного показателя (pH) с помощью фосфорной магнитно-резонансной спектроскопии в глиобластомах, а также сравнить полученные данные со значениями внутриклеточного pH у здоровых добровольцев.		AIM To study the possibilities of measuring the intracellular hydrogen index (pH) using phosphoric magnetic resonance spectroscopy in glioblastomas and to compare the obtained data with the values of intracellular pH in healthy volunteers.	NeMo_run1	<tag>AIM</tag> To study the possibilities of measuring the intracellular hydrogen index (pH) using phosphoric magnetic resonance spectroscopy in glioblastomas and to compare the obtained data with the values of intracellular pH in healthy volunteers.	Linguistic Conventions - Register	Major	5000376
1	doc10	Изучить возможности измерения внутриклеточного водородного показателя (pH) с помощью фосфорной магнитно-резонансной спектроскопии в глиобластомах, а также сравнить полученные данные со значениями внутриклеточного pH у здоровых добровольцев.		AIM To study the possibilities of measuring the intracellular hydrogen index (pH) using phosphoric magnetic resonance spectroscopy in glioblastomas and to compare the obtained data with the values of intracellular pH in healthy volunteers.	NeMo_run1	AIM <tag>To</tag> study the possibilities of measuring the intracellular hydrogen index (pH) using phosphoric magnetic resonance spectroscopy in glioblastomas and to compare the obtained data with the values of intracellular pH in healthy volunteers.	Linguistic Conventions - Register	Minor	5000376
2	doc10	В исследование включены 10 пациентов в возрасте от 41 года до 67 лет с глиобластомами супратенториальной локализации.		The study included 10 patients aged from 41 to 67 years with supratentorial glioblastoma.	NeMo_run1				5000376
3	doc10	Полученные значения внутриклеточного pH ткани глиобластом сравнивали с pH тканей мозга здоровых добровольцев.		Obtained values of intracellular pH of glioblast tissue were compared with pH of brain tissues of healthy volunteers.	NeMo_run1				5000376
4	doc10	Выявлена тенденция к увеличению уровня внутриклеточного pH в опухолях по сравнению с уровнем pH здоровых тканей мозга.		There was a tendency to increase the level of intracellular pH in tumors compared to the pH level of healthy brain tissues.	NeMo_run1				5000376
5	doc10	Данные об изменениях внутриклеточного водородного показателя мозгового вещества в дальнейшем могут быть использованы в качестве потенциального маркера ранних патологических изменений, не визуализируемых при стандартном магнитно-резонансном томографическом исследовании, а также в оценке эффективности противоопухолевой терапии.		Data on changes in the intracellular hydrogen index of the brain matter can be further used as a potential marker of early pathological changes not visualized by standard magnetic resonance imaging, as well as in assessing the effectiveness of antitumor therapy.	NeMo_run1				5000376
1	doc11	Цель – анализ мировой литературы, посвященной проблеме лечения сочетания стеноза внутренней сонной артерии на экстракраниальном уровне и артериальной аневризмы головного мозга, а также демонстрация собственных результатов хирургического лечения пациентов с данной сочетанной патологией каротидного бассейна.		AIM To analyze the world literature devoted to the problem of treatment of the combination of stenosis of the internal carotid artery at the extracranial level and arterial cerebral aneurysm, as well as to demonstrate the results of surgical treatment of patients with this combined pathology of the carotid basin.	NeMo_run1	<tag>AIM</tag> To analyze the world literature devoted to the problem of treatment of the combination of stenosis of the internal carotid artery at the extracranial level and arterial cerebral aneurysm, as well as to demonstrate the results of surgical treatment of patients with this combined pathology of the carotid basin.	Linguistic Conventions - Register	Major	5000376
1	doc11	Цель – анализ мировой литературы, посвященной проблеме лечения сочетания стеноза внутренней сонной артерии на экстракраниальном уровне и артериальной аневризмы головного мозга, а также демонстрация собственных результатов хирургического лечения пациентов с данной сочетанной патологией каротидного бассейна.		AIM To analyze the world literature devoted to the problem of treatment of the combination of stenosis of the internal carotid artery at the extracranial level and arterial cerebral aneurysm, as well as to demonstrate the results of surgical treatment of patients with this combined pathology of the carotid basin.	NeMo_run1	AIM <tag>To</tag> analyze the world literature devoted to the problem of treatment of the combination of stenosis of the internal carotid artery at the extracranial level and arterial cerebral aneurysm, as well as to demonstrate the results of surgical treatment of patients with this combined pathology of the carotid basin.	Linguistic Conventions - Register	Minor	5000376
2	doc11	Материалы и методы.		SUBECTS AND METHODS	NeMo_run1	<tag>SUBECTS AND METHODS</tag>	Linguistic Conventions - Register	Minor	5000376
2	doc11	Материалы и методы.	Материалы и методы<tag>.</tag>	SUBECTS AND METHODS	NeMo_run1		Accuracy - Omission	Minor	5000376
