SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc10	Изучить возможности измерения внутриклеточного водородного показателя (pH) с помощью фосфорной магнитно-резонансной спектроскопии в глиобластомах, а также сравнить полученные данные со значениями внутриклеточного pH у здоровых добровольцев.		To investigate the possibility of measuring intracellular hydrogen parameters (pH) using phosphorus magnetic resonance spectroscopy in glioblastoma patients and to compare the obtained data with the values of intracellular pH in healthy volunteers.	TMT_run1	To investigate the possibility of measuring intracellular <tag>hydrogen parameters</tag> (pH) using phosphorus magnetic resonance spectroscopy in glioblastoma patients and to compare the obtained data with the values of intracellular pH in healthy volunteers.	Terminology - Wrong term	Minor	5569910
2	doc10	В исследование включены 10 пациентов в возрасте от 41 года до 67 лет с глиобластомами супратенториальной локализации.		The study included 10 patients aged 41 to 67 years with supratentorial localization.	TMT_run1	The study <tag>included</tag> 10 patients aged 41 to 67 years with supratentorial localization.	Linguistic Conventions - Grammar	Minor	501100
2	doc10	В исследование включены 10 пациентов в возрасте от 41 года до 67 лет с глиобластомами супратенториальной локализации.		The study included 10 patients aged 41 to 67 years with supratentorial localization.	TMT_run1	The study included 10 patients <tag>aged 41</tag> to 67 years with supratentorial localization.	Accuracy - Untranslated	Minor	501100
2	doc10	В исследование включены 10 пациентов в возрасте от 41 года до 67 лет с глиобластомами супратенториальной локализации.		The study included 10 patients aged 41 to 67 years with supratentorial localization.	TMT_run1	The study included 10 patients aged 41 to 67 years <tag>with supratentorial localization</tag>.	Other	Minor	501100
3	doc10	Полученные значения внутриклеточного pH ткани глиобластом сравнивали с pH тканей мозга здоровых добровольцев.		The values of intracellular pH of glioblastoma tissue were compared with the pH of healthy volunteers.	TMT_run1				501105
4	doc10	Выявлена тенденция к увеличению уровня внутриклеточного pH в опухолях по сравнению с уровнем pH здоровых тканей мозга.		There was a tendency towards an increase in the level of intracellular pH in tumors compared to the pH of healthy brain tissues.	TMT_run1	There was a tendency towards an increase in the <tag>level of intracellular pH</tag> in tumors compared to the pH of healthy brain tissues.	Style - Non-fluent	Minor	5569910
4	doc10	Выявлена тенденция к увеличению уровня внутриклеточного pH в опухолях по сравнению с уровнем pH здоровых тканей мозга.	<tag>Выявлена</tag> тенденция к увеличению уровня внутриклеточного pH в опухолях по сравнению с уровнем pH здоровых тканей мозга.	There was a tendency towards an increase in the level of intracellular pH in tumors compared to the pH of healthy brain tissues.	TMT_run1		Accuracy - Omission	Neutral	5569910
5	doc10	Данные об изменениях внутриклеточного водородного показателя мозгового вещества в дальнейшем могут быть использованы в качестве потенциального маркера ранних патологических изменений, не визуализируемых при стандартном магнитно-резонансном томографическом исследовании, а также в оценке эффективности противоопухолевой терапии.		The data on changes in the intracellular hydrogen parameters of the brain in the future can be used as a potential marker of early pathological changes not visualized by standard magnetic resonance imaging and assessment of the efficacy of antitumor therapy.	TMT_run1				501105
1	doc11	Цель – анализ мировой литературы, посвященной проблеме лечения сочетания стеноза внутренней сонной артерии на экстракраниальном уровне и артериальной аневризмы головного мозга, а также демонстрация собственных результатов хирургического лечения пациентов с данной сочетанной патологией каротидного бассейна.		Aim: The objective of the present study was to analyze the world literature concerning the problem of combined stenosis of the internal carotid artery at the extracranial level and the arterial aneurysm of the brain, as well as to demonstrate the own results of surgical treatment of patients presenting with this combined pathology of the carotid artery.	TMT_run1	<tag>Aim:</tag> The objective of the present study was to analyze the world literature concerning the problem of combined stenosis of the internal carotid artery at the extracranial level and the arterial aneurysm of the brain, as well as to demonstrate the own results of surgical treatment of patients presenting with this combined pathology of the carotid artery.	Accuracy - Addition	Neutral	501105
2	doc11	Материалы и методы.		Materials and methods.	TMT_run1				5569910
3	doc11	С 2013 по 2019 гг. в клинике сочетанная патология бассейна внутренней сонной артерии (интракраниальная аневризма и стеноз внутренней сонной артерии на экстракраниальном уровне) выявлена у 35 из 1638 обследованных пациентов.		From 2013 to 2019, the combined pathology of the internal carotid artery (intracranial aneurysm and stenosis of the internal carotid artery at the extracranial level) was detected in 35 of 1638 examined patients.	TMT_run1	From 2013 to <tag>2019,</tag> the combined pathology of the internal carotid artery (intracranial aneurysm and stenosis of the internal carotid artery at the extracranial level) was detected in 35 of 1638 examined patients.	Linguistic Conventions - Punctuation	Minor	501100
4	doc11	Мужчин было 10, женщин – 25.	Мужчин было 10, <tag>женщин</tag> – 25.	There were 10 men and 25.	TMT_run1		Accuracy - Omission	Critical	5569910
5	doc11	Средний возраст составил 66±7 лет.		The mean age was 66±7 years.	TMT_run1				5569910
6	doc11	У всех 35 больных интракраниальная аневризма являлась асимптомной и была обнаружена при диагностике атеросклеротического поражения внутренней сонной артерии.		All 35 patients with intracranial aneurysms were asymptomatic and were diagnosed with atherosclerotic lesion of the internal carotid artery.	TMT_run1				501105
7	doc11	Оперированы 15 (43%) из 35 пациентов.		15 (43%) of 35 patients were operated.	TMT_run1				5569910
