SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc51	过渡到为人父母的时期是新任父母们面临的最紧张的调适期之一，无论是与个体自我的关系还是与他者的关系。 		The transition to parenthood is one of the most stressful adjustment periods faced by new parents, both in relation to the individual's self and others.	HuaweiTSC_run1				5673363
2	doc51	针对这种过渡时期的代际关系之间的双向关联的研究非常有限，而且相互关系的复杂性也会根据生活居住情境的不同而变化。 		Research on the bidirectional relationship between these transitional intergenerational relationships is very limited, and the complexity of the relationship varies according to life and residence situations.	HuaweiTSC_run1				5673363
3	doc51	本研究旨在探索（1）过渡为家长期间，夫妻婚姻关系和与对方父母的冲突两者之间的双向关联性，以及（2）和父亲同住对上述关系的调适影响作用。 		The aim of this study was to explore (1) the bidirectional relationship between marital relationship and conflict with the other parent during the transition to parenthood, and (2) the moderating effect of living with the father on the relationship.	HuaweiTSC_run1				5673363
4	doc51	本文的研究对象是359名已婚母亲，采用了三波前瞻性长期性研究设计。 		A three-wave prospective long-term study design was used with 359 married mothers.	HuaweiTSC_run1	A <tag>three-wave</tag> prospective long-term study design was used with 359 married mothers.	Terminology - Inconsistent use of terminology	Major	5673363
5	doc51	使用二元调整量表和斯特赖克调整清单量表来评估婚姻关系以及与对方父母的冲突关系。 		The Binary Adjustment Scale and the Stryker Adjustment Inventory scale were used to assess marital relationships and conflicting relationships with the other parent.	HuaweiTSC_run1				5673363
6	doc51	研究相互关系时使用的是交叉时滞平面分析，确定这些关系是否随着生活情境的不同而呈现出不同的模式时使用的是多群组分析。 		Cross-lagged plane analysis was used to study relationships, and multigroup analysis was used to determine whether these relationships showed different patterns with different life situations.	HuaweiTSC_run1				5673363
7	doc51	两个交叉－时滞模型表明，在怀孕中期至后期，婚内问题和与对方父母的冲突之间存在着双向关系。 		Two cross-lagged models suggest a bidirectional relationship between marital problems and conflict with the other parent between the second and third trimesters of pregnancy.	HuaweiTSC_run1				5673363
8	doc51	同时，多群组分析表明，在妊娠期间与父母同住的受试组中，与对方父母的冲突会引发婚内问题；而不与父母同住的受试组中，在怀孕后期到产后期，与对方父亲之间的关系冲突可能强化婚姻问题。 		At the same time, multigroup analysis showed that in the group of participants who lived with their parents during pregnancy, conflict with the other parent led to marital problems, while in the group of participants who did not live with their parents, relationship conflict with the other father may reinforce marital problems from late pregnancy to the postpartum period.	HuaweiTSC_run1				5673363
9	doc51	这些研究发现揭示了代际冲突的交叉时滞关联性。 		These findings shed light on the cross-temporal association of intergenerational conflict.	HuaweiTSC_run1				5673363
10	doc51	医疗保健专业人员有必要确保在过渡为父母的过程中，代际关系是积极有利的。 		Health care professionals need to ensure that intergenerational relationships are positive and beneficial during the transition to parenthood.	HuaweiTSC_run1				5673363
11	doc51	本研究丰富了我们对于和父亲同住这个因素对婚姻关系的作用的认知，并能指导基于特定文化的多维度干预方式的未来发展。 		This study enriches our knowledge of the effect of living with a father as a factor on marital relationships and can guide the future development of culturally specific multidimensional interventions.	HuaweiTSC_run1				5673363
1	doc52	线性回归模型被广泛应用于精神卫生和卫生服 务相关研究。 		Linear regression models have been widely used in mental health and health service-related studies.	HuaweiTSC_run1				5673363
2	doc52	然而，经典线性回归分析是假设该数据 为正态分布的，但是很多研究所获得的数据并不符合 这种假设。 		However, classical linear regression analysis assumes that the data are normally distributed, but the data obtained in many studies do not meet this assumption.	HuaweiTSC_run1				5673363
3	doc52	解决该问题的方法之一是采用不要求数据 为正态分布的半参数模型。 		One way to solve this problem is to use a semiparametric model that does not require the data to be normally distributed.	HuaweiTSC_run1				5673363
4	doc52	但是，半参数模型对离散 数据相当敏感，因此在处理包含离散值的数据时产生 的估计值是不可靠的。 		However, semiparametric models are quite sensitive to discrete data and therefore produce unreliable estimates when handling data containing discrete values.	HuaweiTSC_run1				5673363
5	doc52	在这种情况下，一些研究者在 删减这些极端值后再进行分析，但是，删减数据的事 先法则（ad-hoc rules）是基于主观标准的，所以不同 的调整方法就会产生不同的结果。 		In this case, some researchers censored these extreme values before analyzing them, but the ad-hoc rules for censoring data are based on subjective criteria, so different adjustment methods will produce different results.	HuaweiTSC_run1				5673363
6	doc52	等级回归为处理包 括离散值的非正态分布数据提供了更为客观的方法。 		Hierarchical regression provides a more objective method for processing non-normally distributed data containing discrete values.	HuaweiTSC_run1				5673363
7	doc52	本文采用虚拟和实际数据来阐述这个非常有用的处理 离散值的回归方法，并与采用经典回归模型和半参数 回归模型所得出的结果进行比较。 		In this paper, virtual and actual data are used to illustrate this very useful regression method for handling discrete values and to compare the results obtained using classical and semiparametric regression models.	HuaweiTSC_run1				5673363
1	doc53	低收入伴侣的关系教育（RE）干预的结果有好也有坏。 		Relationship education (RE) interventions for low-income partners have both good and bad outcomes.	HuaweiTSC_run1				5673363
2	doc53	对于经历了积极变化的伴侣而言，项目模型的哪些方面起到了积极促进变化的作用尚不清楚。 		For partners who experienced positive change, it is unclear what aspects of the project model played a positive role in promoting change.	HuaweiTSC_run1				5673363
3	doc53	很多低收入的伴侣参加政府资助的关系教育，同时对社会和社区的支持等方面的资源获取和利用却十分有限。 		Many low-income partners participate in government-funded relationship education and have limited access to and use of resources such as social and community support.	HuaweiTSC_run1				5673363
4	doc53	项目模型通常提供了相关的资源来补充关系教育中的具体技巧训练。 		Project models often provide relevant resources to complement specific skills training in relationship education.	HuaweiTSC_run1				5673363
5	doc53	本文研究的是收入，社会支持，家庭功能三者之间的关系，也研究社会支持对家庭功能结果的调和作用。 		This study examined the relationship between income, social support, and family functioning, as well as the moderating effect of social support on family functioning outcomes.	HuaweiTSC_run1				5673363
6	doc53	研究对象为参加关系教育的856对低收入伴侣，来自多种族。 		The participants were 856 low-income couples from multiple races who participated in relationship education.	HuaweiTSC_run1				5673363
7	doc53	分析包括三个独立的二元模型，用于研究相关的处在在基线的元素之间的关联性，和也包括立刻跟踪关系教育干预的结果。 		The analysis included three separate binary models to examine the association between relevant elements at baseline and also the outcomes of the immediate follow-up relationship education intervention.	HuaweiTSC_run1				5673363
8	doc53	研究结果显示参与者报告的社会支持和家庭功能之间的关系表现在：(a) 社会支持和和男性、女性的基线家庭功能都有相关性； (b) 男性基线社会支持受女性基线家庭功能影响; (c) 男性和女性的社会支持变化分数对他们自身的家庭功能变化分数有积极影响。 		The relationship between participant-reported social support and family functioning was shown in: (A) social support was associated with baseline family functioning in both men and women; (b) baseline social support in men was influenced by baseline family functioning in women; and (c) change scores in social support in men and women had a positive effect on their own change scores in family functioning.	HuaweiTSC_run1				5673363
9	doc53	但是社会支持并不是家庭功能变化的重要调节因素。 		However, social support was not an important mediator of changes in family functioning.	HuaweiTSC_run1				5673363
10	doc53	关系教育如何实施和相关研究在研究启示部分有所讨论。 		How to implement relationship education and related research are discussed in the research enlightenment section.	HuaweiTSC_run1				5673363
