SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc51	过渡到为人父母的时期是新任父母们面临的最紧张的调适期之一，无论是与个体自我的关系还是与他者的关系。 		The transition to parenthood is one of the most stressful periods of adjustment that new parents face, whether in relationships with the individual self or with others.	Huawei_AGI_run3				5673363
2	doc51	针对这种过渡时期的代际关系之间的双向关联的研究非常有限，而且相互关系的复杂性也会根据生活居住情境的不同而变化。 		The research on the two-way intergenerational relationship in this transitional period is very limited, and the complexity of the relationship will change according to the different living situations.	Huawei_AGI_run3				5673363
3	doc51	本研究旨在探索（1）过渡为家长期间，夫妻婚姻关系和与对方父母的冲突两者之间的双向关联性，以及（2）和父亲同住对上述关系的调适影响作用。 		The purpose of this study was to explore (1) the two-way correlation between marital relationship and conflict with each other's parents during the transition to parental status, and (2) the adjustment effect of living with the father on the above relationship.	Huawei_AGI_run3				5673363
4	doc51	本文的研究对象是359名已婚母亲，采用了三波前瞻性长期性研究设计。 		This study was conducted on 359 married mothers using a three-wave prospective long-term study design.	Huawei_AGI_run3				5673363
5	doc51	使用二元调整量表和斯特赖克调整清单量表来评估婚姻关系以及与对方父母的冲突关系。 		The binary adjustment scale and the stryker adjustment list scale were used to assess marital relationships and conflicting relationships with each other's parents.	Huawei_AGI_run3				5673363
6	doc51	研究相互关系时使用的是交叉时滞平面分析，确定这些关系是否随着生活情境的不同而呈现出不同的模式时使用的是多群组分析。 		The cross-lag plane analysis is used to study the relationship, and the multi-group analysis is used to determine whether these relationships show different patterns with different life situations.	Huawei_AGI_run3				5673363
7	doc51	两个交叉－时滞模型表明，在怀孕中期至后期，婚内问题和与对方父母的冲突之间存在着双向关系。 		Two crossover-delay models showed a two-way relationship between marital problems and conflict with each other's parents in the second and third trimesters of pregnancy.	Huawei_AGI_run3				5673363
8	doc51	同时，多群组分析表明，在妊娠期间与父母同住的受试组中，与对方父母的冲突会引发婚内问题；而不与父母同住的受试组中，在怀孕后期到产后期，与对方父亲之间的关系冲突可能强化婚姻问题。 		At the same time, multigroup analysis showed that in the test group that lived with parents during pregnancy, conflict with the other parent could cause marital problems; in the test group that did not live with the parent, conflict with the other father during the late pregnancy to the postpartum period may reinforce marital problems.	Huawei_AGI_run3				5673363
9	doc51	这些研究发现揭示了代际冲突的交叉时滞关联性。 		These findings reveal the intergenerational conflict of the cross-delay correlation.	Huawei_AGI_run3				5673363
10	doc51	医疗保健专业人员有必要确保在过渡为父母的过程中，代际关系是积极有利的。 		Health-care professionals need to ensure that intergenerational relationships are positively beneficial during the transition to parenthood.	Huawei_AGI_run3				5673363
11	doc51	本研究丰富了我们对于和父亲同住这个因素对婚姻关系的作用的认知，并能指导基于特定文化的多维度干预方式的未来发展。 		This study enriches our understanding of the role of living with a father in marital relationships, and can guide the future development of multi-dimensional interventions based on specific cultures.	Huawei_AGI_run3				5673363
1	doc52	线性回归模型被广泛应用于精神卫生和卫生服 务相关研究。 		Linear regression model is widely used in mental health and health service related research.	Huawei_AGI_run3				5673363
2	doc52	然而，经典线性回归分析是假设该数据 为正态分布的，但是很多研究所获得的数据并不符合 这种假设。 		However, the classical linear regression analysis assumes that the data is normally distributed, but the data obtained in many studies do not conform to this assumption.	Huawei_AGI_run3				5673363
3	doc52	解决该问题的方法之一是采用不要求数据 为正态分布的半参数模型。 		One way to solve this problem is to use a semi-parametric model that does not require data to be normally distributed.	Huawei_AGI_run3				5673363
