SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc51	过渡到为人父母的时期是新任父母们面临的最紧张的调适期之一，无论是与个体自我的关系还是与他者的关系。 		The transition to parenthood is one of the most stressful periods that new parents face, both in relation to the individual and in relation to others.	volctrans_base				5673363
2	doc51	针对这种过渡时期的代际关系之间的双向关联的研究非常有限，而且相互关系的复杂性也会根据生活居住情境的不同而变化。 		Studies on the bidirectional associations between the intergenerational relationships of this transition period are very limited, and the complexity of the interrelationships can vary depending on the living situation.	volctrans_base				5673363
3	doc51	本研究旨在探索（1）过渡为家长期间，夫妻婚姻关系和与对方父母的冲突两者之间的双向关联性，以及（2）和父亲同住对上述关系的调适影响作用。 		This study was designed to explore (1) the bidirectional association between marital relationship and conflict with other parents during the transition period, and (2) the adaptive effect of cohabitation on these relationships.	volctrans_base				5673363
4	doc51	本文的研究对象是359名已婚母亲，采用了三波前瞻性长期性研究设计。 		The study, which involved 359 married mothers, employed a three-wave prospective, long-term study design.	volctrans_base	The study, which involved 359 married mothers, employed <tag>a three-wave prospective</tag>, long-term study design.	Terminology - Wrong term	Major	5673363
5	doc51	使用二元调整量表和斯特赖克调整清单量表来评估婚姻关系以及与对方父母的冲突关系。 		The Bivariate Adjustment Scale and the STRIK Adjustment Inventory scale were used to assess marital relationships and conflict with other parents.	volctrans_base				5673363
6	doc51	研究相互关系时使用的是交叉时滞平面分析，确定这些关系是否随着生活情境的不同而呈现出不同的模式时使用的是多群组分析。 		Cross-time stagnation plane analysis was used to study the interrelationships, and multigroup analysis was used to determine whether these relationships differ with different patterns of living situations.	volctrans_base				5673363
7	doc51	两个交叉－时滞模型表明，在怀孕中期至后期，婚内问题和与对方父母的冲突之间存在着双向关系。 		The two crossover-time models showed that there was a bidirectional relationship between intra-marital problems and conflict with each other s parents between the second and third trimesters.	volctrans_base				5673363
8	doc51	同时，多群组分析表明，在妊娠期间与父母同住的受试组中，与对方父母的冲突会引发婚内问题；而不与父母同住的受试组中，在怀孕后期到产后期，与对方父亲之间的关系冲突可能强化婚姻问题。 		At the same time, the multi-group analysis showed that the conflict with the other parent in the test group with the parents during pregnancy can lead to marital problems; instead of living with the parents in the test group, late pregnancy to postpartum, the relationship between the other father conflict may strengthen the marriage problem.	volctrans_base				5673363
9	doc51	这些研究发现揭示了代际冲突的交叉时滞关联性。 		These findings reveal the cross-temporal association of intergenerational conflicts.	volctrans_base				5673363
10	doc51	医疗保健专业人员有必要确保在过渡为父母的过程中，代际关系是积极有利的。 		Healthcare professionals need to ensure that intergenerational relationships are positive and beneficial in the transition to parenthood.	volctrans_base				5673363
11	doc51	本研究丰富了我们对于和父亲同住这个因素对婚姻关系的作用的认知，并能指导基于特定文化的多维度干预方式的未来发展。 		This study enriches our understanding of the role of marital cohabitation with paternity and can guide the future development of multi-dimensional interventions based on specific cultures.	volctrans_base				5673363
1	doc52	线性回归模型被广泛应用于精神卫生和卫生服 务相关研究。 		Linear regression models are widely used in research on mental health and health services.	volctrans_base				5673363
2	doc52	然而，经典线性回归分析是假设该数据 为正态分布的，但是很多研究所获得的数据并不符合 这种假设。 		However, the classical linear regression analysis assumes that the data are normally distributed, but the data obtained by many studies are not consistent with this assumption.	volctrans_base				5673363
3	doc52	解决该问题的方法之一是采用不要求数据 为正态分布的半参数模型。 		One way to solve this problem is to use a semiparametric model that does not require the data to be normally distributed.	volctrans_base				5673363
4	doc52	但是，半参数模型对离散 数据相当敏感，因此在处理包含离散值的数据时产生 的估计值是不可靠的。 		However, the semi-parametric model is very sensitive to discrete data, so the estimates generated when dealing with data with discrete values are not reliable.	volctrans_base				5673363
5	doc52	在这种情况下，一些研究者在 删减这些极端值后再进行分析，但是，删减数据的事 先法则（ad-hoc rules）是基于主观标准的，所以不同 的调整方法就会产生不同的结果。 		In this case, some researchers will be analyzed after the polarizing values are ablated, but ad - hoc rules are based on subjective criteria, so different adjustment methods will yield different results.	volctrans_base				5673363
6	doc52	等级回归为处理包 括离散值的非正态分布数据提供了更为客观的方法。 		Hierarchical regression provides a more objective method for handling non-normally distributed data with discrete values.	volctrans_base				5673363
7	doc52	本文采用虚拟和实际数据来阐述这个非常有用的处理 离散值的回归方法，并与采用经典回归模型和半参数 回归模型所得出的结果进行比较。 		This paper uses virtual and practical data to illustrate this very useful regression method to deal with discrete values, and compare with the results obtained using classical regression model and semi-parametric regression model.	volctrans_base				5673363
1	doc53	低收入伴侣的关系教育（RE）干预的结果有好也有坏。 		Relationship education (RE) interventions for low-income couples have had mixed outcomes.	volctrans_base				5673363
2	doc53	对于经历了积极变化的伴侣而言，项目模型的哪些方面起到了积极促进变化的作用尚不清楚。 		For partners who have experienced positive change, it is not clear which aspects of the project model have contributed to positive change.	volctrans_base				5673363
3	doc53	很多低收入的伴侣参加政府资助的关系教育，同时对社会和社区的支持等方面的资源获取和利用却十分有限。 		Many low-income partners participate in government-funded relationship education, while limited resources are available and utilized for social and community support.	volctrans_base				5673363
4	doc53	项目模型通常提供了相关的资源来补充关系教育中的具体技巧训练。 		Project models typically provide relevant resources to complement specific skills training in relationship education.	volctrans_base				5673363
5	doc53	本文研究的是收入，社会支持，家庭功能三者之间的关系，也研究社会支持对家庭功能结果的调和作用。 		This paper studies the relationship between income, social support, and family function, and also studies the effect of social support on family function outcomes.	volctrans_base				5673363
6	doc53	研究对象为参加关系教育的856对低收入伴侣，来自多种族。 		The study involved 856 low-income couples who participated in relationship education and came from multiple ethnicities.	volctrans_base				5673363
7	doc53	分析包括三个独立的二元模型，用于研究相关的处在在基线的元素之间的关联性，和也包括立刻跟踪关系教育干预的结果。 		The analysis included three independent binary models for studying the correlation between the elements at baseline, and also included the results of an immediate follow-up relationship education intervention.	volctrans_base				5673363
8	doc53	研究结果显示参与者报告的社会支持和家庭功能之间的关系表现在：(a) 社会支持和和男性、女性的基线家庭功能都有相关性； (b) 男性基线社会支持受女性基线家庭功能影响; (c) 男性和女性的社会支持变化分数对他们自身的家庭功能变化分数有积极影响。 		The results showed that the relationship between the social support and family functioning reported by the participants was: (a) social support and both male and female baseline family functioning; (b) male baseline social support was affected by the female baseline family functioning; and (c) male and female social support change scores had a positive impact on their own family function change scores.	volctrans_base				5673363
9	doc53	但是社会支持并不是家庭功能变化的重要调节因素。 		But social support is not an important regulator of changes in family functioning.	volctrans_base				5673363
10	doc53	关系教育如何实施和相关研究在研究启示部分有所讨论。 		How relational education is implemented and related research is discussed in the Research Revelations section.	volctrans_base				5673363
1	doc54	信号通路中风险基因的构成可能可以解释酒精依赖风险基因协同的神经生物学作用。 		The formation of risk genes in the signaling pathway may explain the neurobiological role of alcohol-dependent risk genes.	volctrans_base				5673363
2	doc54	识别酒精依赖的风险基因和风险基因通路。 		Identify risk genes and risk gene pathways for alcohol dependence.	volctrans_base				5673363
3	doc54	我们采用基因富集 (gene-set-rich) 分析方法对酒精依赖进行了基于通路的全基因组关联分析 (GWAS)。 		We performed pathway-based genome-wide association analysis (GWAS) for alcohol dependence using gene-set-rich analysis.	volctrans_base				5673363
4	doc54	在包括1409名欧裔美国人(European-American，EA)酒精依赖者和1518 名EA健康对照者的探索性样本人群中检测了近一百万个基因标志物。 		Nearly one million genetic markers were detected in an exploratory sample population of 1,409 European-American (EA) alcohol dependents and 1,518 EA healthy controls.	volctrans_base				5673363
5	doc54	此外，将681名非裔美国人 (African-American, AA) 病例和508名AA健康受试者作为重测样本。 		In addition, 681 African-American (AA) cases and 508 AA healthy subjects were included as retest samples.	volctrans_base				5673363
6	doc54	我们发现了几个与酒精依赖显著相关的可重复的全基因组风险基因和风险通路。 		We found several repeatable genome-wide risk genes and risk pathways that were significantly associated with alcohol dependence.	volctrans_base				5673363
7	doc54	在多重比较Bonferroni校正后，“细胞- 细胞外基质相互作用”通路(EA样本中 一些基因和生物信号传导过程可能与酒精依赖的风险相关，本研究的发现为此提供了新的证据。 		The findings of this study provide new evidence that some genetic and biological signaling processes in EA samples may be associated with the risk of alcohol dependence after Bonferroni correction for multiple comparisons.	volctrans_base				5673363
1	doc55	含利妥昔单抗化疗方案治疗弥漫大B细胞淋巴瘤致急性肺损伤患者26例临床分析. 通过总结分析弥漫大B细胞淋巴瘤（DLBCL）患者应用含利妥昔单抗化疗方案后出现急性肺损伤的临床特点、治疗及预后，提高对该病的认识并指导临床治疗。 	含利妥昔单抗化疗方案治疗弥漫大B细胞淋巴瘤致急性肺损伤患者26例临床分析. <tag>通过总结分析弥漫大B细胞淋巴瘤（DLBCL）患者应用含利妥昔单抗化疗方案后出现急性肺损伤的临床特点、治疗及预后，提高对该病的认识并指导临床治疗。</tag>	Clinical analysis of 26 patients with acute lung injury caused by diffuse large B-cell lymphoma treated with rituximab-containing chemotherapy regimen.	volctrans_base		Accuracy - Omission	Critical	5673363
