SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc51	过渡到为人父母的时期是新任父母们面临的最紧张的调适期之一，无论是与个体自我的关系还是与他者的关系。 	过渡到为人父母的时期是新任父母们面临的最紧张的调适期之一，<tag>无论是与个体自我的关系还是与他者的关系。</tag>	The transition to parenthood is one of the most stressful periods for new parents.	volctrans_nnmt		Accuracy - Omission	Critical	5673363
1	doc51	过渡到为人父母的时期是新任父母们面临的最紧张的调适期之一，无论是与个体自我的关系还是与他者的关系。 	过渡到为人父母的时期是新任父母们面临的最紧张的<tag>调适</tag>期之一，无论是与个体自我的关系还是与他者的关系。 	The transition to parenthood is one of the most stressful periods for new parents.	volctrans_nnmt		Accuracy - Omission	Major	5673363
2	doc51	针对这种过渡时期的代际关系之间的双向关联的研究非常有限，而且相互关系的复杂性也会根据生活居住情境的不同而变化。 		The study of the bidirectional associations between the intergenerational relationships in this transition period is very limited, and the complexity of the interrelationships varies according to the living situation.	volctrans_nnmt				5673363
3	doc51	本研究旨在探索（1）过渡为家长期间，夫妻婚姻关系和与对方父母的冲突两者之间的双向关联性，以及（2）和父亲同住对上述关系的调适影响作用。 		This study aimed to explore (1) the bidirectional association between marital marriage and conflict with the parent during the transition period, and (2) the adaptive effect of cohabiting with the father on the relationship.	volctrans_nnmt				5673363
4	doc51	本文的研究对象是359名已婚母亲，采用了三波前瞻性长期性研究设计。 		A three-wave prospective, long-term study was designed for 359 married mothers.	volctrans_nnmt	A <tag>three-wave prospective</tag>, long-term study was designed for 359 married mothers.	Accuracy - Mistranslation	Critical	5673363
5	doc51	使用二元调整量表和斯特赖克调整清单量表来评估婚姻关系以及与对方父母的冲突关系。 		The Bivariate Adjustment Scale and the Stryker Adjustment Checklist were used to assess marital relationships and conflicts with parents.	volctrans_nnmt				5673363
6	doc51	研究相互关系时使用的是交叉时滞平面分析，确定这些关系是否随着生活情境的不同而呈现出不同的模式时使用的是多群组分析。 		The cross-time plane analysis was used to study the interrelationships, to determine whether these relationships differ according to the pattern of living situations.	volctrans_nnmt				5673363
7	doc51	两个交叉－时滞模型表明，在怀孕中期至后期，婚内问题和与对方父母的冲突之间存在着双向关系。 		Two crossover-time models indicate a bidirectional relationship between marital problems and conflict with the other parent during the second to third trimester.	volctrans_nnmt				5673363
8	doc51	同时，多群组分析表明，在妊娠期间与父母同住的受试组中，与对方父母的冲突会引发婚内问题；而不与父母同住的受试组中，在怀孕后期到产后期，与对方父亲之间的关系冲突可能强化婚姻问题。 		At the same time, the multi-group analysis showed that the conflict between parents during pregnancy and parents in the cohabiting group leads to marital problems; instead of cohabiting parents in the cohabiting group, the relationship between the late pregnancy and the postpartum period and the other parent may intensify the marriage problem.	volctrans_nnmt				5673363
9	doc51	这些研究发现揭示了代际冲突的交叉时滞关联性。 		These findings shed light on the cross-temporal associations of intergenerational conflicts.	volctrans_nnmt				5673363
10	doc51	医疗保健专业人员有必要确保在过渡为父母的过程中，代际关系是积极有利的。 		Healthcare professionals need to ensure that intergenerational relationships are positive during the transition to parenthood.	volctrans_nnmt				5673363
11	doc51	本研究丰富了我们对于和父亲同住这个因素对婚姻关系的作用的认知，并能指导基于特定文化的多维度干预方式的未来发展。 		This study enriches our understanding of the role of parental cohabitation in marriage and can guide the future development of multi-dimensional interventions based on specific cultures.	volctrans_nnmt				5673363
1	doc52	线性回归模型被广泛应用于精神卫生和卫生服 务相关研究。 		Linear regression models are widely used in mental health and health services research.	volctrans_nnmt				5673363
2	doc52	然而，经典线性回归分析是假设该数据 为正态分布的，但是很多研究所获得的数据并不符合 这种假设。 		However, the classic linear regression analysis assumes that the data are normally distributed, but many studies do not meet this assumption.	volctrans_nnmt				5673363
