SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc100	Neben der eigentlichen definitiven Therapie einer akuten Blutung (z. B. durch endoskopische/operative Blutstillung oder Angiografie mit Coiling) kommt in der Akut- und Intensivmedizin der Optimierung der Blutgerinnung eine Schlüsselrolle zu.		In addition to the actual definitive treatment of acute bleeding (e.g. through endoscopic/surgical hemostasis or angiography with coiling), optimizing blood coagulation plays a key role in acute and intensive care medicine.					5630676
2	doc100	Dazu ist die Kenntnis der gängigen Gerinnungstests und ihrer Schwächen ebenso notwendig wie die korrekte Anwendung und Dosierung von Gerinnungsprodukten.		For this purpose, knowledge of the common coagulation tests and their weaknesses is just as necessary as the correct application and dosage of coagulation products.					5630676
3	doc100	Das Gerinnungsmanagement kann insbesondere bei Patienten mit Leberzirrhose, angeborenen und erworbenen Gerinnungsstörungen sowie bei Patienten unter Antikoagulation herausfordernd sein.		Coagulation management can be particularly challenging in patients with liver cirrhosis, congenital and acquired coagulation disorders, and patients on anticoagulation.					5630676
4	doc100	Dieses Review beleuchtet die wichtigsten Elemente der Gerinnungsdiagnostik und -therapie in der gastroenterologischen Intensiv- und Notfallmedizin inklusive neuer Antidote und erweiterter Gerinnungsdiagnostik bei Patienten mit Leberzirrhose, wie z.		This review highlights the most important elements of coagulation diagnostics and therapy in gastroenterological intensive care and emergency medicine, including new antidotes and extended coagulation diagnostics in patients with liver cirrhosis, e.g.					5630676
5	doc100	B. die Thrombelastometrie.		For example the thromboelastometry.					5630676
1	doc12	LABORCHEMISCHE GERINNUNGSAUFFäLLIGKEITEN BEI COVID-19: COVID-19-Patienten weisen häufig stark erhöhte D-Dimer-Werte auf.		LABORATORY CHEMICAL CLOTTING REACTIONS IN COVID-19: COVID-19 patients often exhibit greatly increased D-dimer values.					5630676
2	doc12	Die Höhe und der Verlauf scheinen mit dem Krankheitsverlauf und der Prognose zu korrelieren.		The level and progression appear to correlate with the progression of the disease and the prognosis.					5630676
3	doc12	Bei signifikanter Erhöhung sollte eine medikamentöse Thromboseprophylaxe erwogen werden.		If there is a significant increase, medical thromboprophylaxis should be considered.					5630676
4	doc12	Der Verlauf der Prothrombinfragmente F1 + F2 scheint ebenfalls mit dem klinischen Verlauf zu korrelieren und könnte bei Verfügbarkeit zur Verlaufsbeurteilung der Gerinnungsaktivierung mit herangezogen werden.		The progression of the prothrombin fragments F1 + F2 also seems to correlate with the clinical progression and could be used for the progression assessment of clotting activation if available.					5630676
5	doc12	Thrombozytopenien bei COVID-19-Erkrankten sind häufig, sollten jedoch mittels weiterführender Diagnostik auf Differenzialdiagnosen geprüft werden.		Thrombocytopenia in COVID-19 patients is common but should be assessed for differential diagnosis by continued diagnosis.					5630676
6	doc12	RISIKO THROMBOEMBOLISCHER KOMPLIKATIONEN BEI COVID-19: COVID-19-Erkrankte haben ein deutlich erhöhtes Risiko für venöse und arterielle thromboembolische Ereignisse, und insbesondere intensivmedizinisch betreute Patienten bedürfen einer engmaschigen Kontrolle.		RISK OF THROMBOEMBOLIC COMPLICATIONS IN COVID-19: COVID-19 patients have a significantly increased risk of venous and arterial thromboembolic events, and intensive care patients in particular require close monitoring.					5630676
