SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	Geriatric rehabilitation care serves to maintain the self-determined participation of elderly people.		Geriatrische Rehabilitationspflege dient der Erhaltung der selbstbestimmten Teilhabe älterer Menschen.					5134414
2	doc1	It contributes to reduce dependency on care, which is one of society's major challenges.		Sie trägt dazu bei, die Abhängigkeit von der Pflege zu verringern, die eine der größten Herausforderungen der Gesellschaft darstellt.		Sie trägt dazu bei, die Abhängigkeit von der Pflege zu verringern, die eine der größten Herausforderungen <tag>der</tag> Gesellschaft darstellt.	Linguistic Conventions - Grammar	Minor	5134414
3	doc1	The focus of its work lies on elderly patients, mostly with multiple impairments and limited reserves.		Der Schwerpunkt der Arbeit liegt auf älteren Patienten, meist mit verschiedenen Beeinträchtigungen und eingeschränkten Mitteln.		Der Schwerpunkt der Arbeit liegt auf älteren Patienten, meist mit verschiedenen Beeinträchtigungen und eingeschränkten <tag>Mitteln</tag>.	Terminology - Wrong term	Minor	5134414
4	doc1	These people consequently face a high risk of developing further activity limitations and participation restrictions in the context of any acute illness.		Diese Personen sind daher im Rahmen einer akuten Erkrankung einem hohen Risiko ausgesetzt, weitere Aktivitätseinschränkungen und Teilhabebeschränkungen zu entwickeln.		Diese Personen sind daher im Rahmen einer akuten Erkrankung einem hohen Risiko ausgesetzt, weitere <tag>Aktivitätseinschränkungen und Teilhabebeschränkungen</tag> zu entwickeln.	Style - Non-fluent	Minor	5134414
5	doc1	This justifies the large proportion of early rehabilitation already in hospital, which forms an essential part of geriatric rehabilitation care in Germany.		Dies rechtfertigt den hohen Anteil der bereits im Krankenhaus stattfindenden Frührehabilitation, die einen wesentlichen Teil der geriatrischen Rehabilitationspflege in Deutschland ausmacht.		Dies rechtfertigt den <tag>hohen</tag> Anteil der bereits im Krankenhaus stattfindenden Frührehabilitation, die einen wesentlichen Teil der geriatrischen Rehabilitationspflege in Deutschland ausmacht.	Terminology - Wrong term	Neutral	5134414
6	doc1	Its goal is to reduce or prevent any associated setbacks regarding independent living as soon and as far as possible.		Ihr Ziel ist es, damit verbundene Rückschläge im Hinblick auf ein selbstständiges Leben so schnell und so weit wie möglich zu reduzieren oder zu verhindern.		Ihr Ziel ist es, <tag>damit</tag> verbundene Rückschläge im Hinblick auf ein selbstständiges Leben so schnell und so weit wie möglich zu reduzieren oder zu verhindern.	Other	Minor	5134414
7	doc1	However, early rehabilitation cannot replace a potentially necessary further medical rehabilitation - particularly under the conditions of lump-sum compensation in the context of the DRG system.		Die Frührehabilitation kann jedoch – insbesondere unter den Voraussetzungen der pauschalierten Entschädigung im Rahmen des DRG-Systems – eine ggf. notwendige weiterführende medizinische Rehabilitation nicht ersetzen.		Die Frührehabilitation kann jedoch – insbesondere unter den Voraussetzungen der pauschalierten Entschädigung im Rahmen des DRG-Systems – eine ggf. <tag>notwendige weiterführende</tag> medizinische Rehabilitation nicht ersetzen.	Linguistic Conventions - Punctuation	Minor	5134414
8	doc1	But institutions for further medical rehabilitation exist only in some of the federal states in Germany.		Einrichtungen zur weiteren medizinischen Rehabilitation existieren jedoch nur in einigen Bundesländern in Deutschland.					5134414
9	doc1	In addition, geriatric rehabilitation services are largely provided in inpatient settings in Germany.		Zudem werden in Deutschland die geriatrischen Rehabilitationsleistungen weitgehend stationär erbracht.					5134414
10	doc1	This system to date only rarely takes advantage of the benefits of other forms of rehabilitation.		Dieses System nutzt bisher nur selten die Vorteile anderer Rehabilitationsformen.					5134414
