SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc10	Primary health care provides the framework for delivering the socially-informed, comprehensive and patient-centred care underlying robust health-care systems and is, therefore, central to achieving universal health coverage.		La atención sanitaria primaria proporciona el marco para la prestación de atención socialmente informada, integral y centrada en el paciente que subyace a los sólidos sistemas de atención sanitaria y, por lo tanto, es fundamental para lograr una cobertura sanitaria universal.					5505645
2	doc10	Family physicians are best placed to embody primary health care's dual focus on community and population health because they are often employed in rural or district hospitals with limited human resources, particularly a lack of specialists.		Los médicos de cabecera están en mejores condiciones para encarnar el doble enfoque de la atención sanitaria primaria en la salud de las comunidades y la población, porque a menudo trabajan en hospitales rurales o de distrito con recursos humanos limitados, en concreto con falta de especialistas.		Los médicos de cabecera están en mejores condiciones para <tag>encarnar</tag> el doble enfoque de la atención sanitaria primaria en la salud de las comunidades y la población, porque a menudo trabajan en hospitales rurales o de distrito con recursos humanos limitados, en concreto con falta de especialistas.	Style - Non-fluent	Neutral	5505645
2	doc10	Family physicians are best placed to embody primary health care's dual focus on community and population health because they are often employed in rural or district hospitals with limited human resources, particularly a lack of specialists.		Los médicos de cabecera están en mejores condiciones para encarnar el doble enfoque de la atención sanitaria primaria en la salud de las comunidades y la población, porque a menudo trabajan en hospitales rurales o de distrito con recursos humanos limitados, en concreto con falta de especialistas.		Los médicos de <tag>cabecera</tag> están en mejores condiciones para encarnar el doble enfoque de la atención sanitaria primaria en la salud de las comunidades y la población, porque a menudo trabajan en hospitales rurales o de distrito con recursos humanos limitados, en concreto con falta de especialistas.	Terminology - Wrong term	Neutral	5505645
3	doc10	Here we want to illustrate how additional training for family physicians, the key clinicians in primary care, can play a critical role in reducing disparities in access to surgical, obstetric and anaesthesia care in low- and middle-income countries and in rural or remote settings.		A continuación, queremos ilustrar cómo la formación adicional para médicos de cabecera, los profesionales sanitarios clave en la atención primaria, puede desempeñar un papel fundamental en la reducción de las disparidades en el acceso a la atención quirúrgica, obstétrica y anestésica en países de bajos y medianos ingresos y en entornos rurales o remotos.					5505645
4	doc10	Examples are given of how training programmes can be developed in low-resource settings to equip family physicians with life-saving surgical skills and of how family physicians in high-income countries can be trained in the surgical skills essential for working overseas in low-income settings.		Además, se proporcionan ejemplos de cómo se pueden desarrollar programas formativos en entornos de bajos recursos para que los médicos de cabecera desarrollen habilidades quirúrgicas que pueden salvar vidas y de cómo se puede formar a los médicos de cabecera en países de altos ingresos en las habilidades quirúrgicas esenciales para trabajar en el extranjero en entornos de bajos ingresos.					5505645
5	doc10	Policy-makers should promote surgical practice among family physicians by supporting family medicine programmes that include additional surgical skills training and by expanding opportunities and incentives for family physicians to serve in rural areas.		Los legisladores deben promover la práctica quirúrgica entre los médicos de cabecera fomentando programas de medicina familiar que incluyan formación adicional en habilidades quirúrgicas y ampliando las oportunidades y los incentivos para que los médicos de familia presten servicios en áreas rurales.					5505645
6	doc10	Moreover, national surgical plans should include a primary health care strategy for surgical care and, globally, family physicians should be considered in discussions of surgical care.		Además, los planes quirúrgicos nacionales deben incluir una estrategia de atención sanitaria primaria para la atención quirúrgica y, globalmente, los médicos de cabecera deben tenerse en cuenta en las discusiones sobre la atención quirúrgica.					5505645
7	doc10	Finally, surgeons, anaesthesiologists, obstetricians and family physicians should be encouraged to collaborate in ensuring that all patients, regardless of place of residence, receive safe and timely surgical care.		Por último, se debe alentar a los cirujanos, anestesiólogos, obstetras y médicos de cabecera a colaborar para garantizar que todos los pacientes, independientemente de su lugar de residencia, reciban atención quirúrgica segura y oportuna.					5505645
1	doc100	To analyze notifications of flu-like syndrome according to the time interval between onset of symptoms and testing for COVID-19.		Analizar las notificaciones de síndrome similar a la gripe de acuerdo con el intervalo de tiempo entre el inicio de los síntomas y la prueba de COVID-19.					5505645
2	doc100	This was a cross-sectional study using records of flu-like syndrome cases containing results of COVID-19 diagnostic tests in the Brazilian state capitals and Federal District, held on the e-SUS Notifica system, from March 1st, 2020 to August 18th, 2020.		Este fue un estudio transversal que utilizó registros de casos de síndrome similar a la gripe que contenían resultados de las pruebas de diagnóstico de COVID-19 en las capitales de los Estados brasileños y el Distrito Federal, realizado en el sistema e-SUS Notifica, del 1 de marzo de 2020 al 18 de agosto de 2020.					5505645
