SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc48	The ways families approach eating, shape, and weight can result in stress for individual family members and challenge the overall functioning of the family.		La forma en que las familias abordan la alimentación, la figura y el peso puede provocar estrés en cada uno de sus miembros y poner en peligro el funcionamiento general de la familia.					5505645
2	doc48	This is further complicated among families with a parent who has history of obesity or undergone weight loss surgery (WLS).		Esto se complica aún más entre las familias con un padre que tiene antecedentes de obesidad o se sometió a una cirugía de pérdida de peso (WLS, por sus siglas en inglés).					5505645
3	doc48	Although WLS can positively impact other family members, it can also exacerbate conflicts regarding feeding and weight.		Si bien el WSL puede impactar positivamente a otros miembros de la familia, también llega a exacerbar los conflictos en cuanto a alimentación y peso.		Si bien el <tag>WSL</tag> puede impactar positivamente a otros miembros de la familia, también llega a exacerbar los conflictos en cuanto a alimentación y peso.	Terminology - Inconsistent use of terminology	Neutral	5505645
4	doc48	Such conflicts can involve uncertainty regarding the extent to which the entire family should make the dietary changes recommended for the post-WLS parent.		Tales conflictos pueden implicar incertidumbre con respecto a la medida en que toda la familia debe hacer los cambios en la dieta recomendados para el padre después de una WLS.					5505645
5	doc48	Conflict might also center on the appropriate level of concern regarding the children's risk of developing (or maintaining) obesity.		El conflicto también podría centrarse en el nivel adecuado de preocupación por el riesgo de que los niños desarrollen (o mantengan) la obesidad.					5505645
6	doc48	This paper uses two case examples to describe the application of a specialized, time-limited intervention: Parent-Based Prevention following Bariatric Surgery (PBP-B).		Este documento utiliza dos ejemplos de casos para describir la aplicación de una intervención especializada y limitada en el tiempo: Prevención basada en los padres después de la cirugía bariátrica (PBP-B).					5505645
7	doc48	The program was developed to address the unique challenges and concerns that arise after, or are exacerbated by, WLS.		El programa se desarrolló para abordar los desafíos y preocupaciones únicos que surgen después de WLS o que se ven exacerbados por WLS.					5505645
8	doc48	Each detailed case example illustrates a common child-feeding challenge and the employment of key PBP-B strategies throughout the course of treatment.		Cada ejemplo de caso detallado ilustra un problema común de alimentación infantil y el empleo de estrategias clave de PBP-B a lo largo del tratamiento.					5505645
9	doc48	In the first case, the parent who had undergone WLS believed the family's current eating behaviors were the same as those that had led to her own overeating, obesity, and co-occurring psychiatric symptoms, while her husband disagreed.		En el primer caso, la madre que se había sometido a WLS creía que los comportamientos alimenticios actuales de la familia eran los mismos que los que la habían llevado a comer en exceso, obesidad y síntomas psiquiátricos concurrentes, mientras que su esposo no estaba de acuerdo.		En el primer caso, <tag>la madre</tag> que se había sometido a WLS creía que los comportamientos alimenticios actuales de la familia eran los mismos que los que la habían llevado a comer en exceso, obesidad y síntomas psiquiátricos concurrentes, mientras que su esposo no estaba de acuerdo.	Terminology - Inconsistent use of terminology	Minor	5505645
9	doc48	In the first case, the parent who had undergone WLS believed the family's current eating behaviors were the same as those that had led to her own overeating, obesity, and co-occurring psychiatric symptoms, while her husband disagreed.		En el primer caso, la madre que se había sometido a WLS creía que los comportamientos alimenticios actuales de la familia eran los mismos que los que la habían llevado a comer en exceso, obesidad y síntomas psiquiátricos concurrentes, mientras que su esposo no estaba de acuerdo.		En el primer caso, la madre que se había sometido a WLS creía que los comportamientos alimenticios actuales de la familia eran los mismos que los que <tag>la</tag> habían llevado a comer en exceso, obesidad y síntomas psiquiátricos concurrentes, mientras que su esposo no estaba de acuerdo.	Terminology - Inconsistent use of terminology	Neutral	5505645
