SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	A study of Parkinson´s Disease’s clinical biomarkers from an epidemiological view		Parkinson gaixotasunaren biomarkatzaile klinikoen ikerketa, ikuspegi epidemiologikotik					5402609
2	doc1	Parkinson’s Disease (PD) is a movement-related neurodegenerative disorder.		Parkinson gaixotasuna (PG) mugimenduarekin lotutako nahasmendu neurodegeneratiboa da.					5684518
3	doc1	The overall prevalence of PD in the total population is around 0,1-0,3% and its etiology is hitherto unknown.		PGak biztanleria osoan duen prebalentzia orokorra % 0,1-0,3 ingurukoa da, eta haren etiologia ezezaguna da oraindik.					5684518
4	doc1	Even if the disease has classically been defined as a pure motor movement disorder, non-motor symptoms (NMS), such as disautonomic, sensorial, emotional and sleeping disturbances, are also frequent in the earliest stages of the disease.		Gaixotasuna mugimenduaren nahasmendu motor huts gisa definitu izan den arren, sintoma ez-motorrak (NMS), hala nola alterazio disautonomikoak, sentsorialak, emozionalak eta loarekin lotutakoak, ohikoak dira gaixotasunaren fase goiztiarrenetan ere.					5639851
5	doc1	Due to their early presentation, these NMS may serve as useful clinical biomarkers.		Goiz agertzen direnez, baliteke NMS horiek biomarkatzaile kliniko erabilgarriak izatea.		Goiz agertzen direnez, baliteke <tag>NMS</tag> horiek biomarkatzaile kliniko erabilgarriak izatea.	Accuracy - Untranslated	Major	5684518
6	doc1	Genetic forms are responsible of 15% of PD cases. Missense mutations in LRRK2 were first identified as a cause of PD in 2004 and nowadays are known to be the main factor in contributing to the genetic development of PD.		Forma genetikoak PGaren kasuen % 15 dira. 2004an, LRRK2 genearen zentzu-aldaketazko mutazioak PGaren kausa zirela hauteman zen lehen aldiz, eta gaur egun PGaren garapen genetikoaren faktore nagusia haiek direla dakigu.					5684518
7	doc1	One of these mutations seemed to be especially frequent in population of Basque ascent.		Bazirudien mutazio horietako bat bereziki ohikoa zela euskal jatorriko biztanlerian.		<tag>Bazirudien</tag> mutazio horietako bat bereziki ohikoa zela euskal jatorriko biztanlerian.	Style - Non-fluent	Minor	5684518
8	doc1	With the aim of assessing the disease prevalence in the area, an epidemiological study was conducted in 2009 within the communities of Azkoitia and Azpeitia.		Gaixotasunak eskualdean zeukan prebalentzia aztertzeko, 2009an ikerketa epidemiologiko bat egin zen Azkoitia eta Azpeitiako komunitateetan.		Gaixotasunak eskualdean zeukan prebalentzia aztertzeko, 2009an ikerketa epidemiologiko bat egin zen Azkoitia eta Azpeitiako <tag>komunitateetan</tag>.	Style - Non-fluent	Minor	5684518
9	doc1	Not only was the prevalence studied but also the appearance of NMS as possible biomarkers of PD was analyzed.		Prebalentzia ez ezik, NMSen agerpena ere aztertu zen PGaren biomarkatzaile posible gisa.		Prebalentzia ez ezik, <tag>NMSen</tag> agerpena ere aztertu zen PGaren biomarkatzaile posible gisa.	Accuracy - Untranslated	Major	5684518
10	doc1	Based on this, we thought that it would be interesting to study the same population sample that was previously analyzed in 2009, 10 years after. The purpose was to determine the relevance of age, NMS and environmental factors on PD development.		Horretan oinarrituta, interesgarria iruditu zitzaigun 2009an aztertu zen biztanleria-lagin bera ikertzea, 10 urte beranduago. Helburua adinak, NMSek eta inguruneko faktoreek PGaren garapenean daukaten garrantzia zehaztea zen.		Horretan oinarrituta, interesgarria iruditu zitzaigun 2009an aztertu zen biztanleria-lagin bera ikertzea, 10 urte beranduago. Helburua adinak, <tag>NMSek</tag> eta inguruneko faktoreek PGaren garapenean daukaten garrantzia zehaztea zen.	Accuracy - Untranslated	Major	5684518
11	doc1	In this study, which has been a Final Degree Project in Medicine, it has been possible to collect information from 173 of the 232 people who participated in 2009.		Medikuntzako Gradu Amaierako Lana izan den ikerketa honetan, 2009an parte hartu zuten 232 pertsonetako 173ren informazioa bildu ahal izan da.					5684518
12	doc1	According to the results, there was an increment of PD along with the increase of the sample’s average age.		Emaitzen arabera, PGak gora egin du laginaren batez besteko adinaren igoerarekin batera.					5684518
13	doc1	Besides, the REM sleep behaviour disorder appears to be the most significant clinical biomarker of PD as well as the most meaningful risk factor to develop PD in the near future.		Horretaz aparte, badirudi REM loaren portaera-nahasmendua PGaren biomarkatzaile kliniko garrantzitsuena dela, baita etorkizun hurbilean PGa garatzeko arrisku-faktore esanguratsuena ere.					5684518
14	doc1	All these outcomes need to be treated with some caution due to the reduced size of the sample analyzed.		Emaitza horiek guztiak kontu handiz hartu behar dira, aztertutako laginaren tamaina txikia dela eta.					5684518
1	doc2	Activation of specialized care in Basque in the Integrated Health Organization Barrualde-Galdakao from Osakidetza		Euskarazko arreta espezializatuaren aktibazioa Osakidetzako Barrualde-Galdakaoko Erakunde Sanitario Integratuan					5684518
