SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	The case report describes an atrial dissociation in a 9-year-old male boxer diagnosed by ECG and echocardiography.		Il caso clinico descrive una dissociazione atriale in un pugile maschio di 9 anni diagnosticata mediante ECG ed ecocardiografia.					5339628
2	doc1	Torticollis, severe neck pain and auscultatory arrhythmia were found during the clinical examination.		Durante l'esame clinico sono stati riscontrati torcicollo, forti dolori al collo e aritmia auscultatoria.					5339628
3	doc1	In addition, a mass was found in the left tympanic bulla and histologically a carcinoma of the middle ear was diagnosed.		Inoltre, è stata rilevata una massa nella bolla timpanica sinistra e istologicamente è stato diagnosticato un carcinoma dell'orecchio medio.					5339628
1	doc13	Patients presenting with nystagmus indicative of benign paroxysmal positional vertigo (BPPV) during the left and the right Dix-Hallpike manoeuvres (DHMs) are frequently seen in clinical practice.		I pazienti che presentano nistagmo indicativo di vertigine posizionale parossistica benigna (BPPV) durante le manovre di Dix-Hallpike (DHM) sinistra e destra si osservano frequentemente nella pratica clinica.					5339628
2	doc13	In such cases, BPPV may be unilateral or bilateral.		In questi casi, la BPPV può essere unilaterale o bilaterale.					5339628
3	doc13	The aim of this study is to describe the incidence of unilateral and bilateral BPPV when both DHMs are positive, taking into account the sense of the torsional component of nystagmus.		Lo scopo di questo studio è quello di descrivere l'incidenza di BPPV unilaterale e bilaterale quando entrambi i DHM sono positivi, tenendo conto della direzione della componente torsionale del nistagmo.		Lo scopo di questo studio è quello di descrivere l'incidenza di BPPV unilaterale e bilaterale quando entrambi i DHM sono positivi, tenendo conto della <tag>direzione</tag> della componente torsionale del nistagmo.	Style - Non-fluent	Neutral	5339628
4	doc13	This is a prospective multicentre study.		Si tratta di uno studio prospettico multicentrico.					5339628
5	doc13	BPPV patients were classified into three groups: patients with only one positive DHM (control group, CG), patients showing positive bilateral DHM with nystagmus in the same sense in both DHMs (same sense group, SSG) and patients showing positive bilateral DHM with the torsional component of nystagmus beating in opposite senses in each DHM (opposite sense group, OSG).		I pazienti con BPPV sono stati suddivisi in tre gruppi: pazienti con un solo DHM positivo (gruppo di controllo, CG), pazienti che mostrano DHM bilaterale positivo con nistagmo nella stessa direzione sia in DHM (gruppo di stessa direzione, SSG) e pazienti che mostravano DHM bilaterale positivo con la componente torsionale del nistagmo che batteva in direzioni opposte in ciascun DHM (gruppo di direzione opposta, OSG).					5339628
6	doc13	Only one Epley Manoeuvre (EM) was performed on all patients.		Su tutti i pazienti è stata eseguita una sola manovra di Epley (EM).					5339628
7	doc13	Based on the ipsilateral result of the EM, the contralateral result of the same EM and the BPPV resolution rate in the control group, a model was developed to predict the incidence of unilateral and bilateral BPPV in the SSG and the OSG.		Sulla base del risultato ipsilaterale e controlaterale della stessa EM e del tasso di risoluzione del BPPV nel gruppo di controllo, è stato sviluppato un modello di previsione dell'incidenza di BPPV unilaterale e bilaterale nell'SSG e nell'OSG.					5339628
8	doc13	There were 234 patients in the control group, 20 in the SSG and 23 in the OSG.		Erano presenti 234 pazienti nel gruppo di controllo, 20 nel SSG e 23 nel OSG.					5339628
9	doc13	The model estimated that the percentage of unilateral BPPV would be 89.5% in SSG and 38.7% in OSG.		Il modello ha stimato che la percentuale di BPPV unilaterale sarebbe stata dell'89,5% in SSG e del 38,7% in OSG.					5339628
10	doc13	Using these findings, we conclude that when both DHMs are positive, BPPV may be unilateral or bilateral.		Utilizzando questi risultati, concludiamo che quando entrambi i DHM sono positivi, la BPPV può essere unilaterale o bilaterale.					5339628
11	doc13	If the torsional components of both nystagmuses beat in the same sense, it is more likely to be unilateral BPPV.		Se le componenti torsionali di entrambi i nistagmi battono nello stesso senso, è più probabile che sia BPPV unilaterale.					5339628
12	doc13	If the torsional components beat in opposite senses, both situations can be considered equally likely.		Se i componenti torsionali battono in direzioni opposte, entrambe i casi possono essere considerati ugualmente probabili.					5339628
1	doc15	To evaluate the effects of ultrasound-guided percutaneous transluminal angioplasty (PTA) on the arteriovenous fistula (AVF) stenosis of hemodialysis graft.		Valutare gli effetti dell'angioplastica transluminale percutanea ecoguidata (PTA) sulla stenosi della fistola arterovenosa (AVF) per l'innesto di emodialisi.		<tag>Valutare</tag> gli effetti dell'angioplastica transluminale percutanea ecoguidata (PTA) sulla stenosi della fistola arterovenosa (AVF) per l'innesto di emodialisi.	Style - Non-fluent	Neutral	5339628
2	doc15	A total of 189 patients with AVF dysfunction who underwent ultrasound-guided PTA were enrolled.		Sono stati arruolati un totale di 189 pazienti con disfunzione AVF sottoposti a PTA ecoguidata.					5339628
3	doc15	Their baseline data were collected.		Sono stati raccolti i loro dati di riferimento.					5339628
4	doc15	The Log-rank test, Kaplan-Meier survival analysis and univariate Cox proportional risk regression analysis were performed to compare the primary and secondary patency rates and to explore the related influencing factors.		Sono stati eseguiti il test Log-rank, l'analisi di sopravvivenza di Kaplan-Meier e l'analisi della regressione di rischio proporzionale di Cox a una variante per confrontare i tassi di pervietà primaria e secondaria ed esplorare i relativi fattori di influenza.					294633
5	doc15	A total of 256 sites of stenosis were found by ultrasonography, including 80 sites in anastomotic segment, 28 in supply artery segment, 60 in drainage vein segment and 88 in proximal segment of the internal fistula vein.		Un totale di 256 siti di stenosi sono stati trovati dall'ecografia, tra cui 80 siti nel segmento anastomotico, 28 nel segmento dell'arteria di alimentazione, 60 nel segmento della vena di drenaggio e 88 nel segmento prossimale alla fistola venosa interna.		Un totale di 256 <tag>siti</tag> di stenosi sono stati trovati dall'ecografia, tra cui 80 siti nel segmento anastomotico, 28 nel segmento dell'arteria di alimentazione, 60 nel segmento della vena di drenaggio e 88 nel segmento prossimale alla fistola venosa interna.	Style - Non-fluent	Minor	5339628
5	doc15	A total of 256 sites of stenosis were found by ultrasonography, including 80 sites in anastomotic segment, 28 in supply artery segment, 60 in drainage vein segment and 88 in proximal segment of the internal fistula vein.		Un totale di 256 siti di stenosi sono stati trovati dall'ecografia, tra cui 80 siti nel segmento anastomotico, 28 nel segmento dell'arteria di alimentazione, 60 nel segmento della vena di drenaggio e 88 nel segmento prossimale alla fistola venosa interna.		Un totale di 256 siti di stenosi sono stati trovati dall'ecografia, tra cui 80 <tag>siti</tag> nel segmento anastomotico, 28 nel segmento dell'arteria di alimentazione, 60 nel segmento della vena di drenaggio e 88 nel segmento prossimale alla fistola venosa interna.	Style - Non-fluent	Minor	5339628
6	doc15	The mean length of stenosis was 22.4 mm, and the mean degree was 93.4%.		La lunghezza media della stenosi era di 22,4 mm e il grado medio del 93,4%.					5339628
7	doc15	The success rate of surgery was 96.09%, with the postoperative residual stenosis of >30% in 3.91% of patients.		Il tasso di successo dell'intervento è stato del 96,09%, con una stenosi residua postoperatoria >30% nel 3,91% dei pazienti.					5339628
8	doc15	The clinical success rate was 97.66% and complications occurred in 2.34% of patients.		Il tasso di successo clinico è stato del 97,66% e alcune complicanze si sono verificate nel 2,34% dei pazienti.					5339628
9	doc15	The mean follow-up time was 30.2 months, and vascular patency was observed in 25.93% of patients.		Il tempo medio di follow up è stato di 30,2 mesi e pervietà vascolare è stata osservata nel 25,93% dei pazienti.					5339628
10	doc15	The primary patency rates in 1st, 2nd and 3rd years after surgery were 84.66%, 60.85% and 21.69%, respectively, and the patients with diabetes (P=0.002) and old age (P<0.001) had lower rates.		I tassi di pervietà primaria a 1, 2 e 3 anni dopo l’intervento chirurgico sono stati rispettivamente 84,66%, 60,85% e 21,69%, e i pazienti con diabete (P=0,002) e anziani (P<0,001) mostravano tassi inferiori.					5339628
