SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	The study aims to evaluate the association between teenage pregnancy and prematurity.		O estudo tem como objetivo avaliar a associação entre gravidez na adolescência e prematuridade.					5175459
2	doc1	The data are from the Birth in Brazil study, a national survey consisting of 23,894 postpartum women and their newborn infants.		Os dados são do estudo Nascer no Brasil, levantamento nacional com 23.894 puérperas e seus recém-nascidos.					5175459
3	doc1	The information was obtained from interviews with the mothers during their postpartum hospital stay.		As informações foram obtidas através de entrevistas com as mães durante o internamento hospitalar pós-parto.					5175459
4	doc1	A matching method was established, based on propensity scores, to deal with differences between the groups due to the non-experimental design of the Birth in Brazil study.		Um método de pareamento foi estabelecido, baseado em escores de propensão, para lidar com as diferenças entre os grupos devido ao desenho não experimental do estudo Nascer no Brasil.		Um método de pareamento foi estabelecido, baseado em escores de propensão, para lidar com as diferenças entre os grupos devido ao desenho não experimental do estudo <tag>Nascer</tag> no Brasil.	Accuracy - Mistranslation	Minor	5477839
5	doc1	The study outcome was gestational age, considering all the premature births (gestational age < 37 weeks) and term births (gestational age 37 weeks to 41 weeks and 6 days).		O resultado do estudo foi a idade gestacional, considerando todos os partos prematuros (idade gestacional < 37 semanas) e a termo (idade gestacional de 37 semanas a 41 semanas e 6 dias).					5175459
6	doc1	The study revealed social, economic, and maternal care disparities between the women according to age bracket.		O estudo revelou disparidades sociais, econômicas e de cuidados maternos entre as mulheres, de acordo com a faixa etária.					5175459
7	doc1	The highest proportions of teenage mothers were in the least developed regions of Brazil (North and Northeast) and in the poorest economic classes.		As maiores proporções de mães adolescentes ocorreram nas regiões menos desenvolvidas do Brasil (Norte e Nordeste) e nas classes econômicas mais pobres.					5175459
8	doc1	After matching for socioeconomic and obstetric care characteristics, the highest odds of spontaneous prematurity were seen in younger adolescents compared to older adolescents (OR = 1.49; 95%CI: 1.07-2.06), and young adults (OR = 2.38; 95%CI: 1.82-3.12).		Depois do pareamento quanto às características socioeconômicas e de cuidados obstétricos, a maior probabilidade de prematuridade espontânea foi observada em adolescentes mais jovens em comparação com adolescentes mais velhas (OR = 1,49; IC95%: 1,07–2,06) e adultas jovens (OR = 2,38; IC95%: 1,82–3,12).					5175459
9	doc1	Prematurity is still an issue in the field of maternal and child health, and the association with teenage pregnancy identified in this study is worrisome, especially because younger adolescent mothers were associated with higher odds of spontaneous prematurity.		A prematuridade ainda é um problema no campo da saúde materno-infantil, e a associação com a gravidez na adolescência identificada neste estudo é preocupante, especialmente porque mães adolescentes mais jovens foram associadas à maior probabilidade de prematuridade espontânea.					5175459
1	doc11	Coyhaique (Southern Chile) is one of the most polluted cities in the Americas due to the burning of firewood.		Coyhaique (sul do Chile) é uma das cidades mais poluídas das Américas devido à queima de lenha.					5175459
2	doc11	In 2016, a mass substitution of residential heating technology was launched to decrease the air concentrations of particulate matter in the winter.		Em 2016, foi lançada uma substituição em massa da tecnologia de aquecimento residencial para diminuir as concentrações de material particulado no ar durante o inverno.					5175459
3	doc11	Based on time series analyses, the article discusses the effect of this measure on PM2.5 levels and hospitalizations for acute respiratory conditions in individuals under 15 years of age.		Com base em análises de séries temporais, o artigo discute o efeito dessa medida nos níveis de PM2,5 e nas hospitalizações por doenças respiratórias agudas em indivíduos com menos de 15 anos de idade.					5175459
1	doc12	To analyze the Coaching Leadership exercised by nursing coordinators in the Mobile Emergency Care Service units, in the coordinators and nursing technicians' perception, in addition to its correlation with three sociodemographic variables.		Analisar a liderança no estilo coaching exercida pelos coordenadores de enfermagem nas unidades de Atendimento Móvel de Emergência, na percepção dos coordenadores e técnicos de enfermagem, além de sua correlação com três variáveis sociodemográficas.					5175459
2	doc12	Descriptive and analytical study carried out on nursing coordinators and nursing technicians from the pre-hospital care units, using the Coaching Leadership questionnaires and the Spearman correlation test to analyze the results.		Estudo descritivo e analítico realizado com coordenadores de enfermagem e técnicos de enfermagem das unidades de atendimento pré-hospitalar, utilizando os questionários de liderança no estilo coaching e o teste de correlação de Spearman para análise dos resultados.					5175459
3	doc12	11 nursing coordinators and 155 nursing technicians participated in the study.		Participaram do estudo 11 coordenadores de enfermagem e 155 técnicos de enfermagem.					5175459
4	doc12	The Coaching Leadership exercise was observed in the perception of two professional categories: "giving and receiving feedback", which was the domain with the highest average for the coordinators (21.45; SD=2.84); and "communication" (20.43; SD=5.57) for technicians.		O exercício de liderança no estilo coaching foi observado na percepção de duas categorias profissionais: "dar e receber feedback", que foi o domínio com média mais alta para os coordenadores (21,45; DP=2,84); e "comunicação" (20,43; DP=5,57) para os técnicos.					5175459
5	doc12	Furthermore, in the coordinators' self-perception of the Coaching Leadership, there was an indirect correlation between the domains "giving and receiving feedback" (Spearman -0.720; p-value 0.012) and "total scale score" (Spearman -0.652 and p-value 0.029) with regard to "training time".		Além disso, na autopercepção dos coordenadores sobre a liderança no estilo coaching, houve uma correlação indireta entre os domínios “dar e receber feedback” (Spearman -0,720; valor p 0,012) e “pontuação total da escala” (Spearman -0,652 e valor p 0,029) em relação ao “tempo de treinamento”.					5175459
6	doc12	The research results indicate significant contributions to nursing practices and denote this competence impact on the pre-hospital care nursing staff, in the work environment, and in the care provided to the patient.		Os resultados da pesquisa indicam contribuições significativas para as práticas de enfermagem e denotam o impacto desta competência na equipe de enfermagem de cuidados pré-hospitalares, no ambiente de trabalho e nos cuidados prestados ao paciente.					5175459
