SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	Numerous studies have shown that loss of smell is a serious symptom that requires careful differential diagnosis.		Многочисленные исследования показали, что потеря обоняния является серьезным симптомом, требующим тщательной дифференциальной диагностики.					5398128
2	doc1	There is convincing evidence that a violation of the sense of smell is not so much a sign of the pathology of the nasal cavity and paranasal sinuses, but it can be a manifestation of neurodegenerative diseases.		Имеются убедительные доказательства того, что нарушение обоняния является не столько признаком патологии полости носа и околоносовых пазух, сколько может быть проявлением нейродегенеративных заболеваний.		Имеются убедительные доказательства того, что нарушение обоняния является не столько признаком патологии полости носа и <tag>околоносовых пазух</tag>, сколько может быть проявлением нейродегенеративных заболеваний.	Terminology - Wrong term	Minor	5398128
3	doc1	Some patients with the identified SARS-CoV-2 virus have neurological symptoms.		У некоторых пациентов с выявленным вирусом SARS-CoV-2 наблюдаются неврологические симптомы.					5398128
4	doc1	Most of them are not specific - headache, dizziness, fatigue, myalgia.		Большинство из них неспецифичны — головная боль, головокружение, усталость, миалгия.					5398128
5	doc1	A small percentage of patients with COVID-19 infection have convulsions, impaired consciousness, and the presence of 2019-NCoV RNA was found in the cerebrospinal fluid.		Небольшой процент пациентов с инфекцией COVID-19 испытывают судороги, нарушение сознания, а в спинномозговой жидкости обнаружено присутствие РНК 2019-NCoV.					5398128
6	doc1	Data on the development of new symptoms of the disease, in the form of anosmia and dysgeusia, are presented.		Приведены данные о развитии новых симптомов заболевания в виде аносмии и дисгевзии.					5398128
1	doc100	The article is devoted to the issues of medical rehabilitation of children with consequences of perinatal affection of the central nervous system (CNS).		Статья посвящена вопросам медицинской реабилитации детей с последствиями перинатального поражения центральной нервной системы (ЦНС).					5398128
2	doc100	An important and principal aspect of the medical rehabilitation of children with perinatal pathology is the minimization of drugs, in this regard, in children in the first year of life, the leading role is given to non-drug methods of exposure.		Важным и принципиальным аспектом медицинской реабилитации детей с перинатальной патологией является минимизация лекарственных препаратов, в связи с этим у детей на первом году жизни ведущая роль отводится немедикаментозным методам воздействия.		Важным и принципиальным аспектом медицинской реабилитации детей с перинатальной патологией <tag>является минимизация лекарственных препаратов</tag>, в связи с этим у детей на первом году жизни ведущая роль отводится немедикаментозным методам воздействия.	Style - Non-fluent	Neutral	5398128
3	doc100	Among the important challenges of the medical rehabilitation of children with perinatal pathology are: improvement of blood supply and metabolic processes in the brain tissue, normalization of the central and peripheral regulation of muscle tone, improvement of neuromuscular conduction, stimulation of psychomotor development.		Важными задачами медицинской реабилитации детей с перинатальной патологией являются: улучшение кровоснабжения и обменных процессов в ткани головного мозга, нормализация центральной и периферической регуляции мышечного тонуса, улучшение нервно-мышечной проводимости, стимуляция психомоторного развития.					5398128
4	doc100	In this case, kinesitherapy technologies are of leading importance: massotherapy, therapeutic exercises, reflex kinesitherapy according to V. Vojta; fitball gymnastics, method of fine finger training, dry floatation, etc. Along with physical rehabilitation methods, physiotherapy methods are actively used, which makes it possible to increase the effectiveness of treatment.		При этом ведущее значение имеют кинезотерапевтические технологии: лечебный массаж, лечебная физкультура, рефлекторная кинезотерапия по В. Войте; гимнастика на фитболе, метод тренировки мелкой моторики рук, сухое плавание и др. Наряду с методами физической реабилитации активно применяются методы физиотерапии, что позволяет повысить эффективность лечения.					5398128
5	doc100	The analysis of the literature showed that the use of modern non-drug technologies in children with perinatal CNS pathology, and their introduction into practice can significantly increase the effectiveness of medical rehabilitation of such children.		Анализ литературы показал, что применение современных немедикаментозных технологий у детей с перинатальной патологией ЦНС и их внедрение в практику позволяет значительно повысить эффективность медицинской реабилитации таких детей.					5398128
1	doc12	To estimate the effect of airline travel restrictions on the risk of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) importation.		Оценить влияние ограничений авиаперевозок на риск ввоза тяжелого коронавируса с острым респираторным синдромом 2 (SARS-CoV-2).					5398128
2	doc12	We extracted passenger volume data for the entire global airline network, as well as the dates of the implementation of travel restrictions and the observation of the first case of coronavirus disease (COVID-19) in each country or territory, from publicly available sources.		Мы получили из общедоступных источников данные об объеме пассажирских перевозок по всей глобальной сети авиакомпаний, а также о датах введения ограничений на поездки и наблюдения первого случая коронавирусной болезни (COVID-19) в каждой стране или территории.					5398128
3	doc12	We calculated effective distance between every airport and the city of Wuhan, China.		Мы рассчитали эффективное расстояние между каждым аэропортом и городом Ухань, Китай.					5398128
4	doc12	We modelled the risk of SARS-CoV-2 importation by estimating survival probability, expressing median time of importation as a function of effective distance.		Мы смоделировали риск передачи SARS-CoV-2, оценив вероятность выживания, выразив среднее время ввоза в виде функции эффективного расстояния.		Мы смоделировали риск передачи SARS-CoV-2, <tag>оценив вероятность выживания, выразив</tag> среднее время ввоза в виде функции эффективного расстояния.	Style - Non-fluent	Minor	5398128
5	doc12	We calculated the relative change in importation risk under three different hypothetical scenarios that all resulted in different passenger volumes.		Мы рассчитали относительное изменение риска ввоза по трем различным гипотетическим сценариям, каждый из которых привел к разным объемам пассажиропотока.					5398128
6	doc12	We identified 28 countries with imported cases of COVID-19 as at 26 February 2020.		По состоянию на 26 февраля 2020 г. мы выявили 28 стран с завозными случаями COVID-19.					5398128
7	doc12	The arrival time of the virus at these countries ranged from 39 to 80 days since identification of the first case in Wuhan.		Время прибытия вируса в эти страны колебалось от 39 до 80 дней с момента выявления первого случая в Ухане.					5398128
8	doc12	Our analysis of relative change in risk indicated that strategies of reducing global passenger volume and imposing travel restrictions at a further 10 hub airports would be equally effective in reducing the risk of importation of SARS-CoV-2; however, this reduction is very limited with a close-to-zero median relative change in risk.		Проведенный нами анализ относительного изменения риска показал, что стратегии сокращения глобального пассажиропотока и введения ограничений на поездки еще в 10 узловых аэропортах будут одинаково эффективны для снижения риска завоза SARS-CoV-2; однако это снижение очень ограничено с близким к нулю средним относительным изменением риска.		Проведенный нами анализ относительного изменения риска показал, что стратегии сокращения глобального пассажиропотока и введения ограничений на поездки еще в 10 узловых аэропортах будут одинаково эффективны для снижения риска завоза SARS-CoV-2; однако это снижение очень <tag>ограничено с близким к нулю</tag> средним относительным изменением риска.	Accuracy - Mistranslation	Minor	5398128
8	doc12	Our analysis of relative change in risk indicated that strategies of reducing global passenger volume and imposing travel restrictions at a further 10 hub airports would be equally effective in reducing the risk of importation of SARS-CoV-2; however, this reduction is very limited with a close-to-zero median relative change in risk.		Проведенный нами анализ относительного изменения риска показал, что стратегии сокращения глобального пассажиропотока и введения ограничений на поездки еще в 10 узловых аэропортах будут одинаково эффективны для снижения риска завоза SARS-CoV-2; однако это снижение очень ограничено с близким к нулю средним относительным изменением риска.		Проведенный нами анализ относительного изменения риска показал, что стратегии сокращения глобального пассажиропотока и введения ограничений на поездки еще в 10 узловых аэропортах будут одинаково эффективны для снижения риска завоза SARS-CoV-2; однако это снижение очень ограничено с близким к нулю <tag>средним</tag> относительным изменением риска.	Accuracy - Mistranslation	Minor	5398128
9	doc12	The hypothetical variations in observed travel restrictions were not sufficient to prevent the global spread of SARS-CoV-2; further research should also consider travel by land and sea.		Гипотетические различия в наблюдаемых ограничениях на поездки оказались недостаточными для предотвращения глобального распространения SARS-CoV-2; в дальнейших исследованиях следует также учесть путешествия по суше и морю.					5398128
10	doc12	Our study highlights the importance of strengthening local capacities for disease monitoring and control.		Наше исследование подчеркивает важность укрепления местного потенциала для мониторинга и контроля болезней.		<tag>Наше исследование подчеркивает</tag> важность укрепления местного потенциала для мониторинга и контроля болезней.	Style - Non-fluent	Neutral	5398128
