SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	To compare the effect of Sheng-Xue-Xiao-Ban Capsule (SXXBC) and indirubin to the peripheral platelets of the Idiopathic thrombocytopenic purpura (ITP) model mouse. 		比较升血小板胶囊 (SXXBC) 和 indirubin 对原发性血小板减少性紫癜 (ITP) 模型小鼠外周血小板的影响。 		比较升血小板胶囊 (SXXBC) 和 <tag>indirubin</tag> 对原发性血小板减少性紫癜 (ITP) 模型小鼠外周血小板的影响。 	Accuracy - Untranslated	Major	215701
2	doc1	The ITP mouse model was established by the method of passive immunization. 		采用被动免疫法建立 ITP 小鼠模型。 					215701
3	doc1	SXXBC and indirubin were used for intervention treatment. 		SXXBC 和 indirubin 被用于进行干预治疗。 		SXXBC 和 <tag>indirubin</tag> 被用于进行干预治疗。 	Accuracy - Untranslated	Major	215701
4	doc1	Then the hemorrhagic phenomena of ITP mice were observed and the numbers of peripheral platelets, hemoglobin and white blood cells, bone marrow megakaryocytes and their classification and coagulation function were detected and compared. 		然后观察 ITP 小鼠的出血现象，检测并比较外周血血小板、血红蛋白和白细胞、骨髓巨核细胞的数量、其分类和凝血功能。 					215701
5	doc1	The improvement rate of hemorrhage in SXXBC group was 40% for small dose, 60% for medium dose and 80% for high dose, while the improvement rate of hemorrhage in indirubin group was 30% for small dose, 50% for medium dose and 60% for high dose. 		SXXBC 组小剂量出血改善率为 40％，中剂量为 60％，高剂量为 80％，而 Indirubin 组小剂量出血改善率为 30％，中剂量为 50％，高剂量为 60％。 		SXXBC 组小剂量出血改善率为 40％，中剂量为 60％，高剂量为 80％，而 <tag>Indirubin</tag> 组小剂量出血改善率为 30％，中剂量为 50％，高剂量为 60％。 	Accuracy - Untranslated	Major	215701
6	doc1	There was no statistically significant difference in the improvement rate of hemorrhage between the two groups (P＞0.05). 		两组出血改善率比较差异无统计学意义（P>0.05）。 		两组出血改善率比较差异无<tag>统计学意义</tag>（P>0.05）。 	Terminology - Wrong term	Major	215701
7	doc1	Compared with the model control group, PLT and Hb increased in different doses of SXXBC and indirubin group 4th-8th day after drug intervention (P＜0.05, 0.01). 		与模型对照组相比，不同剂量 SXXBC 和 indirubin 组药物干预后第 4-8 天 PLT、Hb 升高（P＜0.05、0.01）。 		与模型对照组相比，不同剂量 SXXBC 和 <tag>indirubin</tag> 组药物干预后第 4-8 天 PLT、Hb 升高（P＜0.05、0.01）。 	Accuracy - Untranslated	Major	215701
7	doc1	Compared with the model control group, PLT and Hb increased in different doses of SXXBC and indirubin group 4th-8th day after drug intervention (P＜0.05, 0.01). 		与模型对照组相比，不同剂量 SXXBC 和 indirubin 组药物干预后第 4-8 天 PLT、Hb 升高（P＜0.05、0.01）。 		与模型对照组相比，不同剂量 SXXBC 和 indirubin 组药物干预后第 4-8 天 PLT<tag>、</tag>Hb 升高（P＜0.05、0.01）。 	Accuracy - Mistranslation	Minor	215701
8	doc1	However, there was no significant difference between the different doses of SXXBC group and indirubin group (P＞0.05). 		但是，不同剂量的 SXXBC 组和 indirubin 组之间没有显著差异（P＞0.05）。 		但是，不同剂量的 SXXBC 组和 <tag>indirubin</tag> 组之间没有显著差异（P＞0.05）。 	Accuracy - Untranslated	Major	215701
9	doc1	Compared with the model control group, the WBC in each group was significantly lower (P＜0.05, 0.01) on the 4th-8th day after drug intervention; However, there was no statistical significance between the two groups of SXXBC and indirubin (P＞0.05). 		与模型对照组相比，药物干预后第 4-8 天各组白细胞明显降低（P＜0.05、0.01）；但 SXXBC 与 indirubin 两组比较差异无统计学意义（P＞0.05）。 		与模型对照组相比，药物干预后第 4-8 天各组白细胞明显降低（P＜0.05、0.01）；但 SXXBC 与 <tag>indirubin</tag> 两组比较差异无统计学意义（P＞0.05）。 	Accuracy - Untranslated	Major	215701
10	doc1	Compared with the model control group, the total number of megakaryocytes in each treatment group were decreased (P＜0.05, P＜0.01), in which the number of primary megakaryocytes in the large and medium dose groups of SXXBC and indirubin were decreased (P＜0.05, 0.01), and the number of juvenile megakaryocytes in the large dose group of SXXBC and indirubin were also decreased (P＜0.05). 		与模型对照组相比，各治疗组巨核细胞总数均减少（P<0.05，P<0.01），其中 SXXBC 和 indirubin 高、中剂量组原代巨核细胞数量减少（P<0.05，0.01），SXXBC 和 indirubin 高剂量组幼年巨核细胞数量也减少（P<0.05）。 		与模型对照组相比，各治疗组巨核细胞总数均减少（P<0.05，P<0.01），其中 SXXBC 和 <tag>indirubin</tag> 高、中剂量组原代巨核细胞数量减少（P<0.05，0.01），SXXBC 和 indirubin 高剂量组幼年巨核细胞数量也减少（P<0.05）。 	Accuracy - Untranslated	Major	215701
10	doc1	Compared with the model control group, the total number of megakaryocytes in each treatment group were decreased (P＜0.05, P＜0.01), in which the number of primary megakaryocytes in the large and medium dose groups of SXXBC and indirubin were decreased (P＜0.05, 0.01), and the number of juvenile megakaryocytes in the large dose group of SXXBC and indirubin were also decreased (P＜0.05). 		与模型对照组相比，各治疗组巨核细胞总数均减少（P<0.05，P<0.01），其中 SXXBC 和 indirubin 高、中剂量组原代巨核细胞数量减少（P<0.05，0.01），SXXBC 和 indirubin 高剂量组幼年巨核细胞数量也减少（P<0.05）。 		与模型对照组相比，各治疗组巨核细胞总数均减少（P<0.05，P<0.01），其中 SXXBC 和 indirubin 高、中剂量组原代巨核细胞数量减少（P<0.05，0.01），SXXBC 和 <tag>indirubin</tag> 高剂量组幼年巨核细胞数量也减少（P<0.05）。 	Accuracy - Untranslated	Major	215701
11	doc1	The number of granular megakaryocytes were decreased in each intervention groups (P＜0.05, 0.01), and the number of thromocytogenic megakaryocyte was increased in the high and medium dose groups of SXXBC and indirubin (P＜0.01). 		各干预组颗粒巨核细胞数量降低（P<0.05、0.01），SXXBC 及 indirubin 高、中剂量组产板型巨核细胞数量增加（P<0.01）。 		各干预组颗粒巨核细胞数量降低（P<0.05、0.01），SXXBC 及 <tag>indirubin</tag> 高、中剂量组产板型巨核细胞数量增加（P<0.01）。 	Accuracy - Untranslated	Major	215701
