SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc1	Introducción: en pacientes con obesidad severa y mórbida se ha observado que la evaluación por bioimpedanciometría (BIA) genera una subestimación de la masa grasa (MG) y del peso perdido como MG después de la cirugía bariátrica, sobreestimándose la pérdida de masa libre de grasa (MLG) y la masa muscular.		Introduction: in patients with severe and morbid obesity, it has been observed that the evaluation by bioimpedance measurement (BIA) generates an underestimation of the fat mass (FM) and weight lost as FM after bariatric surgery, overestimating the loss of fat-free mass (FFM) and muscle mass.					5658994
2	doc1	Objetivo: evaluar la confiabilidad de la BIA para estimar el agua corporal total (ACT), la MLG, la MG y sus cambios después de 6 meses de un baipás gástrico en Y de Roux (BPGYR) en pacientes con obesidad severa y mórbida.		Objective: To assess the reliability of BIA to estimate total body water (TBW), FFM, FM and their changes after 6 months of a Roux Y gastric bypass (RYGB) in patients with severe and morbid obesity.					5658994
3	doc1	Métodos: 36 adultos con indicación de BPGYR se estudiaron prospectivamente.		Methods: 36 adults with RYGB indications were prospectively studied.					5658994
4	doc1	Se midió el ACT por deuterio (D) y se calcularon la MLG y MG.		TBW was measured by deuterium (D) and FFM and FM were calculated.					5658994
5	doc1	Con BIA de doble frecuencia (5 y 200 kHz) (Bodystat Dualscan®) se estimaron la MG, la MLG, el ACT, el agua extracelular (AEC), el agua intracelular (AIC) y la relación AEC/AIC.		With double frequency BIA (5 and 200 kHz) (Bodystat Dualscan®), the FM, the FFM, the TBW, the extracellular water (ECW), the intracellular water (ICW) and the ECW/ICW ratio were estimated.					5658994
6	doc1	Resultados: antes del BPGYR, la BIA sobreestimó el ACT en 2,6 ± 4,3 L (p = 0,002) y la MLG en 3,5 ± 5,7 kg (p = 0,002), y subestimó el %MG en 2,98 ± 4,7% (p = 0,002).		Results: before RYGB, BIA overestimated the ACT by 2.6 ± 4.3 L (p = 0.002) and the FFM by 3.5 ± 5.7 kg (p = 0.002), and underestimated the %FM by 2.98 ± 4.7% (p = 0.002).					5658994
7	doc1	La relación AEC/AIC mostró una correlación positiva con la sobreestimación de la MLG por BIA (r = 0,49; p = 0,002).		The ECW/ICW ratio showed a positive correlation with overestimation of FFM by BIA (r = 0.49; p = 0.002).					5658994
8	doc1	Después de la cirugía, las diferencias entre BIA y D no fueron significativas y el error de estimación de la MLG no se correlacionó con la relación AEC/AIC.		After surgery, the differences between BIA and D were not significant and the FFM estimation error did not correlate with the ECW/ICW ratio.					5658994
9	doc1	Conclusiones: la BIA genera una subestimación de la MG como la reportada, la cual se atenúa después de la reducción de peso, subestimando el peso perdido como MG y sobreestimando la pérdida de MLG.		Conclusions: BIA generates an underestimation of FM as reported, which is attenuated after weight reduction, underestimating the weight lost as FM and overestimating the loss of FFM.					5658994
10	doc1	Futuras investigaciones podrán evaluar si estos errores se reproducen con otros equipos de BIA.		Future research will be able to assess whether these errors are reproduced with other BIA equipment.					5658994
1	doc11	El presente estudio se realizó con el objetivo de construir y validar una forma corta del Inventario de Personalidad Narcisista (NPI).		The present study was conducted with the aim of constructing and validating a short form of the Narcissistic Personality Inventory (NPI).					5658994
2	doc11	El NPI es la medida más ampliamente aplicada para la evaluación de los rasgos narcisistas de la personalidad y, por lo tanto, es de gran relevancia para muchas preguntas de investigación en personalidad y psicología social.		NPI is the most widely applied measure for the evaluation of narcissistic personality traits and is therefore of great relevance to many research questions in personality and social psychology.		NPI is the most widely applied measure for the evaluation of narcissistic personality traits and is <tag>therefore</tag> of great relevance to many research questions in personality and social psychology.	Linguistic Conventions - Punctuation	Neutral	5658994
3	doc11	Para desarrollar la escala corta, primero encontramos la solución óptima de ocho ítems entre todas las combinaciones válidas de los ítems NPI-15 en una submuestra exploratoria		To develop the short scale, we first found the optimal solution of eight items among all the valid combinations of the NPI-15 items in an exploratory subsample					5658994
4	doc11	(		(					5658994
1	doc13	Los entornos de RV no inmersivos se constituyen en la aplicación de menor interactividad en relación con las técnicas de realidad virtual, de modo que la interacción con el entorno de realidad virtual puede ocurrir de forma común en televisores 3D (TV-3D), sin que exista una inmersión total en el entorno.		Non-immersive VR environments constitute the application of less interactivity in relation to virtual reality techniques, so that interaction with the virtual reality environment can occur in a common way in 3D televisions (TV-3D), without there being a total immersion in the environment.					5658994
2	doc13	Este estudio presenta cómo la exposición a la TV-3D, combinada con el registro fisiológico, puede inducir temor a las cucarachas en personas con diferentes niveles de miedo.		This study presents how exposure to 3D-TV, combined with physiological recording, can induce fear of cockroaches in people with different levels of fear.					5658994
3	doc13	Treinta y seis participantes, divididos en tres grupos según su nivel de miedo a las cucarachas, fueron expuestos a un entorno de realidad virtual con cucarachas, durante 4 minutos, mientras se registraba su actividad cardíaca, que fue usada como entrada para el entorno de realidad virtual.		Thirty-six participants, divided into three groups according to their level of fear of cockroaches, were exposed to a virtual reality environment with cockroaches, for 4 minutes, while their cardiac activity was recorded, which was used as input to the virtual reality environment.					5658994
4	doc13	Los resultados revelaron efectos significativos en las medidas tomadas por autorreporte y en la frecuencia cardíaca de diferentes grupos temerosos a las cucarachas.		The results revealed significant effects on self-reported measures and heart rate of different cockroach fear groups.		The results revealed significant effects on self-reported measures and heart rate of different cockroach <tag>fear</tag> groups.	Accuracy - Mistranslation	Neutral	5658994
5	doc13	Además, los participantes más temerosos son más propensos a desencadenar la aparición de cucarachas en el entorno de realidad virtual, debido a su aceleración cardíaca.		In addition, the most fearful participants are more likely to trigger the appearance of cockroaches in the virtual reality environment, due to their cardiac acceleration.					5658994
6	doc13	Los resultados generales sugieren que nuestro entorno de RV es válido para inducir miedo a las cucarachas, con un potencial uso en el dominio terapéutico.		The general results suggest that our VR environment is valid to induce fear of cockroaches, with a potential use in the therapeutic domain.					5658994
1	doc14	La infección por el virus SARS-CoV-2 y el desarrollo de todas las manifestaciones de COVID-19 predisponen a la enfermedad tromboembólica arterial y venosa.		SARS-CoV-2 infection and development of all manifestations of COVID-19 predispose to arterial and venous thromboembolic disease.					5658994
2	doc14	El sistema de coagulación puede ser activado por diversos virus, entre ellos el SARS-CoV-2.		The coagulation system can be activated by various viruses, including SARS-CoV-2.					5658994
3	doc14	El daño endotelial vascular, sumado al desarrollo de coagulación intravascular diseminada, afecta el pronóstico y la mortalidad de esta enfermedad.		Vascular endothelial damage, in addition to the development of disseminated intravascular coagulation, affects the prognosis and mortality of this disease.					5658994
4	doc14	El tratamiento está dirigido a la prevención, la detección temprana y las intervenciones oportunas de todas las alteraciones de la coagulación generadas por la COVID-19.		Treatment is aimed at prevention, early detection, and timely interventions of all coagulation abnormalities due to COVID-19.					5658994
5	doc14	El anticoagulante recomendado es la heparina de bajo peso molecular, tomando en cuenta el aclaramiento de creatinina, y si se realizarán procedimientos invasivos mayores, la heparina no fraccionada es una opción segura.		The recommended anticoagulant is low molecular weight heparin, taking into account creatinine clearance, and if major invasive procedures will be performed, unfractionated heparin is a safe option.					5658994
1	doc15	A lo largo de la historia, las pandemias han tenido un gran impacto para la humanidad.		Throughout history, pandemics have had a major impact on humanity.					5658994
2	doc15	Las medidas utilizadas para combatirlas causan daño colateral.		The measures used to combat them cause collateral damage.					5658994
3	doc15	En la pandemia por COVID-19, las acciones generadas para disminuir la exposición, el número de contagios y la tasa de letalidad conllevan un enfoque en la reducción de la mortalidad, sin embargo el colapso del sistema de salud puede provocar un número aún mayor de muertos.		In the COVID-19 pandemic, actions taken to reduce exposure, the number of infections and the fatality rate involve a focus on reducing mortality, however, the collapse of the health system can cause an even greater number of deaths.					5658994
4	doc15	A su vez, tanto el personal médico como los pacientes se ven afectados por la desaceleración económica y el “efecto de la negatividad”.		In turn, both medical staff and patients are affected by the economic slowdown and the "negativity effect".					5658994
5	doc15	En este artículo de revisión se analizaron las diferentes herramientas para el control de la pandemia, su desarrollo en un contexto histórico y como impactan en la estratificación del riesgo para pacientes vulnerables (ancianos, pacientes con enfermedades crónico degenerativas y oncológicos).		This review article analyzed the different tools for pandemic control, their development in a historical context and how they impact risk stratification for vulnerable patients (elderly, patients with chronic degenerative diseases and oncology).					5658994
1	doc18	El coronavirus del síndrome respiratorio agudo grave 2 (SARS-CoV-2, conocido previamente como nCoV-2019) es el agente causal de una nueva enfermedad denominada COVID-19 (COronaVIrus Disease 2019) por la Organización Mundial de la Salud.		Severe acute respiratory syndrome 2 coronavirus (SARS-CoV-2, previously known as nCoV-2019) is the causative agent of a new disease named COVID-19 (COronaVIrus Disease 2019) by the World Health Organization.					5658994
2	doc18	Su presentación es la insuficiencia respiratoria aguda caracterizada por una hiperinflación del pulmón que conduce a un incremento de los capilares y permeabilidad epitelial, con pérdida de la aireación de tejido pulmonar e incremento de la rigidez pulmonar.		Its presentation is acute respiratory failure characterized by hyperinflation of the lung leading to an increase in capillaries and epithelial permeability, with loss of aeration of lung tissue and increased lung stiffness.					5658994
3	doc18	Estas alteraciones conducen a desequilibrios entre la ventilación y la relación de perfusión, que finalmente resultan en hipoxemia y deterioro de la depuración de dióxido de carbono.		These disturbances lead to imbalances between ventilation and perfusion ratio, which ultimately result in hypoxemia and impaired carbon dioxide clearance.					5658994
4	doc18	Para la presente revisión se realizó una búsqueda en PubMed y Trip Database.		For the present review we searched PubMed and Trip Database.					5658994
5	doc18	Debido a la escasez de publicaciones no se utilizó un algoritmo de búsqueda específico.		Due to the lack of publications, a specific search algorithm was not used.					5658994
6	doc18	El objetivo es dar a conocer, de acuerdo con la evidencia y las recomendaciones de expertos nacionales e internacionales, el manejo hemodinámico y ventilatorio de estos pacientes.		The objective is to present, according to the evidence and recommendations of national and international experts, the hemodynamic and ventilatory management of these patients.					5658994
