SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc10	Изучить возможности измерения внутриклеточного водородного показателя (pH) с помощью фосфорной магнитно-резонансной спектроскопии в глиобластомах, а также сравнить полученные данные со значениями внутриклеточного pH у здоровых добровольцев.		To study the possibilities of measuring intracellular hydrogen index (pH) using phosphorus magnetic resonance spectroscopy in glioblastomas, as well as to compare the data obtained with the values of intracellular pH in healthy volunteers.					477216
2	doc10	В исследование включены 10 пациентов в возрасте от 41 года до 67 лет с глиобластомами супратенториальной локализации.		The study included 10 patients aged 41 to 67 years with supratentorial glioblastomas.					477216
3	doc10	Полученные значения внутриклеточного pH ткани глиобластом сравнивали с pH тканей мозга здоровых добровольцев.		The obtained values of intracellular pH of glioblastoma tissue were compared with the pH of brain tissue of healthy volunteers.					477216
4	doc10	Выявлена тенденция к увеличению уровня внутриклеточного pH в опухолях по сравнению с уровнем pH здоровых тканей мозга.		The tendency to increase the level of intracellular pH in tumors compared to the level of pH of healthy brain tissues has been identified.					477216
5	doc10	Данные об изменениях внутриклеточного водородного показателя мозгового вещества в дальнейшем могут быть использованы в качестве потенциального маркера ранних патологических изменений, не визуализируемых при стандартном магнитно-резонансном томографическом исследовании, а также в оценке эффективности противоопухолевой терапии.		Data on changes in the intracellular hydrogen index of the brain substance can later be used as a potential marker of early pathological changes that are not visualized during standard magnetic resonance imaging, as well as in assessing the effectiveness of anticancer therapy.					477216
1	doc11	Цель – анализ мировой литературы, посвященной проблеме лечения сочетания стеноза внутренней сонной артерии на экстракраниальном уровне и артериальной аневризмы головного мозга, а также демонстрация собственных результатов хирургического лечения пациентов с данной сочетанной патологией каротидного бассейна.		The purpose is to analyze the world literature on the problem of treating the combination of stenosis of the internal carotid artery at the extracranial level and arterial aneurysm of the brain, as well as to demonstrate the results of surgical treatment on patients with this combined pathology of the carotid basin.					477216
2	doc11	Материалы и методы.		Materials and methods.					477216
3	doc11	С 2013 по 2019 гг. в клинике сочетанная патология бассейна внутренней сонной артерии (интракраниальная аневризма и стеноз внутренней сонной артерии на экстракраниальном уровне) выявлена у 35 из 1638 обследованных пациентов.		From 2013 to 2019, the combined pathology of the internal carotid artery pool (intracranial aneurysm and extracranial internal carotid stenosis) was found in 35 of the 1,638 patients examined.					477216
4	doc11	Мужчин было 10, женщин – 25.		There were 10 men and 25 women.					477216
5	doc11	Средний возраст составил 66±7 лет.		The average age was 66, ±7 years.					477216
6	doc11	У всех 35 больных интракраниальная аневризма являлась асимптомной и была обнаружена при диагностике атеросклеротического поражения внутренней сонной артерии.		In all 35 patients, the intracranial aneurysm was asymptomatic and was detected in the diagnosis of atherosclerotic lesions of the internal carotid artery.					477216
7	doc11	Оперированы 15 (43%) из 35 пациентов.		15 (43%) of 35 patients were operated on.					477216
8	doc11	Двухэтапный хирургический подход применен в 2 случаях у пациентов с ипсилатеральным расположением аневризмы головного мозга и стеноза внутренней сонной артерии: 1 этапом клипирована артериальная аневризма, 2 этапом проведена каротидная эндартерэктомия.		The two-stage surgical approach was used in 2 cases in patients with an ipsilateral brain aneurysm and internal carotid artery stenosis: in stage 1 the arterial aneurysm was clipped, and in stage 2 a carotid endarterectomy was performed.					477216
9	doc11	Выполнение только сосудистого этапа (каротидная эндартерэктомия или стентирование внутренней сонной артерии) осуществлено у 9 пациентов, только нейрохирургического этапа (клипирование аневризмы) – у 4 больных.		Only the vascular stage (carotid endarterectomy or internal carotid artery stenting) was performed in 9 patients, and only the neurosurgical stage (aneurysm clipping) - in 4 patients.					477216
10	doc11	Результаты.		Results.					477216
11	doc11	Частота встречаемости стеноза внутренней сонной артерии с артериальной аневризмой головного мозга, по нашим данным, составила 2,1%.		The incidence of internal carotid artery stenosis with arterial brain aneurysm was 2.1%, according to our data.					477216
12	doc11	В группе хирургического лечения в 1 случае (6,7%) после стентирования симптомного стеноза внутренней сонной артерии у пациентки с ипсилатеральной асимптомной аневризмой средней мозговой артерии интраоперационно развился 'малый' ишемический инсульт.		In the group of surgical treatment, in 1 case (6.7%) after the stenting of the symptomatic stenosis of the internal carotid artery, a patient with an ipsilateral asymptomatic aneurysm of the middle cerebral artery developed a 'small' ischemic stroke intraoperatively after stenting.					477216
13	doc11	Периоперационных разрывов аневризм и летальных исходов в оперируемой группе отмечено не было.		There were no perioperative aneurysm ruptures and no deaths in the operated-on group.					477216
14	doc11	Выводы.		Conclusions.					477216
15	doc11	Индивидуальный тактический подход к пациентам с сочетанием артериальной аневризмы головного мозга и стеноза внутренней сонной артерии на экстракраниальном уровне позволил на данном этапе работы избежать внутричерепных геморрагических осложнений и летальных исходов.		An individual tactical approach to patients with a combination of cerebral arterial aneurysm and stenosis of the internal carotid artery at the extracranial level allowed us to avoid intracranial hemorrhagic complications and lethal outcomes at this stage of work.					477216
16	doc11	Частота периоперационных ишемических церебральных событий составила 6,7%.		The incidence of perioperative ischemic cerebral events was 6.7%.					477216
17	doc11	Необходим дальнейший набор клинического материала для разработки оптимальной хирургической тактики при сочетанном поражении экстра- и интракраниального бассейна внутренней сонной артерии.		A further set of clinical materials is needed to develop optimal surgical tactics with a combined lesion of the extra- and intracranial basin of the internal carotid artery.					477216
1	doc14	Одним из ключевых механизмов старения является изменение гормональной регуляции, для эффективного воздействия на которую с целью продления жизни необходимо определение первопричины данных процессов.	Одним из ключевых механизмов старения является изменение гормональной регуляции, <tag>для эффективного воздействия на которую</tag> с целью продления жизни необходимо определение первопричины данных процессов.	One of the key mechanisms of aging is a change in hormonal regulation, which requires determining the root cause of these processes in order to prolong life.			Accuracy - Omission	Minor	5569910
2	doc14	В качестве молекулярных драйверов, управляющих динамикой уровня гормонов, могут служить транспозоны.		Transposons can serve as molecular drivers that control the dynamics of hormone levels.					5569910
3	doc14	Это связано с их использованием в качестве источников нуклеотидных последовательностей, воспринимающих специфические сигналы рибозимов, транскрипционных факторов, гормонов и их мессенджеров.		This is due to their use as sources of nucleotide sequences that perceive specific signals of ribozymes, transcription factors, hormones, and their messengers.					5569910
4	doc14	В то же время, в эволюции транспозоны являются источниками рибозимов и белков, обладающих ДНК-связывающими доменами.		At the same time, in evolution, transposons are sources of ribozymes and proteins with DNA-binding domains.					5569910
5	doc14	Начиная с деления зиготы, видоспецифический состав и распределение транспозонов в геноме могут использоваться как биологическая кодировка, необходимая для последовательной и специфической для типов клеток экспрессии генов.		Starting with zygote division, the species-specific composition and distribution of transposons in the genome can be used as the biological coding required for sequential and cell-type-specific gene expression.					5569910
6	doc14	Сделано предположение, что гормональная регуляция является одним из компонентов сложной системы управления онтогенезом под влиянием мобильных элементов.		It is assumed that hormonal regulation is one of the components of a complex ontogenesis control system under the influence of mobile elements.					5569910
7	doc14	В качестве подтверждения приведены работы о роли транспозонов в управлении генами эндокринной системы, а также о влиянии гормонов на активность транспозонов.		The works on the role of transposons in controlling the genes of the endocrine system, as well as on the effect of hormones on transposon activity, were presented as evidence.		The <tag>works</tag> on the role of transposons in controlling the genes of the endocrine system, as well as on the effect of hormones on transposon activity, were presented as evidence.	Style - Non-fluent	Neutral	5569910
8	doc14	Исследование этих взаимосвязей может иметь перспективы для разработки методов продления жизни, так как эпигенетические изменения под влиянием транспозонов носят обратимый характер.		The study of these relationships may have prospects for the development of methods of life extension since epigenetic changes under the influence of transposons are reversible.					5569910
1	doc15	Пандемия, вызванная вирусом SARS-CoV-2 (COVID-19), привлекла внимание к проблеме нейровоспаления как неотъемлемому компоненту вирусной инфекции.		The SARS-CoV-2 (COVID-19) virus pandemic has drawn attention to the problem of neuroinflammation as an integral component of viral infection.					5569910
2	doc15	Острый нейровоспалительный ответ включает активацию резидентных тканевых макрофагов в ЦНС и последующее высвобождение разнообразных цитокинов и хемокинов, связанных с активацией окислительного стресса и отсроченным повреждением нейронов.		The acute neuroinflammatory response involves the activation of resident tissue macrophages in the CNS and the subsequent release of a variety of cytokines and chemokines associated with activation of oxidative stress and delayed neuronal damage.					5569910
