SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
1	doc51	过渡到为人父母的时期是新任父母们面临的最紧张的调适期之一，无论是与个体自我的关系还是与他者的关系。 		The transition to parenthood is one of the most stressful adjustment periods new parents face, whether in regard to their own individual relationship or in regard to their relationships with others.					212733
2	doc51	针对这种过渡时期的代际关系之间的双向关联的研究非常有限，而且相互关系的复杂性也会根据生活居住情境的不同而变化。 		Research on bidirectional associations between intergenerational relationships during such transitional periods is extremely limited, and the complexity of the interrelationships can also vary depending on differences in living situations.					212733
3	doc51	本研究旨在探索（1）过渡为家长期间，夫妻婚姻关系和与对方父母的冲突两者之间的双向关联性，以及（2）和父亲同住对上述关系的调适影响作用。 		The purpose of this study was to explore (1) the bidirectional association between a husband and wife's marital relationship and conflict with each other's parents during the long-term transition to a family, and (2) the influence of living with a father on the adjustment of these relationships.		The purpose of this study was to explore (1) the bidirectional association between <tag>a husband and wife\'s</tag>marital relationship and conflict with each other's parents during the long-term transition to a family, and (2) the influence of living with a father on the adjustment of these relationships.	Linguistic Conventions - Grammar	Neutral	212733
4	doc51	本文的研究对象是359名已婚母亲，采用了三波前瞻性长期性研究设计。 		The study population of this paper was 359 married mothers, and a three-wave prospective long-term study design was used.		<tag>The study population</tag> of this paper was 359 married mothers, and a three-wave prospective long-term study design was used.	Linguistic Conventions - Grammar	Neutral	212733
5	doc51	使用二元调整量表和斯特赖克调整清单量表来评估婚姻关系以及与对方父母的冲突关系。 		The Binary Adjustment Scale and the Stryker Adjustment Inventory Scale were used to assess the marital relationship and the conflicted relationship with the other's parents.					212733
6	doc51	研究相互关系时使用的是交叉时滞平面分析，确定这些关系是否随着生活情境的不同而呈现出不同的模式时使用的是多群组分析。 		Cross-lagged panel analysis was used to study interrelationships, and multigroup analysis was used to determine whether these relationships showed different patterns across life situations.					212733
7	doc51	两个交叉－时滞模型表明，在怀孕中期至后期，婚内问题和与对方父母的冲突之间存在着双向关系。 		Two cross-lagged models indicate a bidirectional association between marital problems and conflict with the other's parents in mid to late pregnancy.		Two cross-lagged models indicate a bidirectional association between <tag>marital problems</tag> and conflict with the other's parents in mid to late pregnancy.	Accuracy - Mistranslation	Neutral	212733
8	doc51	同时，多群组分析表明，在妊娠期间与父母同住的受试组中，与对方父母的冲突会引发婚内问题；而不与父母同住的受试组中，在怀孕后期到产后期，与对方父亲之间的关系冲突可能强化婚姻问题。 		At the same time, multi-cluster analysis showed that in the group of subjects who lived with their parents during pregnancy, conflict with the other's parents caused marital problems; in the group of subjects who did not live with their parents, relationship conflicts with the other's father may exacerbate marriage problems during late pregnancy through the postpartum period.		At the same time, multi-cluster analysis showed that in the group of subjects who lived with their parents during pregnancy, conflict with the other's parents caused <tag>marital problems;</tag> in the group of subjects who did not live with their parents, relationship conflicts with the other's father may exacerbate marriage problems during late pregnancy through the postpartum period.	Linguistic Conventions - Punctuation	Neutral	212733
9	doc51	这些研究发现揭示了代际冲突的交叉时滞关联性。 		These studies reveal the cross-lagged correlation of intergenerational conflicts.					221485
10	doc51	医疗保健专业人员有必要确保在过渡为父母的过程中，代际关系是积极有利的。 		It is necessary for healthcare professionals to ensure that intergenerational relationships are positive and beneficial during the transition to parenthood.					212733
11	doc51	本研究丰富了我们对于和父亲同住这个因素对婚姻关系的作用的认知，并能指导基于特定文化的多维度干预方式的未来发展。 		This study enriches our understanding of the impact of the factor of living with a father in marital relationships and can guide the future development of multidimensional styles of intervention based on specific cultures.					212733
1	doc52	线性回归模型被广泛应用于精神卫生和卫生服 务相关研究。 		Linear regression models are widely used in research related to mental health and health services.					212733
2	doc52	然而，经典线性回归分析是假设该数据 为正态分布的，但是很多研究所获得的数据并不符合 这种假设。 		However, classical linear regression analysis assumes that the data is normally distributed, but the data obtained in many studies do not conform to this assumption.					212733
3	doc52	解决该问题的方法之一是采用不要求数据 为正态分布的半参数模型。 		One way to solve this problem is to use a semi-parametric model that does not require data to be normally distributed.					212733
4	doc52	但是，半参数模型对离散 数据相当敏感，因此在处理包含离散值的数据时产生 的估计值是不可靠的。 		However, the semi-parametric model is very sensitive to discrete data, so the estimator is not reliable when dealing with data containing discrete values.					212733
5	doc52	在这种情况下，一些研究者在 删减这些极端值后再进行分析，但是，删减数据的事 先法则（ad-hoc rules）是基于主观标准的，所以不同 的调整方法就会产生不同的结果。 		In this case, some researchers analyze after deleting these extreme values, but the ad-hoc rules of data deletion are based on subjective criteria, so different adjustment methods will produce different results.					221485
6	doc52	等级回归为处理包 括离散值的非正态分布数据提供了更为客观的方法。 		Rank regression provides a more objective approach to dealing with non-normally distributed data including discrete values.					212733
7	doc52	本文采用虚拟和实际数据来阐述这个非常有用的处理 离散值的回归方法，并与采用经典回归模型和半参数 回归模型所得出的结果进行比较。 		In this paper, virtual and real data are used to describe this very useful regression method for dealing with discrete values, and the results are compared with those obtained by using classical regression and semi-parametric regression models.		In this paper, virtual and real data are used to describe this very useful regression method for dealing with discrete values, and the results are compared with those obtained <tag>by using</tag> classical regression and semi-parametric regression models.	Linguistic Conventions - Grammar	Neutral	212733
